Type :,Summary :,Updated By :,Updated On :,Document :,BOQ Comparative Chart :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.1,Updated On :.1,Financial Bid Opening Date:,Document :.1,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.2,Updated on :,AOC document :,AOC Description :,S.No,Bid Number,Bidder Name,Submitted Date,Status,Remarks,Status Updated On,S.No.1,Bid Number.1,Bidder Name.1,Awarded Currency,Awarded Value,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.3,Updated on :.1,Document :.2,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Type :.1,Summary :.1,Updated By :.4,Updated On :.2,Document :.3,Tender Stage,S.No,Corrigendum Title,Corrigendum Type,View,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Name,Address,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,S.No.1,Bank Name,Tender Fee in ₹,VAT Charges in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Cover No,Cover,Document Type,Description,Tender Stage
Finance,"At the time of verification, all required document found correct.",SANJEEB KUMAR SAHU,04-Dec-2025 12:57 PM,finance_547181.pdf,BOQ Comparative Chart,COLLECTOR PURI,Internal,Chief CSO cum DM OSCSC Ltd Puri RTO Puri DSWO Puri Dist Labour Officer Puri ADM Protocol Puri,SANJEEB KUMAR SAHU,20-Aug-2025 11:08 AM,22-Aug-2025 11:00 AM,techsummary_547181.pdf (2705.02 KB),04-Dec-2025,"INR 294,307",484.0,Gautam Sahoo,15-Dec-2025 05:38 PM,LIIAOC.pdf (1818.00 KB),Appointment of L II Transport Contractor for Delang Block (Lowest one),1,3024900,ASWINI KUMAR RATH,11-Aug-2025 01:27 PM,Rejected-Finance,Due to Highest rate Quoted,04-Dec-2025 04:31 PM,1.0,3028907.0,BIBHU KALYAN SAHOO,INR,58.47,COLLECTOR PURI,Internal,Chief CSO cum DM Puri TRO Puri DLO Puri DSWO Puri ADM Protocol Puri,SANJEEB KUMAR SAHU,04-Dec-2025 04:31 PM,finsummary_547181.pdf (2351.29 KB),Odisha State Civil Supplies Corp. Ltd.||CSO cum DM Puri,2025_OSCSC_116020_1,2241.0,Selection and Appointment of L II Transport Contractor for Delang Block,Technical,Technical bid verified and found correct,SANJEEB KUMAR SAHU,20-Aug-2025 11:03 AM,,AOC,1.0,Correction of EMD,Fee,,"2,94,307",No,fixed,,Nil,Nil,Selection and Appointment of L II Transport Contractor for Delang Block,Selection and appointment of Level II contractor for transportation of Custom Milled Rice from Rice Receiving Centre to Retail Centre of DELANG BLOCK,Please refer Tender documents. ,NA ,"58,86,136",Handling and Transportation,NA ,Tender,180.0,NA ,Delang Block,752015.0,Office Chamber of Chief CSO cum DM OSCSC Ltd Puri  ,Office Chamber of Chief CSO cum DM OSCSC Ltd Puri Near Govt Womens College Baligodown Puri ,29-Jul-2025 11:30 AM ,Collectorate Puri,No ,No,District Manager OSCSC Ltd Puri,Office of the Chief CSO cum DM OSCSC Ltd Baligodown Puri,Odisha State Civil Supplies Corp. Ltd.||CSO cum DM Puri,2241.0,2025_OSCSC_116020_1,Yes,Open Tender,Percentage,Services,2.0,No,No,Online,No,No,No,1,ICICI BANK,"5,900",0.0,Nil,Nil,No,25-Jul-2025 09:00 AM,12-Aug-2025 11:30 AM,25-Jul-2025 09:10 AM,11-Aug-2025 05:00 PM,25-Jul-2025 11:00 AM ,10-Aug-2025 05:00 PM ,25-Jul-2025 11:00 AM,11-Aug-2025 05:00 PM,22-Aug-2025 11:00 AM,1,Fee/PreQual/Technical,.pdf,TECHNICAL BID,AOC
,,,,,,,,,,,,,,,,,,,,2,3028907,BIBHU KALYAN SAHOO,11-Aug-2025 02:42 PM,Accepted-AOC,Quoted lowest rate Rs. 58.47 per qtl.,15-Dec-2025 05:38 PM,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,ICICI NEFT/RTGS,,,,,,,,,,,,,,,2,Finance,.xls,FINANCIAL BID,AOC
