S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Type :,Summary :,Updated By :,Updated On :,Document :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.1,Updated on :,Document :.1,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.2,Updated On :.1,Financial Bid Opening Date:,Document :.2,Type :.1,Summary :.1,Updated By :.3,Updated On :.2,Document :.3,BOQ Comparative Chart :,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.4,Updated on :.1,AOC document :,AOC Description :,Tender Stage,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,S.No,Bank Name,Tender Fee in ₹,VAT Charges in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Cover No,Cover,Document Type,Description,Name,Address,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Tender Stage
1.0,2484662.0,M/S SANTOSH KUMAR KHANDELWAL,INR,"273,374,441","CE-BM,BSB Basin,Laxmiposi",2024_CEBML_101920_3,"50/ 23-24 of CEBM, SBB, Laxmiposi","C. Construction of Rupsa Distributary from RD 00 m to RD 2930 m including all structure, CC lining and service road.",Technical,The Technical bid documents of the above bidders have been downloaded successfully from website,Ramakanta Mohapatra,12-Apr-2024 02:01 PM,technical_497032.pdf,Smt Anu Garg,External,Er CS Padhi Er B K Samal Er L Gouda Er C R Bhunya Mr. N R Panda Mr. A Mahanti Smt. M Dash,Chitta Ranjan Bhuyan,21-Aug-2025 05:21 PM,finsummary_497032.pdf (2095.81 KB),Smt Anu Garg Additional Chief Secretary to Govt DOWR,External,Er L Gouda Er C S Padhi Mr. N R Panda MR M Das Mr B Mallick Er B K Samal Er R K Mohapatra,Ramakanta Mohapatra,01-Nov-2024 12:45 PM,01-Nov-2024 01:00 PM,techsummary_497032.pdf (5374.42 KB),Finance,The financial bid documents of the above bidders have been downloaded successfully from website.,Ramakanta Mohapatra,02-Nov-2024 05:32 PM,finance_497032.pdf,BOQ Comparative Chart,1,2486842,GVV CONSTRUCTIONS PRIVATE LIMITED,27-Mar-2024 12:56 PM,Rejected-Finance,As per approval of Financial Bid.,21-Aug-2025 05:21 PM,01-Nov-2025,"INR 273,374,441",730.0,Chitta Ranjan Bhuyan,19-Dec-2025 04:58 PM,RupsaRD00mto2930m.pdf (1119.00 KB),"The work is awarded to M/s Santosh Kumar Khandelwal vide Memo No.4630/WE dt.15.10.25 of SE, Baisinga Canal Diision, Laxmiposi",AOC,28-Feb-2024 05:30 PM,28-Mar-2024 11:00 AM,28-Feb-2024 05:30 PM,27-Mar-2024 05:30 PM,28-Feb-2024 05:30 PM ,09-Mar-2024 05:00 PM ,28-Feb-2024 05:45 PM,27-Mar-2024 05:30 PM,01-Nov-2024 01:00 PM,1.0,ICICI BANK,"10,000",0.0,Nil,Nil,No,"32,16,000",No,fixed,,Nil,Nil,"CE-BM,BSB Basin,Laxmiposi","50/ 23-24 of CEBM, SBB, Laxmiposi",2024_CEBML_101920_3,Yes,National Competitive Bid,Percentage,Works,2.0,No,No,Online,No,No,No,1.0,Fee/PreQual/Technical,.pdf,"EMD, GST, PAN, Contractors R.C., Affidavit, no relationship with Department","CE and BM, S and B Basin, Laxmiposi","Office of the CE and BM, S and B Basin, Laxmiposi","C. Construction of Rupsa Distributary from RD 00 m to RD 2930 m including all structure, CC lining and service road.","C. Construction of Rupsa Distributary from RD 00 m to RD 2930 m including all structure, CC lining and service road.",As per Technical bid  ,NA ,"32,15,79,157",Civil Works - Canal,NA ,Tender,90.0,730.0,Betnoti Block,757025.0,"Office of the CE and BM, S and B Basin, Laxmiposi ","Office of the CE and BM, S and B Basin, Laxmiposi ",12-Mar-2024 11:30 AM ,"Office of the CE and BM, S and B Basin, Laxmiposi",No ,No,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,2486775,GYANENDRA KUMAR ROUTRAY,27-Mar-2024 03:49 PM,Rejected-Finance,As per approval of Financial Bid.,21-Aug-2025 05:21 PM,,,,,,,,AOC,,,,,,,,,,2.0,ICICI NEFT/RTGS,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Any other documents as per DTCN.,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,2482583,LORDS INFRACON PRIVATE LIMITED,27-Mar-2024 08:41 AM,Rejected-Finance,As per approval of Financial Bid.,21-Aug-2025 05:21 PM,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,Finance,.xls,BOQ,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,2484969,M/S BIG BUILD INFRASTRUCTURE & CO,27-Mar-2024 02:25 PM,Rejected-Finance,As per approval of Financial Bid.,21-Aug-2025 05:21 PM,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,2476700,M/S BMT Profile,18-Mar-2024 11:39 AM,Rejected-Finance,As per approval of Financial Bid.,21-Aug-2025 05:21 PM,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,2472123,M/S L.R. MAKKAR,12-Mar-2024 10:48 AM,Rejected-Technical,"As per approval of Technical bid Lr No.27863 dt.09.10.2024 of Govt of Odisha, DoWR",01-Nov-2024 12:45 PM,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,2467555,MS MISRA CONSTRUCTION PVT LTD,12-Mar-2024 11:42 AM,Rejected-Finance,As per approval of Financial Bid.,21-Aug-2025 05:21 PM,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,2484662,M/S SANTOSH KUMAR KHANDELWAL,27-Mar-2024 01:03 PM,Accepted-AOC,Awarded,19-Dec-2025 04:59 PM,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,2485636,SHIVAJYOTI CONPRO PVT. LTD.,27-Mar-2024 02:21 PM,Rejected-Finance,As per approval of Financial Bid.,21-Aug-2025 05:21 PM,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,2485863,SUSANTA KUMAR BADHAI,27-Mar-2024 04:36 PM,Rejected-Technical,"As per approval of Technical bid Lr No.27863 dt.09.10.2024 of Govt of Odisha, DoWR",01-Nov-2024 12:45 PM,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
