Name,Address,Tender Fee in ₹,VAT Charges in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Cover No,Cover,Document Type,Description,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,S.No,Bank Name,Tender Stage,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated on :,Document :,Type :,Summary :,Updated By :.1,Updated On :,Document :.1,BOQ Comparative Chart :,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.2,Updated on :.1,AOC document :,AOC Description :,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.3,Updated On :.1,Document :.2,Tender Stage
Superintending Engineer,"Superintending Engineer, M.I. Division, Jeypore","6,000",0.0,Nil,Nil,No,"45,700",Yes,fixed,,Nil,Nil,Construction of Sunarijodi Check Dam over local nalla in Kundra Block of Koraput District under MATY Scheme,Construction of Sunarijodi Check Dam over local nalla in Kundra Block of Koraput District under MATY Scheme,Please refer Tender documents. ,NA ,"45,68,761",Civil Works - Water Works,NA ,Tender,90.0,150.0,Kundra,764002.0,NA ,NA ,NA ,"Superintending Engineer, M.I. Division, Jeypore",No ,No,08-Sep-2025 10:00 AM,24-Sep-2025 11:00 AM,08-Sep-2025 10:00 AM,23-Sep-2025 05:00 PM,NA ,NA ,08-Sep-2025 10:00 AM,23-Sep-2025 05:00 PM,1.0,Fee/PreQual/Technical/Finance,.pdf,"PAN,GSTIN,License,Affidavit and as per DTCN","CE,Minor Irrigation,BBSR||SE,KBK Minor Irr.CircleII,Jeypore||EE,MI Divn, Malkangir",MIDJEY05/2025-26,2025_CEMIB_117773_2,Yes,Open Tender,Percentage,Works,1.0,No,No,Online,No,No,No,1.0,ICICI BANK,AOC,"CE,Minor Irrigation,BBSR||SE,KBK Minor Irr.CircleII,Jeypore||EE,MI Divn, Malkangir",2025_CEMIB_117773_2,MIDJEY05/2025-26,Construction of Sunarijodi Check Dam over local nalla in Kundra Block of Koraput District under MATY Scheme,Superintending Engineer,Internal,,Nihar Ranjan Behera,01-Dec-2025 05:26 PM,finsummary_551815.pdf (180.17 KB),Finance,On Opening the bids total 30nos.of bids were found to be received online.Out of which 2nos bids were not qualified due to PAN GSTIN License in PDF and wrong bidder name in the BOQ submitted.Hence 28nos.of bids were found to be valid.,Nihar Ranjan Behera,25-Oct-2025 06:02 PM,finance_551815.pdf,BOQ Comparative Chart,1.0,3096772.0,SIDDHARTH SHANKAR SAHU,INR,"3,883,904",01-Dec-2025,"INR 3,883,904",150.0,Nihar Ranjan Behera,01-Dec-2025 05:32 PM,Sunarijodicdaoc.pdf (173.00 KB),AOC,1,3090378,ABHISHEK PATRA,20-Sep-2025 08:03 PM,Rejected-AOC,Reject,01-Dec-2025 05:33 PM,Superintending Engineer,Internal,,Nihar Ranjan Behera,25-Oct-2025 06:14 PM,techsummary_551815.pdf (66.31 KB),AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.xls,BOQ,,,,,,,,,,,,,,,2.0,ICICI NEFT/RTGS,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,3096022,AJBAL BHATRA,23-Sep-2025 02:29 PM,Rejected-AOC,Reject,01-Dec-2025 05:33 PM,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,3090100,AMIT KUMAR SAHU,21-Sep-2025 12:49 PM,Rejected-AOC,Reject,01-Dec-2025 05:33 PM,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,3091221,Asok Kumar Bhuyan,20-Sep-2025 06:51 PM,Rejected-AOC,Reject,01-Dec-2025 05:33 PM,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,3091257,ayush kumar golap,22-Sep-2025 12:44 PM,Rejected-AOC,Reject,01-Dec-2025 05:33 PM,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,3091298,BALABHADRA SISA,20-Sep-2025 08:42 PM,Not Admitted-Fee/PreQual/Technical/Finance,Others-Not Qualified due to non submission of PAN GSTIN License Affidavit as per DTCN in PDF.,25-Oct-2025 06:02 PM,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,3091280,GOPINATH HARIJAN,22-Sep-2025 12:04 PM,Rejected-AOC,Reject,01-Dec-2025 05:33 PM,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,3096688,GOURI SANKAR PANDA,23-Sep-2025 04:43 PM,Rejected-AOC,Reject,01-Dec-2025 05:33 PM,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,3096549,JANMEJAYA CHHOTARAY,23-Sep-2025 12:40 PM,Rejected-AOC,Reject,01-Dec-2025 05:33 PM,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,3096344,JYOTI RANI PATI,23-Sep-2025 01:21 PM,Not Admitted-Fee/PreQual/Technical/Finance,Others-Not Qualified due to wrong bidder name in the BOQ submitted.,25-Oct-2025 06:02 PM,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11,3090070,K. MOULIDHAR,20-Sep-2025 12:30 PM,Rejected-AOC,Reject,01-Dec-2025 05:33 PM,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12,3097153,MAHENDRA DAS,23-Sep-2025 04:28 PM,Rejected-AOC,Reject,01-Dec-2025 05:33 PM,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13,3095959,MANAS PATRO,22-Sep-2025 10:51 PM,Rejected-AOC,Reject,01-Dec-2025 05:33 PM,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14,3093842,MOHESH KUMAR DORA,22-Sep-2025 11:49 AM,Rejected-AOC,Reject,01-Dec-2025 05:33 PM,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15,3090514,Rajesh Ranjan Dash,22-Sep-2025 08:07 PM,Rejected-AOC,Reject,01-Dec-2025 05:33 PM,,,,,,,AOC
