S.No,Bank Name,Name,Address,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Tender Fee in ₹,VAT Charges in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Cover No,Cover,Document Type,Description,Tender Stage,S.No,Bid Number,Bidder Name,Submitted Date,Status,Remarks,Status Updated On,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :,Updated on :,AOC document :,AOC Description :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.1,Updated On :,Financial Bid Opening Date:,Document :,Type :,Summary :,Updated By :.2,Updated On :.1,Document :.1,BOQ Comparative Chart :,Type :.1,Summary :.1,Updated By :.3,Updated On :.2,Document :.2,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.4,Updated on :.1,Document :.3,S.No.1,Bid Number.1,Bidder Name.1,Awarded Currency,Awarded Value,Tender Stage
1.0,ICICI BANK,Er.Rashmi Ranjan Sahoo,O/o the S.E. R and B Division,04-Nov-2024 10:00 AM,13-Nov-2024 11:00 AM,04-Nov-2024 10:00 AM,12-Nov-2024 05:00 PM,NA ,NA ,04-Nov-2024 10:00 AM,12-Nov-2024 05:00 PM,22-Jan-2025 11:00 AM,"10,000",0.0,Nil,Nil,No,Construction of Paddy Procurement Center at Raisa Gop Block Puri for the Year 2024-25 (800 sqft Cover Pindi),Construction of Paddy Procurement Center at Raisa Gop Block Puri for the Year 2024-25 (800 sqft Cover Pindi),Please refer Tender documents. ,NA ,"57,46,911",Civil Works - Buildings,NA ,Tender,90.0,90.0,Puri,752001.0,NA ,NA ,NA ,O/o the S.E. R and B Division,No ,No,EIC-CIVIL||SERNB-CIRCLE-KHURDA||EERNB-DIVN-PURI,TCN NO 23 OF 2024-25,2024_EICCL_106334_1,Yes,National Competitive Bid,Percentage,Works,2.0,No,No,Online,No,No,No,"57,469",Yes,percentage,1.0%,Nil,Nil,1.0,Fee/PreQual/Technical,.pdf,"RC,PAN,GST,EMD,COST OF TENDER PAPER,AFFIDAVIT,ALL SCHEDULE AND OTHER DOCUMENTS AS PER APPROVED DTCN",AOC,1,2640994,Bijaya Ketan Pal,12-Nov-2024 11:02 AM,Rejected-Finance,The bidder has unsuccessful bidder after transparency lottery,25-Apr-2025 01:22 PM,17-Dec-2025,"INR 4,885,449",90.0,Soumya Ranjan Dwibedi,17-Dec-2025 04:06 PM,AOC.pdf (1586.00 KB),The bidder won the transparency lottery among the qualified bidder so that the work has been awarded him,Er.Rashmi Ranjan Sahoo,Internal,Sri Bikram Keshari Pattanaik Smt Smita Pal,Rasmi Ranjan Sahoo,21-Jan-2025 06:15 PM,22-Jan-2025 11:00 AM,techsummary_514126.pdf (435.35 KB),Finance,Total 11 Nos bidder are qualified,Rasmi Ranjan Sahoo,22-Jan-2025 01:36 PM,,BOQ Comparative Chart,Technical,Total 11 Nos bidder are participated in the online tender,Rasmi Ranjan Sahoo,26-Nov-2024 06:05 PM,,EIC-CIVIL||SERNB-CIRCLE-KHURDA||EERNB-DIVN-PURI,2024_EICCL_106334_1,TCN NO 23 OF 2024-25,Construction of Paddy Procurement Center at Raisa Gop Block Puri for the Year 2024-25 (800 sqft Cover Pindi),Er.Soumya Ranjan Dwibedi,Internal,Sri Bikram Keshari Pattanaik Smt Smita Pal,Smita Pal,25-Apr-2025 01:22 PM,finsummary_514126.pdf (963.33 KB),1.0,2641261.0,SUBHASHREE SWAIN,INR,"4,885,449",AOC
2.0,ICICI NEFT/RTGS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,Finance,.xls,Bill of Quantity,AOC,2,2640667,JITENDRA PRASAD BEHERA,11-Nov-2024 10:57 PM,Rejected-Finance,The bidder has unsuccessful bidder after transparency lottery,25-Apr-2025 01:22 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,3,2641707,JYOTIRMAY PATRA,12-Nov-2024 02:50 PM,Rejected-Finance,The bidder has unsuccessful bidder after transparency lottery,25-Apr-2025 01:22 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,4,2641492,LAXMIDHAR SWAIN,12-Nov-2024 01:03 PM,Rejected-Finance,The bidder has unsuccessful bidder after transparency lottery,25-Apr-2025 01:22 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,5,2641421,MODERN WINDING AND ELECTRICALS,12-Nov-2024 12:31 PM,Rejected-Finance,The bidder has unsuccessful bidder after transparency lottery,25-Apr-2025 01:22 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,6,2642149,RATI PRAKASH PALATA,12-Nov-2024 03:41 PM,Rejected-Finance,The bidder has unsuccessful bidder after transparency lottery,25-Apr-2025 01:22 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,7,2638476,SANTANU KUMAR ROUT,12-Nov-2024 04:53 PM,Rejected-Finance,The bidder has unsuccessful bidder after transparency lottery,25-Apr-2025 01:22 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,8,2641632,SUBHASHREE BEHERA,12-Nov-2024 02:13 PM,Rejected-Finance,The bidder has unsuccessful bidder after transparency lottery,25-Apr-2025 01:22 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,9,2641261,SUBHASHREE SWAIN,12-Nov-2024 11:49 AM,Accepted-AOC,The bidder won the transparency lottery among the qualified bidder so that the work has been awarded him,17-Dec-2025 04:07 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,10,2628615,SUDHANSU SEKHAR SASMAL,11-Nov-2024 04:38 PM,Rejected-Finance,The bidder has unsuccessful bidder after transparency lottery,25-Apr-2025 01:22 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,11,2641544,TATHAGAT DEBASIS MOHANTY,12-Nov-2024 01:03 PM,Rejected-Finance,The bidder has unsuccessful bidder after transparency lottery,25-Apr-2025 01:22 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
