Cover No,Cover,Document Type,Description,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Name,Address,Tender Fee in ₹,VAT Charges in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,S.No,Bank Name,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Tender Stage,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated on :,Document :,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Type :,Summary :,Updated By :.1,Updated On :,Document :.1,BOQ Comparative Chart :,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.2,Updated on :.1,AOC document :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.3,Updated On :.1,Document :.2,Tender Stage
1.0,Fee/PreQual/Technical/Finance,.pdf,"T.P Cost, EMD Online, RC, PAN, GSTIN, Affidavit, NRC, Bid Declaration and Other doc. as per DTCN","2,520",Yes,percentage,1.0%,Nil,Nil,19-Sep-2025 06:00 PM,06-Oct-2025 11:00 AM,19-Sep-2025 06:00 PM,04-Oct-2025 05:00 PM,19-Sep-2025 06:00 PM ,04-Oct-2025 03:00 PM ,19-Sep-2025 06:00 PM,04-Oct-2025 05:00 PM,Divisional Officer,"RURAL WORKS DIVISION NO.II, BALASORE","2,000",0.0,Nil,Nil,No,CE RW I||RWCIRCLE-BALASORE||RWDIVISION-BALASORE-II,ETCN5-17,2025_CERWI_118249_1,Yes,Open Tender,Percentage,Works,1.0,No,No,Online,No,No,No,1.0,ICICI BANK,42/6356-S/R to E Type Qtr. of Fire Station Building at Khaira for 2025-26,42/6356-S/R to E Type Qtr. of Fire Station Building at Khaira for 2025-26,NA ,NA ,"2,51,990",Civil Works - Buildings,NA ,Tender,90.0,30.0,Balasore,756001.0,NA ,NA ,NA ,"RURAL WORKS DIVISION NO.II, BALASORE",No ,No,AOC,"superintending Engineer,R.W.Division-II,Balasore",Internal,,Sujata Behera,19-Dec-2025 04:16 PM,finsummary_553068.pdf (203.40 KB),CE RW I||RWCIRCLE-BALASORE||RWDIVISION-BALASORE-II,2025_CERWI_118249_1,ETCN5-17,42/6356-S/R to E Type Qtr. of Fire Station Building at Khaira for 2025-26,1.0,3108018.0,RABINDRA KUMAR ROUT,INR,"214,216",Finance,all documents download,Sujata Behera,07-Dec-2025 01:18 PM,finance_553068.pdf,BOQ Comparative Chart,1,3104209,AJIT KUMAR SWAIN,01-Oct-2025 11:48 AM,Rejected-AOC,Rejected,19-Dec-2025 04:23 PM,19-Dec-2025,"INR 214,216",30.0,Sujata Behera,19-Dec-2025 04:23 PM,118249AOC.pdf (421.00 KB),"superintending Engineer,R.W.Division-II,Balasore",Internal,,Sujata Behera,19-Dec-2025 04:00 PM,techsummary_553068.pdf (203.40 KB),AOC
,,.xls,Boq,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,ICICI NEFT/RTGS,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,2,3107774,ANANTA PRASAD BARIK,04-Oct-2025 04:25 PM,Rejected-AOC,Rejected,19-Dec-2025 04:23 PM,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,3,3109453,Chandan Kumar Sethy,04-Oct-2025 02:55 PM,Rejected-AOC,Rejected,19-Dec-2025 04:23 PM,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,4,3107144,CHITTA RANJAN MOHAPATRA,03-Oct-2025 02:08 PM,Rejected-AOC,Rejected,19-Dec-2025 04:23 PM,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,5,3104489,DAYANIDHI SAHOO,01-Oct-2025 03:27 PM,Rejected-AOC,Rejected,19-Dec-2025 04:23 PM,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,6,3106659,DEEPAK KUMAR NAYAK,03-Oct-2025 11:55 AM,Rejected-AOC,Rejected,19-Dec-2025 04:23 PM,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,7,3106674,GHANASHYAM LENKA,03-Oct-2025 05:15 PM,Rejected-AOC,Rejected,19-Dec-2025 04:23 PM,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,8,3109397,GITA RANI SAHOO,04-Oct-2025 04:05 PM,Rejected-AOC,Rejected,19-Dec-2025 04:23 PM,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,9,3108087,JAYANTA KUMAR DASH,03-Oct-2025 07:47 PM,Rejected-AOC,Rejected,19-Dec-2025 04:23 PM,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,10,3099009,JYOTSNARANI KANUNGO,25-Sep-2025 11:42 AM,Rejected-AOC,Rejected,19-Dec-2025 04:23 PM,,,,,,,,,,,,,AOC
