Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Cover No,Cover,Document Type,Description,Tender Fee in ₹,VAT Charges in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Name,Address,S.No,Bank Name,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Tender Stage,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated on :,Document :,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Type :,Summary :,Updated By :.1,Updated On :,Document :.1,BOQ Comparative Chart :,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.2,Updated on :.1,AOC document :,AOC Description :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.3,Updated On :.1,Document :.2,Tender Stage
"Construction of Road and Drain with Cover Slab from Bijaya Meher res to Samual Nag res,W.No.5",Road and Drain Work,Please refer tender Documents  ,NA ,"6,50,000",Civil Works - Roads,NA ,Tender,120.0,90.0,Balangir Municipality,767001.0,NA ,NA ,NA ,"Office of the Municipal Council, Balangir",No ,No,17-May-2025 11:00 AM,28-May-2025 11:00 AM,17-May-2025 11:00 AM,26-May-2025 05:00 PM,NA ,NA ,17-May-2025 11:00 AM,26-May-2025 05:00 PM,1.0,Fee/PreQual/Technical/Finance,.pdf,"Online proof of tender paper cost, EMD,GSTIN,PAN,RC,Affidavit and any others documents as per DTCN","4,000",0.0,Nil,Nil,No,"6,500",Yes,percentage,1.0%,Nil,Nil,"Executive Officer, Balangir Municipality","Office of the Municipal Council, Balangir",1.0,ICICI BANK,Municipal Bodies||Balangir Municipality,BLGRMPTY/01(01-11)/2025-26,2025_ORULB_113462_3,Yes,Open Tender,Percentage,Works,1.0,No,No,Online,No,No,No,AOC,"SMT LIKA SAHU,CHAIRPERSON",Internal,"Chairperson,Executive Officer,Municipal Engineer, Asst.Engineer,Junior Engineer,Balangir Municipality",Sanjay Kumar Mohanty,20-Nov-2025 04:43 PM,finsummary_539777.pdf (197.22 KB),Municipal Bodies||Balangir Municipality,2025_ORULB_113462_3,BLGRMPTY/01(01-11)/2025-26,"Construction of Road and Drain with Cover Slab from Bijaya Meher res to Samual Nag res,W.No.5",1.0,2932987.0,MANAS RANJAN BEHERA,INR,"466,812.28",Finance,3 Nos. of bidders have participated.,Biswambhar Mishra,02-Jun-2025 11:32 AM,,BOQ Comparative Chart,1,2932987,MANAS RANJAN BEHERA,26-May-2025 01:15 PM,Accepted-AOC,L1,03-Dec-2025 09:25 AM,29-Nov-2025,"INR 466,812.28",90.0,Santosh Kumar Behera,03-Dec-2025 09:25 AM,WO0120252603.pdf (104.00 KB),After approval of the tender Committee contractor SRI MANAS RANJAN BEHERA is awarded the work. vide W/O No.4383 Dt.08.09.2025.,"SMT LIKA SAHU,CHAIRPERSON",Internal,"Chairperson,Executive Officer,Municipal Engineer, Asst.Engineer,Junior Engineer,Balangir Municipality",Sanjay Kumar Mohanty,20-Nov-2025 04:33 PM,techsummary_539777.pdf (444.31 KB),AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,.xls,BOQ,,,,,,,,,,,,,,2.0,ICICI NEFT/RTGS,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,2,2933171,Rasmanjali Sa,26-May-2025 02:26 PM,Rejected-Finance,other then L1 Bidder,20-Nov-2025 04:43 PM,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,3,2933134,SADANANDA BAG,26-May-2025 02:15 PM,Rejected-Finance,other then L1 Bidder,20-Nov-2025 04:43 PM,,,,,,,,,,,,,,AOC
