Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,S.No,Bank Name,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Name,Address,Cover No,Cover,Document Type,Description,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Tender Fee in ₹,VAT Charges in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Tender Stage,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated On :,Document :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.1,Updated on :,Document :.1,Type :,Summary :,Updated By :.2,Updated On :.1,Document :.2,BOQ Comparative Chart :,S.No,Bid Number,Bidder Name,Submitted Date,Status,Remarks,Status Updated On,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,S.No.1,Bid Number.1,Bidder Name.1,Awarded Currency,Awarded Value,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.3,Updated on :.1,AOC document :,Tender Stage
23-Oct-2025 04:00 PM,04-Nov-2025 11:00 AM,23-Oct-2025 04:00 PM,03-Nov-2025 05:00 PM,23-Oct-2025 04:00 PM ,03-Nov-2025 01:00 PM ,23-Oct-2025 04:00 PM,03-Nov-2025 05:00 PM,CE RW I||RWCIRCLE-BALASORE||RWDIVISION-BALASORE,04 SERW BLS 2025-26,2025_CERWI_119924_23,Yes,Open Tender,Percentage,Works,1.0,No,No,Online,No,No,No,1.0,ICICI BANK,PWD Road to Mahulgadia road,PWD Road to Mahulgadia road,Please refer tender documents ,NA ,"19,93,187",Civil Works - Roads,NA ,Tender,90.0,60.0,Balasore,756001.0,NA ,NA ,NA ,"RURAL WORKS DIVISION, BALASORE",No ,No,"SE RW Division, Balasore","O/o the SE RW Division, Balasore",1.0,Fee/PreQual/Technical/Finance,.pdf,"P.cost, EMD, RC, Pan, valid GSTIN, Affidavit, No relation certificate and other as per DTCN","19,932",Yes,percentage,1.0%,Nil,Nil,"6,000",0.0,Nil,Nil,No,AOC,Soubhagya Kumar Das,Internal,,Soubhagya Kumar Das,24-Dec-2025 05:31 PM,techsummary_557496.pdf (651.22 KB),Soubhagya Kumar Das,Internal,,Soubhagya Kumar Das,24-Dec-2025 05:35 PM,finsummary_557496.pdf (651.22 KB),Finance,Document downloaded,Priyadarshini Behera,06-Nov-2025 12:01 PM,,BOQ Comparative Chart,1,3170668,ABHIMANYU DALEI,02-Nov-2025 07:58 PM,Accepted-AOC,Qualified,24-Dec-2025 05:38 PM,CE RW I||RWCIRCLE-BALASORE||RWDIVISION-BALASORE,2025_CERWI_119924_23,04 SERW BLS 2025-26,PWD Road to Mahulgadia road,1.0,3170668.0,ABHIMANYU DALEI,INR,"1,694,408",24-Dec-2025,"INR 1,694,408",60.0,Soubhagya Kumar Das,24-Dec-2025 05:38 PM,23Sl.pdf (651.00 KB),AOC
,,,,,,,,,,,,,,,,,,,,,,2.0,ICICI NEFT/RTGS,,,,,,,,,,,,,,,,,,,,,,,.xls,BOQ,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,2,3173619,Ananta Nayak,02-Nov-2025 10:44 AM,Rejected-AOC,Not Qualified,24-Dec-2025 05:38 PM,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,3,3175315,MAA JAGADHATRI LCCS LTD,02-Nov-2025 08:05 PM,Rejected-AOC,Not Qualified,24-Dec-2025 05:38 PM,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,4,3174966,MANARANJAN DAS,03-Nov-2025 03:02 PM,Rejected-AOC,Not Qualified,24-Dec-2025 05:38 PM,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,5,3166533,"M/S Jagannath Construction, Prop-Prasanta Nayak",02-Nov-2025 12:13 PM,Rejected-AOC,Not Qualified,24-Dec-2025 05:38 PM,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,6,3175984,PRADEEPTI CHAND,03-Nov-2025 07:47 AM,Rejected-AOC,Not Qualified,24-Dec-2025 05:38 PM,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,7,3177930,RABINDRA KUMAR PATRA,03-Nov-2025 03:44 PM,Rejected-AOC,Not Qualified,24-Dec-2025 05:38 PM,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,8,3174923,RABINDRA KUMAR SAHOO,03-Nov-2025 02:18 PM,Rejected-AOC,Not Qualified,24-Dec-2025 05:38 PM,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,9,3168372,RAMAKRUSHNA MOHAPATRA,01-Nov-2025 01:39 PM,Rejected-AOC,Not Qualified,24-Dec-2025 05:38 PM,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,10,3173578,RASMITA DAS,02-Nov-2025 08:58 AM,Rejected-AOC,Not Qualified,24-Dec-2025 05:38 PM,,,,,,,,,,,,,,,,AOC
