S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Type :,Summary :,Updated By :,Updated On :,Document :,BOQ Comparative Chart :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.1,Updated on :,Document :.1,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.2,Updated On :.1,Document :.2,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.3,Updated on :.1,AOC document :,AOC Description :,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Tender Stage,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,S.No,Bank Name,Name,Address,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Cover No,Cover,Document Type,Description,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,S.No.1,Corrigendum Title,Corrigendum Type,View,Tender Stage
1.0,3295752.0,BALARAM SAHOO,INR,"1,249,935.18",Finance,In response to the above bid invited through online 02 nos. of bidders have been participated.,Sukeshini Kerketta,18-Dec-2025 12:03 PM,finance_567864.pdf,BOQ Comparative Chart,Smt.Nibedita Das,Internal,,Ararti Negi,20-Dec-2025 05:52 PM,finsummary_567864.pdf (328.40 KB),Forest Environment and Climate Change Department||PCCF Kendu Leaf||CCF Sambalpur||DFO Rourkela KL,2025_DFRLK_122176_1,BID No. 2 of 2025-26 dtd.26.11.2025,Construction of Forest Guard Quarter at Kinjirkela,Smt.Nibedita Das,Internal,,Ararti Negi,20-Dec-2025 05:25 PM,techsummary_567864.pdf (1083.03 KB),22-Dec-2025,"INR 1,249,935",90.0,Ararti Negi,22-Dec-2025 02:34 PM,AOC.pdf (596.00 KB),L1 BIDDER,1,3295752,BALARAM SAHOO,11-Dec-2025 04:03 PM,Accepted-AOC,1st LOWEST,22-Dec-2025 02:35 PM,AOC,"14,703",Yes,percentage,1.0%,Nil,Nil,1,ICICI BANK,Divisional Forest Officer,"O/o the Divisional Forest Officer, Rourkela KL",Construction of Forest Guard Quarter at Kinjirkela,"Construction of Forest Guard Quarter at Kinjirkela KL Range under Rourkela KL Division, District Sundargarh",NA ,NA ,"14,70,339",Civil Works - Others,Forest Guard Quarter ,Tender,90.0,90.0,Kinjirkela,770015.0,NA ,NA ,NA ,"O/o the Divisional Forest Officer, Rourkela KL",No ,No,29-Nov-2025 10:00 AM,16-Dec-2025 11:30 AM,29-Nov-2025 10:00 AM,12-Dec-2025 05:00 PM,29-Nov-2025 10:00 AM ,12-Dec-2025 05:00 PM ,29-Nov-2025 10:00 AM,12-Dec-2025 05:00 PM,Forest Environment and Climate Change Department||PCCF Kendu Leaf||CCF Sambalpur||DFO Rourkela KL,BID No. 2 of 2025-26 dtd.26.11.2025,2025_DFRLK_122176_1,Yes,Open Tender,Percentage,Works,1.0,No,No,Online,No,No,No,1.0,Fee/PreQual/Technical/Finance,.pdf,DTCN,"7,080",Nil,Nil,Yes,1.0,BID OPENING DATE EXTENSION,Date,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,3297920,SONU AGRAWAL,12-Dec-2025 03:33 PM,Rejected-AOC,2nd LOWEST,22-Dec-2025 02:35 PM,AOC,,,,,,,2,ICICI NEFT/RTGS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.xls,BOQ,,,,,,,,,AOC
