S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Type :,Summary :,Updated By :,Updated On :,Document :,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.1,Updated on :,Document :.1,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.2,Updated On :.1,Financial Bid Opening Date:,Document :.2,Type :.1,Summary :.1,Updated By :.3,Updated On :.2,Document :.3,BOQ Comparative Chart :,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.4,Updated on :.1,AOC document :,AOC Description :,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Tender Stage,S.No,Bank Name,Cover No,Cover,Document Type,Description,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Tender Fee in ₹,VAT Charges in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Name,Address,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Tender Stage
1.0,2892986.0,MANISH KUMAR AGRAWAL,INR,"40,245,139",Technical,TECHNICAL BID OPENED,Anam Charan Sahoo,28-Apr-2025 12:16 PM,,EIC-CIVIL||SERNB-CIRCLE-NORTHERN,2025_EICCL_111890_1,CCENC (R AND B) /18/ 2024-25,Construction a Box-Cell 7 x 6 x 3 mtr at Ch-2-615 Km of Temporipada to Telenpali OPGC road In the District of Jharsuguda for the year 2024-25,CCE NC SBP,Internal,,Hemant Naik,10-Dec-2025 07:24 AM,finsummary_535219.pdf (2620.75 KB),CCENC,Internal,,SUCHISMITA SAHU,19-Jul-2025 08:46 PM,22-Jul-2025 12:30 PM,techsummary_535219.pdf (416.89 KB),Finance,FINANCIAL BID OPENED,Hemant Naik,22-Jul-2025 08:01 PM,,BOQ Comparative Chart,10-Dec-2025,"INR 40,245,139",270.0,Hemant Naik,10-Dec-2025 07:29 AM,AGTTEMPRI.pdf (1918.00 KB),AGT DRAWN,1,2887252,Ashok Kumar Jalan,22-Apr-2025 04:18 PM,Rejected-Technical,As per the decision of Tender Evaluation Committee,19-Jul-2025 08:46 PM,AOC,1.0,ICICI BANK,1.0,Fee/PreQual/Technical,.pdf,"Online Proof Copy of Tender Cost, Bid Security, GSTIN, PAN, R.C and Affidavit",07-Apr-2025 05:00 PM,25-Apr-2025 11:00 AM,07-Apr-2025 05:00 PM,24-Apr-2025 05:00 PM,07-Apr-2025 05:00 PM ,13-Apr-2025 05:00 PM ,07-Apr-2025 05:00 PM,24-Apr-2025 05:00 PM,22-Jul-2025 12:30 PM,"10,000",0.0,Nil,Nil,No,"C.C.E, Northern R AND B Circle, SAMBALPUR","O/O THE C.C.E, Northern R AND B Circle, SAMBALPUR",EIC-CIVIL||SERNB-CIRCLE-NORTHERN,CCENC (R AND B) /18/ 2024-25,2025_EICCL_111890_1,Yes,National Competitive Bid,Percentage,Works,2.0,No,No,Online,No,No,No,"4,73,500",Yes,fixed,,Nil,Nil,Construction a Box-Cell 7 x 6 x 3 mtr at Ch-2-615 Km of Temporipada to Telenpali OPGC road In the District of Jharsuguda for the year 2024-25,road work,Please refer Tender documents. ,NA ,"4,73,41,652",Civil Works - Roads,NA ,Tender,90.0,270.0,JHARSUGUDA,768234.0,NA ,NA ,NA ,"O/O THE C.C.E, Northern R AND B Circle, SAMBALPUR",No ,No,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,2883053,DEBASIS PATTJOSHI,22-Apr-2025 07:45 PM,Rejected-Finance,UNSUCCESSFUL THROUGH TRANSPARENT LOTTERY SYSTEM,10-Dec-2025 07:24 AM,AOC,2.0,ICICI NEFT/RTGS,,,.pdf,"Ownership of machineries, work experience and MOU for composite Building work etc.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,2889945,JAGADAMBA CONSTRUCTION,22-Apr-2025 02:31 PM,Rejected-Finance,UNSUCCESSFUL THROUGH TRANSPARENT LOTTERY SYSTEM,10-Dec-2025 07:24 AM,AOC,,,,,.pdf,Work experience certificate and other related documents as per DTCN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,2893688,LAXMIKANTA MOHAPATRA,24-Apr-2025 02:35 PM,Rejected-Technical,As per the decision of Tender Evaluation Committee,19-Jul-2025 08:46 PM,AOC,,,2.0,Finance,.xls,BILL OF QUANTITY (BOQ),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,2892986,MANISH KUMAR AGRAWAL,23-Apr-2025 08:49 PM,Accepted-AOC,AGT DRAWN,10-Dec-2025 07:29 AM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,2892904,M.J.CONSTRUCTION,24-Apr-2025 01:27 PM,Rejected-Finance,UNSUCCESSFUL THROUGH TRANSPARENT LOTTERY SYSTEM,10-Dec-2025 07:24 AM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,2892962,"M/S SHIBAJI CONSTRUCTION, PROP. KHAGESWAR BEHERA",24-Apr-2025 12:52 PM,Rejected-Finance,UNSUCCESSFUL THROUGH TRANSPARENT LOTTERY SYSTEM,10-Dec-2025 07:24 AM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,2892897,M/S SHREE VISWAKARMA CONSTRUCTION,23-Apr-2025 06:46 PM,Rejected-Finance,UNSUCCESSFUL THROUGH TRANSPARENT LOTTERY SYSTEM,10-Dec-2025 07:24 AM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,2892098,M/S SUN CONSTRUCTION,24-Apr-2025 01:36 PM,Rejected-Finance,UNSUCCESSFUL THROUGH TRANSPARENT LOTTERY SYSTEM,10-Dec-2025 07:24 AM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,2892976,Prafulla Kumar Ratha,24-Apr-2025 09:41 AM,Rejected-Technical,As per the decision of Tender Evaluation Committee,19-Jul-2025 08:46 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
