Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Name,Address,Tender Fee in ₹,VAT Charges in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,S.No,Bank Name,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Cover No,Cover,Document Type,Description,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Tender Stage,Type :,Summary :,Updated By :,Updated On :,Document :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.1,Updated on :,Document :.1,Type :.1,Summary :.1,Updated By :.2,Updated On :.1,Document :.2,BOQ Comparative Chart :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.3,Updated On :.2,Financial Bid Opening Date:,Document :.3,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.4,Updated on :.1,AOC document :,AOC Description :,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Tender Stage
Orissa State Police Housing and Welfare Corporation Ltd,13/OPHWC/2025-26,2025_OSPHW_118457_15,Yes,National Competitive Bid,Percentage,Works,2.0,No,No,Online,No,No,No,CHIEF ENGINEER OPHWC,OPHWC BHUBANESWAR,"11,800",0.0,Nil,Nil,No,"1,79,400",Yes,fixed,,Nil,Nil,1.0,ICICI BANK,"Const. of 6 Nos. E Type Qtr. At Nowrangpur PS, Nowrangpur",Building Work,Please refer Tender documents. ,NA ,"1,79,44,616",Civil Works - Buildings,NA ,Tender,90.0,365.0,Nowrangpur,751022.0,NA ,NA ,NA ,OPHWC BHUBANESWAR,No ,No,1.0,Fee/PreQual/Technical,.pdf,"GST, GSTR-1, PAN, Contractor Registration Certificate and Affidavit",24-Sep-2025 06:55 PM,13-Oct-2025 10:30 AM,24-Sep-2025 06:55 PM,10-Oct-2025 05:00 PM,NA ,NA ,24-Sep-2025 06:55 PM,10-Oct-2025 05:00 PM,12-Nov-2025 10:30 AM,AOC,Technical,2. Nos. of bidders have been participated,MONALISHA PADHY,13-Oct-2025 01:41 PM,,AS PER AS ACCEPTANCE,Internal,AS PER AS ACCEPTANCE,Bikram Keshari Malla,10-Dec-2025 03:06 PM,finsummary_553613.pdf (371.99 KB),Finance,Financial bid opened,LAXMIPRIYA NAYAK,12-Nov-2025 11:25 AM,,BOQ Comparative Chart,AS PER AS TC MINUTES,Internal,AS PER AS TC MINUTES,ANANDA CHANDRA PANDA,11-Nov-2025 07:17 PM,12-Nov-2025 10:30 AM,techsummary_553613.pdf (303.02 KB),10-Dec-2025,"INR 15,254,718",365.0,Bikram Keshari Malla,10-Dec-2025 03:10 PM,NOWR.pdf (77.00 KB),AWARDED AS L1 TENDERER AND AWARDED ON DATE 08.12.2025,Orissa State Police Housing and Welfare Corporation Ltd,2025_OSPHW_118457_15,13/OPHWC/2025-26,"Const. of 6 Nos. E Type Qtr. At Nowrangpur PS, Nowrangpur",1.0,3120661.0,MANOJ KUMAR AGRAWAL,INR,"15,254,718",1.0,3121841.0,JAGAJJIBAN SETH,10-Oct-2025 01:06 PM,Rejected-Finance,DUE TO L2 BIDDER,10-Dec-2025 03:06 PM,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,ICICI NEFT/RTGS,,,,,,,,,,,,,,,,,,,,,.pdf,Other Document as per DTCN,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,3120661.0,MANOJ KUMAR AGRAWAL,09-Oct-2025 06:58 PM,Accepted-AOC,QUALIFIED BIDDER,10-Dec-2025 03:10 PM,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,Finance,.xls,Bill of Quantity,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
