Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Cover No,Cover,Document Type,Description,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Tender Fee in ₹,VAT Charges in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,S.No,Bank Name,Name,Address,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Tender Stage,S.No,Bid Number,Bidder Name,Submitted Date,Status,Remarks,Status Updated On,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :,Updated on :,AOC document :,AOC Description :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.1,Updated On :,Financial Bid Opening Date:,Document :,Type :,Summary :,Updated By :.2,Updated On :.1,Document :.1,BOQ Comparative Chart :,Type :.1,Summary :.1,Updated By :.3,Updated On :.2,Document :.2,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.4,Updated on :.1,Document :.3,S.No.1,Bid Number.1,Bidder Name.1,Awarded Currency,Awarded Value,Tender Stage
13-Oct-2025 10:00 AM,28-Oct-2025 11:30 AM,13-Oct-2025 10:00 AM,27-Oct-2025 05:00 PM,13-Oct-2025 10:00 AM ,27-Oct-2025 11:00 AM ,13-Oct-2025 10:00 AM,27-Oct-2025 05:00 PM,07-Nov-2025 03:45 PM,1)Supply and installation of new power cable and sub-main cable for SCADA system from Jobra Control Tower main panel board to right side Mahanadi Barrage Bus Bar No.9 to 16 and Taladanda Canal Bus Bar No.1 for the year 2025-26. (MBD65/2025-26),Supply and installation of new power cable and sub-main cable for SCADA system from Jobra Control Tower main panel board to right side Mahanadi Barrage Bus Bar No.9 to 16 and Taladanda Canal Bus Bar No.1 for the year 2025-26. (MBD65/2025-26),Please refer Tender documents. ,NA ,"76,95,792",Electrical Works,NA ,Tender,90.0,180.0,Cuttack,753003.0,NA ,NA ,NA ,"Superintending Engineer, Mahanadi Barrage Division",No ,No,1.0,Fee/PreQual/Technical,.pdf,"RC,PAN, Affidavit, Bid Security,Undertakings , NRC, GSTIN and any other documents as per DTCN.","CE-BM,LMB Basin,BBSR||SE, Eastern Circle,Cuttack||EE Mahanadi Barrage Division Cuttack",e Procurement Notice No.15/2025-26,2025_CELBB_119108_1,Yes,Open Tender,Percentage,Works,2.0,No,No,Online,No,No,No,"10,000",0.0,Nil,Nil,No,1.0,ICICI BANK,"Superintending Engineer, Mahanadi Barrage Division","Superintending Engineer, Mahanadi Barrage Division gandarpur cuttack.753003","76,960",Yes,fixed,,Nil,Nil,AOC,1,3160304,AB POWER,27-Oct-2025 04:55 PM,Rejected-Finance,being unsuccessful tenderer on lottery system,12-Nov-2025 03:56 PM,01-Dec-2025,"INR 6,542,193",180.0,Kartika Samal,17-Dec-2025 02:49 PM,wo65.pdf (557.00 KB),"Work has been awarded to JBS Enterprises.The date of commencement/contract may please be recorded as dt.01.12.2025.The deposit towards EMD and ISD has been received in favour of SE MBD, Cuttack",SEMBD,Internal,DAO,Kartika Samal,07-Nov-2025 03:41 PM,07-Nov-2025 03:45 PM,techsummary_555106.pdf (769.03 KB),Finance,"Total 23 nos bidder has been participated .Out of 23 nos bidder , one bidder namely Akhandalamani Electricals and construction has disqualified due to 9.99 percent less than the amount put to tender.",Kartika Samal,12-Nov-2025 10:53 AM,finance_555106.pdf,BOQ Comparative Chart,Technical,23 No of Bidder paticpated,Kartika Samal,07-Nov-2025 03:28 PM,,"CE-BM,LMB Basin,BBSR||SE, Eastern Circle,Cuttack||EE Mahanadi Barrage Division Cuttack",2025_CELBB_119108_1,e Procurement Notice No.15/2025-26,1)Supply and installation of new power cable and sub-main cable for SCADA system from Jobra Control Tower main panel board to right side Mahanadi Barrage Bus Bar No.9 to 16 and Taladanda Canal Bus Bar No.1 for the year 2025-26. (MBD65/2025-26),SE MBD,Internal,DAO,Kartika Samal,12-Nov-2025 03:56 PM,finsummary_555106.pdf (669.11 KB),1.0,3158432.0,JBS ENTERPRISES,INR,"6,542,193",AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,Finance,.xls,Bill of Quantity.,,,,,,,,,,,,,,,,,,,,2.0,ICICI NEFT/RTGS,,,,,,,,,AOC,2,3160088,AGRAWALLA POWER INFRASTRUCTURE,27-Oct-2025 04:24 PM,Rejected-Finance,being unsuccessful tenderer on lottery system,12-Nov-2025 03:56 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,3,3159071,AKHANDALAMANI ELECTRICALS AND CONSTRUCTION,27-Oct-2025 03:07 PM,Rejected-Finance,being unsuccessful tenderer on lottery system,12-Nov-2025 03:56 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,4,3140462,CITY ELECTRONS PROP PRADEEPTA KANUNGO,23-Oct-2025 07:09 PM,Rejected-Finance,being unsuccessful tenderer on lottery system,12-Nov-2025 03:56 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,5,3144261,ECO ELECTRIC POWER SOLUTIONS,22-Oct-2025 11:55 PM,Rejected-Finance,being unsuccessful tenderer on lottery system,12-Nov-2025 03:56 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,6,3157859,INDIA ELECTRICAL HOUSE,27-Oct-2025 12:08 PM,Rejected-Finance,being unsuccessful tenderer on lottery system,12-Nov-2025 03:56 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,7,3158432,JBS ENTERPRISES,27-Oct-2025 12:47 PM,Accepted-AOC,Lottery Winner being unsuccessful tenderer on lottery system,17-Dec-2025 02:49 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,8,3150894,MEERA ELECTRICALS,25-Oct-2025 12:30 PM,Rejected-Finance,being unsuccessful tenderer on lottery system,12-Nov-2025 03:56 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,9,3159095,MPower Energy Solutions,27-Oct-2025 01:55 PM,Rejected-Finance,being unsuccessful tenderer on lottery system,12-Nov-2025 03:56 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,10,3159328,M/S ALOK KUMAR KHUNIA,27-Oct-2025 03:48 PM,Rejected-Finance,being unsuccessful tenderer on lottery system,12-Nov-2025 03:56 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
