Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Cover No,Cover,Document Type,Description,S.No,Bank Name,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Name,Address,Tender Fee in ₹,VAT Charges in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Tender Stage,S.No,Bid Number,Bidder Name,Submitted Date,Status,Remarks,Status Updated On,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :,Updated on :,AOC document :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.1,Updated On :,Document :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.2,Updated on :.1,Document :.1,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,S.No.1,Bid Number.1,Bidder Name.1,Awarded Currency,Awarded Value,Type :,Summary :,Updated By :.3,Updated On :.1,Document :.2,BOQ Comparative Chart :,Tender Stage
"Jalahanjar Gelaguda via Chapadi _Road_Pot hole repair, SDBC_0/000 to 3/000","Jalahanjar Gelaguda via Chapadi _Road_Pot hole repair, SDBC_0/000 to 3/000",NA ,NA ,"47,84,690",Civil Works - Roads,NA ,Tender,90.0,60.0,Sunabeda,763001.0,NA ,NA ,NA ,"RURAL WORKS DIVISION, SUNABEDA",No ,No,CE RW I||RWCIRCLE-SUNABEDA||RWDIVISION-SUNABEDA,SERWSBD ONLINE 02-2025-26,2025_CERWI_119282_1,Yes,Open Tender,Percentage,Works,1.0,No,No,Online,No,No,No,1.0,Fee/PreQual/Technical/Finance,.pdf,"Bid cost, EMD, Registration certificate, GST, PAN, Non relation certificate, others as per DTCN",1.0,ICICI BANK,"48,000",Yes,fixed,,Nil,Nil,Superintending Engineer,"RURAL WORKS DIVISION, SUNABEDA","6,000",0.0,Nil,Nil,No,10-Oct-2025 05:00 PM,23-Oct-2025 11:00 AM,10-Oct-2025 05:00 PM,22-Oct-2025 05:00 PM,10-Oct-2025 05:00 PM ,20-Oct-2025 05:00 PM ,10-Oct-2025 05:00 PM,22-Oct-2025 05:00 PM,AOC,1,3140247,AJBAL BHATRA,21-Oct-2025 06:35 PM,Rejected-AOC,Not Qualified,10-Dec-2025 05:25 PM,11-Nov-2025,"INR 4,067,465",60.0,Avijit Barik,10-Dec-2025 05:25 PM,Workjalahanjar.pdf (873.00 KB),Superintending Engineer,Internal,,Avijit Barik,11-Nov-2025 06:34 PM,techsummary_555354.pdf (643.04 KB),Superintending Engineer,Internal,,Avijit Barik,11-Nov-2025 06:41 PM,finsummary_555354.pdf (425.22 KB),CE RW I||RWCIRCLE-SUNABEDA||RWDIVISION-SUNABEDA,2025_CERWI_119282_1,SERWSBD ONLINE 02-2025-26,"Jalahanjar Gelaguda via Chapadi _Road_Pot hole repair, SDBC_0/000 to 3/000",1.0,3137393.0,RAMANATH ACHARYA,INR,"4,067,465",Finance,Bid opening,Avijit Barik,11-Nov-2025 06:16 PM,finance_555354.pdf,BOQ Comparative Chart,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.xls,Boq,2.0,ICICI NEFT/RTGS,,,,,,,,,,,,,,,,,,,,,,AOC,2,3143281,ANAM BADANAIK,22-Oct-2025 04:12 PM,Rejected-AOC,Not Qualified,10-Dec-2025 05:25 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,3,3140811,ASHOK KUMAR PRADHAN,21-Oct-2025 07:23 PM,Rejected-AOC,Not Qualified,10-Dec-2025 05:25 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,4,3135266,ASUTOSH PATRA,19-Oct-2025 05:14 PM,Rejected-AOC,Not Qualified,10-Dec-2025 05:25 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,5,3131702,Banoj kumar patra,17-Oct-2025 07:06 PM,Rejected-AOC,Not Qualified,10-Dec-2025 05:25 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,6,3140623,Bharat Mirgan,21-Oct-2025 06:44 PM,Rejected-AOC,Not Qualified,10-Dec-2025 05:25 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,7,3140119,BIKASH KUMAR PANDA,22-Oct-2025 02:32 PM,Rejected-AOC,Not Qualified,10-Dec-2025 05:25 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,8,3141305,Biren Samantaray,21-Oct-2025 10:03 PM,Rejected-AOC,Not Qualified,10-Dec-2025 05:25 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,9,3131799,Chaitanya Badanaik,16-Oct-2025 10:50 PM,Rejected-AOC,Not Qualified,10-Dec-2025 05:25 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,10,3141636,DAMODAR MALI,22-Oct-2025 10:24 AM,Rejected-AOC,Not Qualified,10-Dec-2025 05:25 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
