S.No,Bank Name,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Cover No,Cover,Document Type,Description,Name,Address,Tender Fee in ₹,VAT Charges in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Tender Stage,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated on :,Document :,Type :,Summary :,Updated By :.1,Updated On :,Document :.1,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.2,Updated On :.1,Financial Bid Opening Date:,Document :.2,Type :.1,Summary :.1,Updated By :.3,Updated On :.2,Document :.3,BOQ Comparative Chart :,S.No,Bid Number,Bidder Name,Submitted Date,Status,Remarks,Status Updated On,S.No.1,Bid Number.1,Bidder Name.1,Awarded Currency,Awarded Value,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.4,Updated on :.1,AOC document :,AOC Description :,Tender Stage
1.0,ICICI BANK,"Const. of 6 Nos. E Type Qtr. At Barbil PS, Keonjhar",Building Work,Please refer Tender documents. ,NA ,"1,80,89,054",Civil Works - Buildings,NA ,Tender,90.0,365.0,Keonjhar,751022.0,NA ,NA ,NA ,OPHWC BHUBANESWAR,No ,No,"1,80,900",Yes,fixed,,Nil,Nil,Orissa State Police Housing and Welfare Corporation Ltd,13/OPHWC/2025-26,2025_OSPHW_118457_11,Yes,National Competitive Bid,Percentage,Works,2.0,No,No,Online,No,No,No,1.0,Fee/PreQual/Technical,.pdf,"GST, GSTR-1, PAN, Contractor Registration Certificate and Affidavit",CHIEF ENGINEER OPHWC,OPHWC BHUBANESWAR,"11,800",0.0,Nil,Nil,No,24-Sep-2025 06:55 PM,13-Oct-2025 10:30 AM,24-Sep-2025 06:55 PM,10-Oct-2025 05:00 PM,NA ,NA ,24-Sep-2025 06:55 PM,10-Oct-2025 05:00 PM,12-Nov-2025 10:30 AM,AOC,AS PER AS ACCEPTANCE,Internal,AS PER AS ACCEPTANCE,Bikram Keshari Malla,05-Dec-2025 03:08 PM,finsummary_553608.pdf (369.89 KB),Technical,4 Nos. of bidders have been participated,MONALISHA PADHY,13-Oct-2025 12:56 PM,,AS PER AS TC MINUTES,Internal,AS PER AS TC MINUTES,ANANDA CHANDRA PANDA,11-Nov-2025 06:54 PM,12-Nov-2025 10:30 AM,techsummary_553608.pdf (348.19 KB),Finance,Financial bid opened,LAXMIPRIYA NAYAK,12-Nov-2025 11:15 AM,,BOQ Comparative Chart,1,3122070,JYOTIRANJAN BAL,10-Oct-2025 01:48 PM,Rejected-Technical,Absent in the Point of Presentation as per DTCN Cl.110(m).,11-Nov-2025 06:54 PM,1.0,3120119.0,SUBASH CHANDRA LAKRA,INR,"16,160,761",Orissa State Police Housing and Welfare Corporation Ltd,2025_OSPHW_118457_11,13/OPHWC/2025-26,"Const. of 6 Nos. E Type Qtr. At Barbil PS, Keonjhar",05-Dec-2025,"INR 16,160,761",365.0,Bikram Keshari Malla,05-Dec-2025 03:11 PM,BARBIL.pdf (79.00 KB),AWARDED AS L1 TENDERER AND AWARDED ON DATE 03.12.2025,AOC
2.0,ICICI NEFT/RTGS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Other Document as per DTCN,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,2,3117901,Pritiranjan Behera,08-Oct-2025 08:20 PM,Rejected-Finance,DUE TO L1 BIDDER BUT SC BIDDER GET WORK AT L1 RATE,05-Dec-2025 03:08 PM,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,Finance,.xls,Bill of Quantity,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,3,3122102,RATNAKAR NAIK,10-Oct-2025 02:06 PM,Rejected-Technical,Non securing qualifying marks in the Point of Presentation as per DTCN Cl.110(m).,11-Nov-2025 06:54 PM,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,4,3120119,SUBASH CHANDRA LAKRA,09-Oct-2025 04:26 PM,Accepted-AOC,QUALIFIED BIDDER,05-Dec-2025 03:12 PM,,,,,,,,,,,,,,,,,AOC
