Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Name,Address,Tender Fee in ₹,VAT Charges in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Cover No,Cover,Document Type,Description,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,S.No,Bank Name,Tender Stage,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :,Updated on :,AOC document :,AOC Description :,S.No,Bid Number,Bidder Name,Submitted Date,Status,Remarks,Status Updated On,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.1,Updated On :,Financial Bid Opening Date:,Document :,Type :,Summary :,Updated By :.2,Updated On :.1,Document :.1,BOQ Comparative Chart :,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Type :.1,Summary :.1,Updated By :.3,Updated On :.2,Document :.2,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.4,Updated on :.1,Document :.3,S.No.1,Bid Number.1,Bidder Name.1,Awarded Currency,Awarded Value,Tender Stage
28-Oct-2024 06:00 PM,12-Nov-2024 11:30 AM,28-Oct-2024 06:00 PM,11-Nov-2024 05:00 PM,28-Oct-2024 06:00 PM ,08-Nov-2024 05:00 PM ,28-Oct-2024 06:00 PM,11-Nov-2024 05:00 PM,19-Feb-2025 11:30 AM,"73,100",Yes,fixed,,Nil,Nil,"S.E. R and B Division-II, Sambalpur","O/O the S.E. R and B Division-II, Sambalpur","10,000",0.0,Nil,Nil,No,"Construction of Paddy Procurement Center at Badrama LAMPCS under Jamankira Block, in the district of Sambalpur for the year 2024-25 (Composite)",Building works,Please refer Tender documents. ,NA ,"73,06,652",Civil Works - Buildings,NA ,Tender,90.0,180.0,Kuchinda,768222.0,NA ,NA ,NA ,"O/O the S.E. R and B Division-II, Sambalpur",No ,No,1.0,Fee/PreQual/Technical,.pdf,"Valid license, PAN, GST, Affidavit, No relation, Litigation, MOU etc as per dtcn",EIC-CIVIL||SERNB-CIRCLE-NORTHERN||EE R and B Div-II Sambalpur,SE / R and B / SBP II /06 (online)/2024-25,2024_EICCL_106052_5,Yes,National Competitive Bid,Percentage,Works,2.0,No,No,Online,No,No,No,1.0,ICICI BANK,AOC,18-Dec-2025,"INR 6,211,385",180.0,Jagatjit Behera,18-Dec-2025 01:30 PM,78p1.pdf (229.00 KB),Agrt no 78p1 2025-26,1,2633806,Arun Kumar Sukla,09-Nov-2024 01:15 PM,Rejected-AOC,Disqualified in lottery,18-Dec-2025 01:30 PM,A K Lenka SE,Internal,"R N Sahu AE, S K Jena AEE, A K Mishra DAO",Ashok Kumar Lenka,17-Feb-2025 07:33 PM,19-Feb-2025 11:30 AM,techsummary_512309.pdf (109.50 KB),Finance,11 nos financial bid opened,Ashok Kumar Lenka,19-Feb-2025 04:21 PM,,BOQ Comparative Chart,EIC-CIVIL||SERNB-CIRCLE-NORTHERN||EE R and B Div-II Sambalpur,2024_EICCL_106052_5,SE / R and B / SBP II /06 (online)/2024-25,"Construction of Paddy Procurement Center at Badrama LAMPCS under Jamankira Block, in the district of Sambalpur for the year 2024-25 (Composite)",Technical,11 nos technical bid opened and to be evaluated,Ashok Kumar Lenka,18-Nov-2024 06:03 PM,,Jagatjeet Behera SE,Internal,"S.k Jena AEE, A.k mishra DAO",Jagatjit Behera,18-Dec-2025 01:15 PM,finsummary_512309.pdf (336.69 KB),1.0,2621218.0,SAHIL KUMAR RAY,INR,"6,211,385",AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Machineries documents as per DTCN,,,,,,,,,,,,,,,2.0,ICICI NEFT/RTGS,AOC,,,,,,,,2,2617725,DEBASISH PADHAN,09-Nov-2024 03:21 AM,Rejected-AOC,Disqualified in lottery,18-Dec-2025 01:30 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,Finance,.xls,Bill of quantity,,,,,,,,,,,,,,,,,AOC,,,,,,,,3,2635526,LIZA CHOUDHARY,10-Nov-2024 11:45 PM,Rejected-AOC,Disqualified in lottery,18-Dec-2025 01:30 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,4,2638946,NARESH BEHERA,11-Nov-2024 02:58 PM,Rejected-Finance,Due to Zero percentage Less,18-Dec-2025 01:15 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,5,2635781,Nihar Ranjan Patel,11-Nov-2024 12:16 AM,Rejected-AOC,Disqualified in lottery,18-Dec-2025 01:30 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,6,2630321,NNN CONSTRUCTION,09-Nov-2024 01:30 AM,Rejected-AOC,Disqualified in lottery,18-Dec-2025 01:30 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,7,2639739,PRAGNYA PARIMITA PATEL,11-Nov-2024 04:37 PM,Rejected-AOC,Disqualified in lottery,18-Dec-2025 01:30 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,8,2636339,Pratik Kumar Agrawal,11-Nov-2024 01:03 PM,Rejected-AOC,Disqualified in lottery,18-Dec-2025 01:30 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,9,2621218,SAHIL KUMAR RAY,06-Nov-2024 01:10 AM,Accepted-AOC,Qualified in lottery,18-Dec-2025 01:30 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,10,2636929,SATYANARAYAN SAHU,10-Nov-2024 09:12 PM,Rejected-AOC,Disqualified in lottery,18-Dec-2025 01:30 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
