S.No,Bank Name,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Tender Fee in ₹,VAT Charges in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Name,Address,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Cover No,Cover,Document Type,Description,Tender Stage,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated on :,Document :,Type :,Summary :,Updated By :.1,Updated On :,Document :.1,BOQ Comparative Chart :,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.2,Updated on :.1,AOC document :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.3,Updated On :.1,Document :.2,Tender Stage
1.0,ICICI BANK,"4,150",Yes,fixed,,Nil,Nil,"2,000",0.0,Nil,Nil,No,07-Nov-2025 10:00 AM,18-Nov-2025 11:00 AM,07-Nov-2025 10:00 AM,17-Nov-2025 05:00 PM,07-Nov-2025 10:00 AM ,17-Nov-2025 05:00 PM ,07-Nov-2025 10:00 AM,17-Nov-2025 05:00 PM,Improvement to Baghiapidha Chech Dam in Reamal Block of Deogarh District under Imp to CD Scheme,Improvement to Baghiapidha Chech Dam in Reamal Block of Deogarh District under Imp to CD Scheme,C AND D CLASS CONT ,NA ,"4,14,716",Civil Works - Others,Imp to CD ,Tender,90.0,60.0,Deogarh,768119.0,NA ,NA ,NA ,"O/o S.E, M.I. Division, Deogarh",No ,No,"S.E, M.I. Division, Deogarh","O/o S.E, M.I. Division, Deogarh","CE,Minor Irrigation,BBSR||SE,Eastern Minor Irr.Circle,Keonjhar||EE M.I. Division Keonjhar","SE,MID,DGR /04 / 2025-26",2025_CEMIB_120761_6,Yes,Open Tender,Percentage,Works,1.0,No,No,Online,No,No,No,1.0,Fee/PreQual/Technical/Finance,.pdf,"AFFIDAVIT, REGISTRATION CERTIFICATE, PAN CARD, GSTIN AS PER DTCN",AOC,"CE,Minor Irrigation,BBSR||SE,Eastern Minor Irr.Circle,Keonjhar||EE M.I. Division Keonjhar",2025_CEMIB_120761_6,"SE,MID,DGR /04 / 2025-26",Improvement to Baghiapidha Chech Dam in Reamal Block of Deogarh District under Imp to CD Scheme,SE,Internal,,Rashmi Rekha Chattar,22-Dec-2025 06:25 PM,finsummary_561662.pdf (248.83 KB),Finance,All are qualified,Dharitri Patel,03-Dec-2025 05:19 PM,,BOQ Comparative Chart,1.0,3230253.0,MADAN MOHAN PRADHAN,INR,"352,550",1,3230977,ANIL KUMAR SAHU,17-Nov-2025 11:19 AM,Rejected-AOC,Not qualified in lottery system,22-Dec-2025 06:55 PM,22-Dec-2025,"INR 352,550",60.0,Rashmi Rekha Chattar,22-Dec-2025 06:55 PM,baghiapidha.pdf (630.00 KB),SE,Internal,,Rashmi Rekha Chattar,22-Dec-2025 05:55 PM,techsummary_561662.pdf (248.83 KB),AOC
2.0,ICICI NEFT/RTGS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.xls,BILL OF QNTY,AOC,,,,,,,,,,,,,,,,,,,,,,2,3230283,KABITA PRADHAN,16-Nov-2025 09:42 PM,Rejected-AOC,Not qualified in lottery system,22-Dec-2025 06:55 PM,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,3,3214435,KHAGESWAR SAHU,11-Nov-2025 05:43 PM,Rejected-AOC,Not qualified in lottery system,22-Dec-2025 06:55 PM,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,4,3214084,Lokanath sahu,11-Nov-2025 04:40 PM,Rejected-AOC,Not qualified in lottery system,22-Dec-2025 06:55 PM,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,5,3230253,MADAN MOHAN PRADHAN,16-Nov-2025 09:53 PM,Accepted-AOC,qualified in lottery system,22-Dec-2025 06:55 PM,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,6,3228487,MAYADHAR MOHANTY,15-Nov-2025 10:34 PM,Rejected-AOC,Not qualified in lottery system,22-Dec-2025 06:55 PM,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,7,3225393,PRAMOD KUMAR PRADHAN,14-Nov-2025 04:37 PM,Rejected-AOC,Not qualified in lottery system,22-Dec-2025 06:55 PM,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,8,3228988,SABITRI SAHOO,16-Nov-2025 06:36 PM,Rejected-AOC,Not qualified in lottery system,22-Dec-2025 06:55 PM,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,9,3229809,SUKANTI PRADHAN,16-Nov-2025 06:16 PM,Rejected-AOC,Not qualified in lottery system,22-Dec-2025 06:55 PM,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,10,3232504,SUPRIYA PANDA,17-Nov-2025 03:36 PM,Rejected-AOC,Not qualified in lottery system,22-Dec-2025 06:55 PM,,,,,,,,,,,,,AOC
