S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Type :,Summary :,Updated By :,Updated On :,Document :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.1,Updated on :,Document :.1,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.2,Updated On :.1,Financial Bid Opening Date:,Document :.2,Type :.1,Summary :.1,Updated By :.3,Updated On :.2,Document :.3,BOQ Comparative Chart :,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.4,Updated on :.1,AOC document :,Tender Stage,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Cover No,Cover,Document Type,Description,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Tender Fee in ₹,VAT Charges in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Name,Address,S.No,Bank Name,Tender Stage
1.0,3040262.0,SARBESWAR MOHANTA,INR,"7,398,612",CE RW I||RWCIRCLE-BARIPADA||RW Division Rairangpur,2025_CERWI_116508_1,RD 04,Construction of Twin D type qtr building at Hatbadra PHC N under Kusumi block for the year 23-24,Technical,open,Sanjeet Kumar Naik,19-Sep-2025 04:01 PM,technical_548360.pdf,Sri Sanjeet Kumar Naik,Internal,,Sanjeet Kumar Naik,06-Dec-2025 01:01 PM,finsummary_548360.pdf (358.90 KB),Sri Sanjeet Kumar Naik,Internal,,Sanjeet Kumar Naik,19-Sep-2025 04:06 PM,20-Sep-2025 09:00 AM,techsummary_548360.pdf (203.84 KB),Finance,open,Sanjeet Kumar Naik,06-Dec-2025 12:58 PM,finance_548360.pdf,BOQ Comparative Chart,1,3040365,ABHISEK KUMAR MOHANTY,18-Aug-2025 04:31 PM,Rejected-AOC,Lottery,06-Dec-2025 01:05 PM,06-Dec-2025,"INR 7,398,612",270.0,Sanjeet Kumar Naik,06-Dec-2025 01:05 PM,5955.pdf (359.00 KB),AOC,06-Aug-2025 11:00 AM,19-Aug-2025 11:30 AM,06-Aug-2025 11:00 AM,18-Aug-2025 05:00 PM,06-Aug-2025 11:00 AM ,16-Aug-2025 05:00 PM ,06-Aug-2025 11:00 AM,18-Aug-2025 05:00 PM,20-Sep-2025 09:00 AM,Construction of Twin D type qtr building at Hatbadra PHC N under Kusumi block for the year 23-24,Construction of Twin D type qtr building at Hatbadra PHC N under Kusumi block for the year 23-24,NA ,NA ,"87,03,226",Civil Works - Buildings,NA ,Tender,90.0,270.0,Mayurbhanj,757043.0,NA ,NA ,NA ,"RURAL WORKS DIVISION, RAIRANGPUR",No ,No,"87,030",Yes,fixed,,Nil,Nil,1.0,Fee/PreQual/Technical,.pdf,RC PAN GSTIN affidavit electrical licence etc as per DTCN,CE RW I||RWCIRCLE-BARIPADA||RW Division Rairangpur,RD 04,2025_CERWI_116508_1,Yes,Open Tender,Percentage,Works,2.0,No,No,Online,No,No,No,"10,000",0.0,Nil,Nil,No,Divisional Officer,"RURAL WORKS DIVISION, RAIRANGPUR",1.0,ICICI BANK,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,3039598,AMARENDRA MOHANTA,18-Aug-2025 08:42 AM,Rejected-AOC,Lottery,06-Dec-2025 01:05 PM,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,Finance,.xls,Bill of quantity,,,,,,,,,,,,,,,,,,,,,,2.0,ICICI NEFT/RTGS,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,3039369,BARENDRA KRISHNA MATAGAJSINGH,17-Aug-2025 08:14 PM,Rejected-AOC,Lottery,06-Dec-2025 01:05 PM,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,3040141,joyram beshra,18-Aug-2025 02:39 PM,Rejected-AOC,Lottery,06-Dec-2025 01:05 PM,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,3039150,Jujhar Murmu,17-Aug-2025 03:19 PM,Rejected-AOC,Lottery,06-Dec-2025 01:05 PM,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,3040080,SABYASACHI GIRI,18-Aug-2025 02:14 PM,Rejected-AOC,Lottery,06-Dec-2025 01:05 PM,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,3039607,SABYASACHI KHUNTIA,18-Aug-2025 09:37 AM,Rejected-AOC,Lottery,06-Dec-2025 01:05 PM,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,3040262,SARBESWAR MOHANTA,18-Aug-2025 03:26 PM,Accepted-AOC,Lottery winner,06-Dec-2025 01:05 PM,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,3039075,SARBSHREE ENGINEERING AND CONSTRUCTIONS PVT LTD,17-Aug-2025 01:56 PM,Rejected-AOC,Lottery,06-Dec-2025 01:05 PM,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,3039243,SATYA SUNDAR DAS,17-Aug-2025 05:30 PM,Rejected-AOC,Lottery,06-Dec-2025 01:05 PM,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
