Type :,Summary :,Updated By :,Updated On :,Document :,BOQ Comparative Chart :,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.1,Updated on :,Document :.1,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.2,Updated On :.1,Document :.2,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.3,Updated on :.1,AOC document :,AOC Description :,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Tender Stage,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,S.No,Bank Name,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Name,Address,Cover No,Cover,Document Type,Description,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Tender Fee in ₹,VAT Charges in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Tender Stage
Finance,Document to be verified and under scrutiny.,Sudipta Senapati,05-Dec-2025 04:47 PM,finance_556479.pdf,BOQ Comparative Chart,1.0,3149475.0,PANCHANAN SAHU,INR,"214,196",CE RW I||RWCIRCLE-BERHAMPUR||RWDIVISION-GANJAM - II,2025_CERWI_119627_1,Online Tender/10/SERWD-II/2025-26,SR to RI Office Building at Jagadalpur for the year 2025-26,"S.E, R.W.D-II, Ganjam, Berhampur",Internal,"Divisional Accounts Officer, Junior Engineer Estimator",Sudipta Senapati,06-Dec-2025 01:43 PM,finsummary_556479.pdf (2870.66 KB),"S.E, R.W.D-II, Ganjam, Berhampur",Internal,"Divisional Accounts Officer, Junior Engineer Estimator",Sudipta Senapati,06-Dec-2025 01:39 PM,techsummary_556479.pdf (1453.86 KB),06-Dec-2025,"INR 214,196",30.0,Sudipta Senapati,06-Dec-2025 01:47 PM,3RIoffjagadalpurWO.pdf (855.00 KB),Work Order,1,3166221,BAPINI SETHY,29-Oct-2025 03:36 PM,Rejected-AOC,Unsuccessful Bidder,06-Dec-2025 01:47 PM,AOC,16-Oct-2025 05:30 PM,30-Oct-2025 11:00 AM,16-Oct-2025 05:30 PM,29-Oct-2025 05:00 PM,16-Oct-2025 05:30 PM ,28-Oct-2025 05:00 PM ,16-Oct-2025 05:30 PM,29-Oct-2025 05:00 PM,SR to RI Office Building at Jagadalpur for the year 2025-26,SR to RI Office Building at Jagadalpur for the year 2025-26,NA ,NA ,"2,51,966",Civil Works - Buildings,NA ,Tender,90.0,30.0,Berhampur,760012.0,NA ,NA ,NA ,"O/o the S.E R.W.D-II, Ganjam, Berhampur",No ,No,1.0,ICICI BANK,"2,600",Yes,fixed,,Nil,Nil,"Superintending Engineer RWD-II, GJM, BAM","O/o the Superintending Engineer Rural Works Division-II, Ganjam, Berhampur",1.0,Fee/PreQual/Technical/Finance,.pdf,Valid RC Copy Affidavit EMD Tender paper Cost PAN and GST Regi. as per DTCN in PDF And BoQ in Excel,CE RW I||RWCIRCLE-BERHAMPUR||RWDIVISION-GANJAM - II,Online Tender/10/SERWD-II/2025-26,2025_CERWI_119627_1,Yes,National Competitive Bid,Percentage,Works,1.0,No,No,Online,No,No,No,"2,000",0.0,Nil,Nil,No,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,3163926,DEEPAK KUMAR MOHAPATRA,28-Oct-2025 03:48 PM,Rejected-AOC,Unsuccessful Bidder,06-Dec-2025 01:47 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,ICICI NEFT/RTGS,,,,,,,,,,,.xls,Boq,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,3159877,DEEPAK KUMAR PATRO,27-Oct-2025 03:44 PM,Rejected-AOC,Unsuccessful Bidder,06-Dec-2025 01:47 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,3136864,G Kamaraju Reddy,24-Oct-2025 08:56 AM,Rejected-AOC,Unsuccessful Bidder,06-Dec-2025 01:47 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,3164118,GOBINDA CHANDRA SETHI,28-Oct-2025 04:47 PM,Rejected-AOC,Unsuccessful Bidder,06-Dec-2025 01:47 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,3159111,JUGESH KUMAR MAHAKUL,27-Oct-2025 01:53 PM,Rejected-AOC,Unsuccessful Bidder,06-Dec-2025 01:47 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,3155592,JYOSHNA RANI SAHU,26-Oct-2025 07:04 PM,Rejected-AOC,Unsuccessful Bidder,06-Dec-2025 01:47 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,3159976,KRISHNA JENA,27-Oct-2025 04:00 PM,Rejected-AOC,Unsuccessful Bidder,06-Dec-2025 01:47 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,3166097,Lachheya Mangulu Nadi,29-Oct-2025 02:57 PM,Rejected-AOC,Unsuccessful Bidder,06-Dec-2025 01:47 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,3146221,MUNA SETHI,28-Oct-2025 02:22 PM,Rejected-AOC,Unsuccessful Bidder,06-Dec-2025 01:47 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
