Type :,Summary :,Updated By :,Updated On :,Document :,BOQ Comparative Chart :,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.1,Updated on :,AOC document :,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.2,Updated On :.1,Document :.1,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.3,Updated on :.1,Document :.2,Tender Stage,S.No,Bank Name,Tender Fee in ₹,VAT Charges in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Name,Address,Cover No,Cover,Document Type,Description,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Tender Stage
Finance,Document downloaded,Priyadarshini Behera,07-Nov-2025 05:36 PM,finance_557605.pdf,BOQ Comparative Chart,22-Dec-2025,"INR 847,260",60.0,Soubhagya Kumar Das,22-Dec-2025 05:04 PM,59SL.pdf (712.00 KB),1.0,3166573.0,KAMALESH KUMAR DASH,INR,"847,260",CE RW I||RWCIRCLE-BALASORE||RWDIVISION-BALASORE,2025_CERWI_119924_59,04 SERW BLS 2025-26,Hentasura to Bimburia road,1,3172077,AJIT KUMAR MALIK,01-Nov-2025 01:36 PM,Rejected-AOC,Not Qualified,22-Dec-2025 05:04 PM,Soubhagya Kumar Das,Internal,,Soubhagya Kumar Das,22-Dec-2025 04:45 PM,techsummary_557605.pdf (711.81 KB),Soubhagya Kumar Das,Internal,,Soubhagya Kumar Das,22-Dec-2025 04:49 PM,finsummary_557605.pdf (711.81 KB),AOC,1.0,ICICI BANK,"4,000",0.0,Nil,Nil,No,"SE RW Division, Balasore","O/o the SE RW Division, Balasore",1.0,Fee/PreQual/Technical/Finance,.pdf,"P.cost, EMD, RC, Pan, valid GSTIN, Affidavit, No relation certificate and other as per DTCN","9,967",Yes,percentage,1.0%,Nil,Nil,CE RW I||RWCIRCLE-BALASORE||RWDIVISION-BALASORE,04 SERW BLS 2025-26,2025_CERWI_119924_59,Yes,Open Tender,Percentage,Works,1.0,No,No,Online,No,No,No,Hentasura to Bimburia road,Hentasura to Bimburia road,Please refer tender documents ,NA ,"9,96,659",Civil Works - Roads,NA ,Tender,90.0,60.0,Balasore,756001.0,NA ,NA ,NA ,"RURAL WORKS DIVISION, BALASORE",No ,No,23-Oct-2025 04:00 PM,04-Nov-2025 11:00 AM,23-Oct-2025 04:00 PM,03-Nov-2025 05:00 PM,23-Oct-2025 04:00 PM ,03-Nov-2025 01:00 PM ,23-Oct-2025 04:00 PM,03-Nov-2025 05:00 PM,AOC
,,,,,,,,,,,,,,,,,,,,,2,3166573,KAMALESH KUMAR DASH,31-Oct-2025 03:58 PM,Accepted-AOC,Qualified,22-Dec-2025 05:04 PM,,,,,,,,,,,,,AOC,2.0,ICICI NEFT/RTGS,,,,,,,,,,.xls,BOQ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,3,3167477,MAA JAGADHATRI LCCS LTD,30-Oct-2025 02:25 PM,Rejected-AOC,Not Qualified,22-Dec-2025 05:04 PM,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,4,3160544,MAHADEBI PARTIHARI,30-Oct-2025 02:11 PM,Rejected-AOC,Not Qualified,22-Dec-2025 05:04 PM,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,5,3174801,MANAS RANJAN BARIK,02-Nov-2025 07:38 PM,Rejected-AOC,Not Qualified,22-Dec-2025 05:04 PM,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,6,3168407,NILAMBAR MOHAPATRA,30-Oct-2025 08:50 PM,Rejected-AOC,Not Qualified,22-Dec-2025 05:04 PM,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,7,3168694,NIRANJAN MAIKAP,30-Oct-2025 08:38 PM,Rejected-AOC,Not Qualified,22-Dec-2025 05:04 PM,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,8,3172036,PADMINI ROUT,03-Nov-2025 12:09 PM,Rejected-AOC,Not Qualified,22-Dec-2025 05:04 PM,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,9,3165002,PANKAJ KUMAR PATRA,28-Oct-2025 10:17 PM,Rejected-AOC,Not Qualified,22-Dec-2025 05:04 PM,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,10,3162558,RABINDRA DASH,29-Oct-2025 12:56 PM,Rejected-AOC,Not Qualified,22-Dec-2025 05:04 PM,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,11,3168477,RAMAKRUSHNA MOHAPATRA,01-Nov-2025 02:21 PM,Rejected-AOC,Not Qualified,22-Dec-2025 05:04 PM,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,12,3170618,SRIKANTA MOHANTY,01-Nov-2025 09:12 AM,Rejected-AOC,Not Qualified,22-Dec-2025 05:04 PM,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,13,3164731,Surjyananda Pradhan,29-Oct-2025 06:09 PM,Rejected-AOC,Not Qualified,22-Dec-2025 05:04 PM,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
