Name,Address,S.No,Bank Name,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Cover No,Cover,Document Type,Description,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Tender Stage,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated on :,Document :,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Type :,Summary :,Updated By :.1,Updated On :,Document :.1,BOQ Comparative Chart :,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.2,Updated on :.1,AOC document :,AOC Description :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.3,Updated On :.1,Document :.2,Tender Stage
"SE UKIDIVN, Borigumma,Dist-Koraput","Office of the Superintending Engineer, U.K.I.Division,Borigumma, Dist- Koraput, PIN 764056",1.0,ICICI BANK,CE AND BM IK BASIN BARINIPUT JEYPORE||Upper Kolab Project Bariniput||Upper Kolab Irrigation Division Borigumma,SEUKID-03/2025-26 (SL07),2025_UPIDB_120552_1,Yes,Open Tender,Percentage,Works,1.0,No,No,Online,No,No,No,1.0,Fee/PreQual/Technical/Finance,.pdf,"Affidavit, GST Registration Certificate, GSTIN, PAN and Contractor RC, No Relation Certificate, etc.","6,000",Nil,Nil,No,"10,900",Yes,fixed,,Nil,Nil,Construction of Hume pipe culvert at RD 0.650 km with trough wall of Ekama minor.,CANAL STRUCTURAL WORK,AS PER DTCN ,NA ,"10,84,658",Civil Works - Canal,NA ,Tender,90.0,60.0,BORIGUMMA,764056.0,NA ,NA ,NA ,"Office of the SE UKIDIVN, Borigumma,Dist-Koraput.",No ,No,04-Nov-2025 11:00 AM,15-Nov-2025 11:00 AM,04-Nov-2025 11:00 AM,14-Nov-2025 05:00 PM,NA ,NA ,04-Nov-2025 11:00 AM,14-Nov-2025 05:00 PM,AOC,"SE,UKID,Borigumma",Internal,"Divisional Accountant, Estimator",Narendra Kumar Sitha,06-Dec-2025 07:01 PM,finsummary_560872.pdf (329.13 KB),CE AND BM IK BASIN BARINIPUT JEYPORE||Upper Kolab Project Bariniput||Upper Kolab Irrigation Division Borigumma,2025_UPIDB_120552_1,SEUKID-03/2025-26 (SL07),Construction of Hume pipe culvert at RD 0.650 km with trough wall of Ekama minor.,1.0,3224153.0,SANGAM KUMAR MISHRA,INR,"922,068",Finance,Bid opening summary,Narendra Kumar Sitha,04-Dec-2025 09:50 PM,finance_560872.pdf,BOQ Comparative Chart,1,3223402,AMIT KUMAR BISHOI,14-Nov-2025 08:04 AM,Rejected-Finance,Disqualified in transparent lottery system.,06-Dec-2025 07:01 PM,10-Dec-2025,"INR 1,084,658",60.0,Narendra Kumar Sitha,30-Dec-2025 01:33 PM,WO07.pdf (212.00 KB),Work Order,"SE,UKID,Borigumma",Internal,"Divisional Accountant , Estimator",Narendra Kumar Sitha,04-Dec-2025 11:12 PM,techsummary_560872.pdf (180.41 KB),AOC
,,2.0,ICICI NEFT/RTGS,,,,,,,,,,,,,,,,,.pdf,"Tender cost, EMD, undertaking, Check list, and any other documents as per DTCN.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,2,3225384,AMLAN JYOTI MADALA,14-Nov-2025 04:45 PM,Rejected-Finance,Disqualified in transparent lottery system.,06-Dec-2025 07:01 PM,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,.xls,BOQ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,3,3216600,ANKITA SAHU,12-Nov-2025 07:59 PM,Rejected-Finance,Disqualified in transparent lottery system.,06-Dec-2025 07:01 PM,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,4,3223932,BHUBANESWAR KHATI,14-Nov-2025 12:28 PM,Rejected-Finance,Disqualified in transparent lottery system.,06-Dec-2025 07:01 PM,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,5,3219683,DEBA RANJAN PATRA,13-Nov-2025 12:27 AM,Rejected-Finance,Disqualified in transparent lottery system.,06-Dec-2025 07:01 PM,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,6,3213123,DINESH PATNAIK,11-Nov-2025 02:25 PM,Rejected-Finance,Disqualified in transparent lottery system.,06-Dec-2025 07:01 PM,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,7,3212168,KIRAN KUMAR PATNAIK,11-Nov-2025 12:34 PM,Rejected-Finance,Disqualified in transparent lottery system.,06-Dec-2025 07:01 PM,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,8,3219689,LAXMI NARAYAN BISSOI,13-Nov-2025 12:21 AM,Rejected-Finance,Disqualified in transparent lottery system.,06-Dec-2025 07:01 PM,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,9,3222695,RAHUL KUMAR BISOYI,13-Nov-2025 07:59 PM,Rejected-Finance,Disqualified in transparent lottery system.,06-Dec-2025 07:01 PM,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,10,3215109,RAKESH KUMAR NAYAK,11-Nov-2025 08:41 PM,Rejected-Finance,Disqualified in transparent lottery system.,06-Dec-2025 07:01 PM,,,,,,,,,,,,,,AOC
