Type :,Summary :,Updated By :,Updated On :,Document :,BOQ Comparative Chart :,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.1,Updated on :,AOC document :,AOC Description :,S.No,Bid Number,Bidder Name,Submitted Date,Status,Remarks,Status Updated On,S.No.1,Bid Number.1,Bidder Name.1,Awarded Currency,Awarded Value,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.2,Updated On :.1,Document :.1,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.3,Updated on :.1,Document :.2,Tender Stage,Name,Address,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,S.No,Bank Name,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Cover No,Cover,Document Type,Description,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Tender Stage
Finance,Bid documents of all the bidders have been downloaded successfully.,Samyak Bikash Subudhi,12-Nov-2025 01:38 PM,finance_560123.pdf,BOQ Comparative Chart,01-Dec-2025,"INR 579,690",90.0,Samyak Bikash Subudhi,11-Dec-2025 05:56 PM,10WOManojKumarSahoo.pdf (1252.00 KB),Winner in the transparent lottery system for award of contract.,1,3195305,Ajit Kumar Acharya,08-Nov-2025 10:55 AM,Rejected-Finance,Not won in the transparent lottery system,27-Nov-2025 11:23 AM,1.0,3196416.0,Manoj Kumar sahoo,INR,"579,690",CE and BM Brahmani Basin Samal||SE Angul Irrigation Circle Angul||EE Angul Irrigation Division Angul,2025_CEBBS_120339_10,SE-AID-8/2025-26,Improvement to Laxmanpur Sub-Minor and Pitabaspur Sub-Minor offtaking from LMC of Manjore Irrigation Project.,Superintending Engineer,Internal,"DAO, Estimator",Santoshibala Sahuranta Sahoo,27-Nov-2025 11:02 AM,techsummary_560123.pdf (184.76 KB),Superintending Engineer,Internal,"DAO, Estimator",Santoshibala Sahuranta Sahoo,27-Nov-2025 11:23 AM,finsummary_560123.pdf (441.47 KB),AOC,"S.E, Angul Irr. Divn. Angul","O.O the S.E, Angul Irr. Divn. Angul, At/P.O- Hakimpada, Dist-Angul",CE and BM Brahmani Basin Samal||SE Angul Irrigation Circle Angul||EE Angul Irrigation Division Angul,SE-AID-8/2025-26,2025_CEBBS_120339_10,Yes,Open Tender,Percentage,Works,1.0,No,No,Online,No,No,No,"6,900",Yes,fixed,,Nil,Nil,1.0,ICICI BANK,31-Oct-2025 11:00 AM,11-Nov-2025 11:00 AM,31-Oct-2025 11:00 AM,10-Nov-2025 05:00 PM,31-Oct-2025 11:00 AM ,06-Nov-2025 05:00 PM ,31-Oct-2025 11:00 AM,10-Nov-2025 05:00 PM,1.0,Fee/PreQual/Technical/Finance,.pdf,"Tender Cost, EMD, GSTIN, PAN, Contractor R.C, Registered under CDMS portal, NRC.","4,000",Nil,Nil,No,Improvement to Laxmanpur Sub-Minor and Pitabaspur Sub-Minor offtaking from LMC of Manjore Irrigation Project.,Improvement to Laxmanpur Sub-Minor and Pitabaspur Sub-Minor offtaking from LMC of Manjore Irrigation Project.,NA ,NA ,,Civil Works - Canal,Canal Works ,Tender,90.0,90.0,Angul,759143.0,NA ,NA ,NA ,"O.O the S.E, Angul Irr. Divn. Angul",No ,No,AOC
,,,,,,,,,,,,,2,3176473,ANCHAL AGRAWAL,03-Nov-2025 06:26 PM,Rejected-Finance,Not won in the transparent lottery system,27-Nov-2025 11:23 AM,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,2.0,ICICI NEFT/RTGS,,,,,,,,,,,.pdf,"Affidavits, undertakings and any other document as per SBD/DTCN.",,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,3,3207495,ASHOK KUMAR MAHAKUD,10-Nov-2025 02:14 PM,Rejected-Finance,Not won in the transparent lottery system,27-Nov-2025 11:23 AM,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.xls,BOQ,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,4,3204813,BAPUJI KUMAR SAHOO,10-Nov-2025 10:05 AM,Rejected-Finance,Not won in the transparent lottery system,27-Nov-2025 11:23 AM,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,5,3207607,BIBHUDATTA PRADHAN,10-Nov-2025 02:34 PM,Rejected-Finance,Not won in the transparent lottery system,27-Nov-2025 11:23 AM,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,6,3194808,Braja Mohan Nayak,07-Nov-2025 06:36 PM,Rejected-Finance,Not won in the transparent lottery system,27-Nov-2025 11:23 AM,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,7,3206203,Kamal Bhoi,10-Nov-2025 12:41 PM,Rejected-Finance,Not won in the transparent lottery system,27-Nov-2025 11:23 AM,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,8,3195164,KAMAL KUMAR GOENKA,07-Nov-2025 07:46 PM,Rejected-Finance,Not won in the transparent lottery system,27-Nov-2025 11:23 AM,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,9,3196454,MANABHANJAN PANDA,08-Nov-2025 11:39 AM,Rejected-Finance,Not won in the transparent lottery system,27-Nov-2025 11:23 AM,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,10,3196416,Manoj Kumar sahoo,08-Nov-2025 11:19 AM,Accepted-AOC,Winner in the transparent lottery system for award of contract.,11-Dec-2025 05:56 PM,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
