S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated on :,Document :,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Type :,Summary :,Updated By :.1,Updated On :,Document :.1,Type :.1,Summary :.1,Updated By :.2,Updated On :.1,Document :.2,BOQ Comparative Chart :,S.No.1,Revocation Title,Revocation Description,Published Date,Document Name,Document Size(in KB),Revocated To,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.3,Updated On :.2,Financial Bid Opening Date:,Document :.3,S.No.2,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.4,Updated on :.1,AOC document :,Tender Stage,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,S.No,Corrigendum Title,Corrigendum Type,View,Cover No,Cover,Document Type,Description,Name,Address,S.No.1,Bank Name,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Tender Stage
1.0,2995705.0,Ghanashyam Bhoi,INR,"6,909,107",General Manager,Internal,,Basanta Kumar Behera,10-Dec-2025 10:37 AM,finsummary_543353.pdf (957.96 KB),WATCO Bhubaneswar||Director (Operation) Watco||GM WATCO DIVISION-I BBSR,2025_GWCDB_114544_1,GMWATCO-I/25(11)/2025-26 Dt.10.06.2025,"Provision towards laying of 100mm and 150mm dia DI w/s pipeline with interconnection and installation of isolation valves etc. at Siva Temple Road damana, Puri Gramya Bank Road Patia Village, Sailashreevihar phase-7, and adjacent areas of Bhubaneswar",Technical,Seven no technical bids are received online and the bid is admitted subject to detail scrutiny after downloading the bid documents and after which the bid will be finally determined as valid or invalid,Basanta Kumar Behera,02-Sep-2025 04:56 PM,,Finance,Six no financial bids are received online and the bid is admitted subject to detail scrutiny after downloading the bid documents and after which the bid will be finally determined as valid or invalid,Basanta Kumar Behera,03-Sep-2025 05:34 PM,,BOQ Comparative Chart,1.0,Corrigendum,Technical Bed Revokation,02-Sep-2025 03:55 PM,Revokation.pdf ,744.51,Technical Opening,General Manager,Internal,,Basanta Kumar Behera,03-Sep-2025 12:31 PM,03-Sep-2025 04:30 PM,techsummary_543353.pdf (3708.09 KB),1,2989324,Biswajeet Sahoo,04-Jul-2025 06:29 PM,Rejected-AOC,Not a lowest bidder,10-Dec-2025 10:47 AM,10-Dec-2025,"INR 6,909,107",180.0,Basanta Kumar Behera,10-Dec-2025 10:47 AM,AOC.pdf (1573.00 KB),AOC,"Provision towards laying of 100mm and 150mm dia DI w/s pipeline with interconnection and installation of isolation valves etc. at Siva Temple Road damana, Puri Gramya Bank Road Patia Village, Sailashreevihar phase-7, and adjacent areas of Bhubaneswar","Provision towards laying of 100mm and 150mm dia DI w/s pipeline with interconnection and installation of isolation valves etc. at Siva Temple Road damana, Puri Gramya Bank Road Patia Village, Sailashreevihar phase-7, and adjacent areas of Bhubaneswar",Please refer Tender documents. ,NA ,"81,27,000",Civil Works - Water Works,NA ,Tender,120.0,180.0,"Patia, Bhubaneswar",751024.0,NA ,NA ,NA ,Bhubaneswar,No ,No,"11,800",Nil,Nil,No,1.0,Corrigendum,Other,,1.0,Fee/PreQual/Technical,.pdf,"Copy of PAN, GST, Affidavits, as per DTCN",General Manager,"General Manager, WATCO Division-I, Vanivihar Square, Bhubaneswar, Odisha, Pin-751022, Phone (0674) -2542821",1.0,ICICI BANK,WATCO Bhubaneswar||Director (Operation) Watco||GM WATCO DIVISION-I BBSR,GMWATCO-I/25(11)/2025-26 Dt.10.06.2025,2025_GWCDB_114544_1,Yes,National Competitive Bid,Percentage,Works,2.0,No,No,Online,No,No,No,"82,000",Yes,fixed,,Nil,Nil,23-Jun-2025 06:50 PM,14-Jul-2025 12:30 PM,23-Jun-2025 06:50 PM,11-Jul-2025 05:00 PM,NA ,NA ,23-Jun-2025 06:50 PM,11-Jul-2025 05:00 PM,03-Sep-2025 04:30 PM,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,2990058,DEBASH KUMAR SIA,08-Jul-2025 10:47 AM,Rejected-AOC,Not a lowest bidder,10-Dec-2025 10:47 AM,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,"Certificates, Formats, Schedules and other documents if any as per DTCN",,,2.0,ICICI NEFT/RTGS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,2996160,FLOWTECH AUTOMATION PRIVATE LIMITED,11-Jul-2025 01:06 PM,Rejected-AOC,Not a lowest bidder,10-Dec-2025 10:47 AM,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,Finance,.xls,Bill of Quantity,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,2995705,Ghanashyam Bhoi,11-Jul-2025 02:47 PM,Accepted-AOC,Lowest bidder in Lottery,10-Dec-2025 10:47 AM,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,2994669,JAGANNATH ROUT,10-Jul-2025 09:53 AM,Rejected-AOC,Not a lowest bidder,10-Dec-2025 10:47 AM,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,2996121,RABINARAYAN SETHI,11-Jul-2025 01:29 PM,Rejected-AOC,Not a lowest bidder,10-Dec-2025 10:47 AM,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,2994455,TAPAS RANJAN MALLICK,09-Jul-2025 07:19 PM,Rejected-Technical,Technically disqualified,03-Sep-2025 12:31 PM,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
