S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Type :,Summary :,Updated By :,Updated On :,Document :,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.1,Updated on :,Document :.1,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.2,Updated On :.1,Financial Bid Opening Date:,Document :.2,Type :.1,Summary :.1,Updated By :.3,Updated On :.2,Document :.3,BOQ Comparative Chart :,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.4,Updated on :.1,AOC document :,AOC Description :,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Tender Stage,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Name,Address,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Cover No,Cover,Document Type,Description,S.No,Bank Name,Tender Fee in ₹,VAT Charges in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Tender Stage
1.0,3101111.0,SAGARIKA SWAIN,INR,"6,815,627.69",Technical,ALL BIDDERS ARE ACCEPTED,Basanta Soren,10-Oct-2025 02:46 PM,technical_553188.pdf,"CE,Minor Irrigation,BBSR||SECMIC-BHUBANESWAR||CUTTACK",2025_CEMIB_118308_3,SECMID_15/2025-26,Construction of BT Road side of Right main canal From RD 2113m to RD 3893 m in Jamunabandha MIP in Tigiria Block of Cuttcak District under Capex Road scheme for the year 2025-26.,SE,Internal,"SE,DAO,AEE,AE",Basanta Soren,02-Dec-2025 12:59 PM,finsummary_553188.pdf (380.43 KB),SE,Internal,"SE,DAO,AEE,AE",Basanta Soren,10-Oct-2025 02:53 PM,13-Oct-2025 11:00 AM,techsummary_553188.pdf (380.43 KB),Finance,ALL BIDDERS ARE ACCEPTED,Beda Prakash Nayak,15-Oct-2025 07:44 PM,finance_553188.pdf,BOQ Comparative Chart,02-Dec-2025,"INR 6,815,627.69",150.0,Basanta Soren,02-Dec-2025 01:15 PM,JAMUNABANDHA.pdf (1704.00 KB),Agreement,1,3115033,AJIT KUMAR NAYAK,07-Oct-2025 08:25 PM,Rejected-Finance,NOT QUALIFIED IN LOTTERY,02-Dec-2025 12:59 PM,AOC,22-Sep-2025 10:00 AM,09-Oct-2025 11:00 AM,22-Sep-2025 10:00 AM,08-Oct-2025 05:00 PM,NA ,NA ,22-Sep-2025 10:00 AM,08-Oct-2025 05:00 PM,13-Oct-2025 11:00 AM,"SE, MID CUTTACK","SE, MID CUTTACK","80,200",Yes,fixed,,Nil,Nil,Construction of BT Road side of Right main canal From RD 2113m to RD 3893 m in Jamunabandha MIP in Tigiria Block of Cuttcak District under Capex Road scheme for the year 2025-26.,Construction of BT Road side of Right main canal From RD 2113m to RD 3893 m in Jamunabandha MIP in Tigiria Block of Cuttcak District under Capex Road scheme for the year 2025-26.,Please refer Tender documents. ,NA ,"80,17,442",Civil Works - Canal,NA ,Tender,90.0,150.0,Tigiria,754030.0,NA ,NA ,NA ,"SE, MID CUTTACK",No ,No,"CE,Minor Irrigation,BBSR||SECMIC-BHUBANESWAR||CUTTACK",SECMID_15/2025-26,2025_CEMIB_118308_3,Yes,Open Tender,Percentage,Works,2.0,No,No,Online,No,No,No,1.0,Fee/PreQual/Technical,.pdf,DTCN,1.0,ICICI BANK,"10,000",0.0,Nil,Nil,No,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,3116877,AJIT SAMAL,08-Oct-2025 03:49 PM,Rejected-Finance,NOT QUALIFIED IN LOTTERY,02-Dec-2025 12:59 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,"AFFIDAVIT, PAN, GSTIN, LICENSE, NRC",2.0,ICICI NEFT/RTGS,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,3103267,AKHILA KUMAR ROUT,30-Sep-2025 11:07 AM,Rejected-Finance,NOT QUALIFIED IN LOTTERY,02-Dec-2025 12:59 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,Finance,.xls,BOQ,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,3104628,ANSHUMAN TRIPATHY,01-Oct-2025 05:07 PM,Rejected-Finance,NOT QUALIFIED IN LOTTERY,02-Dec-2025 12:59 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,3101471,ANTARJYAMI DEBATA,28-Sep-2025 10:40 AM,Rejected-Finance,NOT QUALIFIED IN LOTTERY,02-Dec-2025 12:59 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,3116348,BIKASH CHANDRA NAYAK,08-Oct-2025 01:35 PM,Rejected-Finance,NOT QUALIFIED IN LOTTERY,02-Dec-2025 12:59 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,3105445,BISAL KUMAR MOHARANA,02-Oct-2025 01:15 PM,Rejected-Finance,NOT QUALIFIED IN LOTTERY,02-Dec-2025 12:59 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,3110239,CHANDRAKANTA LENKA,04-Oct-2025 09:15 PM,Rejected-Finance,NOT QUALIFIED IN LOTTERY,02-Dec-2025 12:59 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,3110972,CHITRASEN DAS,05-Oct-2025 03:10 PM,Rejected-Finance,NOT QUALIFIED IN LOTTERY,02-Dec-2025 12:59 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,3114159,DILIP KUMAR BARAL,07-Oct-2025 01:35 PM,Rejected-Finance,NOT QUALIFIED IN LOTTERY,02-Dec-2025 12:59 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
