Cover No,Cover,Document Type,Description,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Name,Address,Tender Fee in ₹,VAT Charges in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,S.No,Bank Name,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Tender Stage,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated on :,Document :,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Type :,Summary :,Updated By :.1,Updated On :,Document :.1,BOQ Comparative Chart :,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.2,Updated on :.1,AOC document :,AOC Description :,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.3,Updated On :.1,Document :.2,Tender Stage
1.0,Fee/PreQual/Technical/Finance,.pdf,"PANCARD, GST, CONTRACTOR REGISTRATION AFFIDAVIT ETC","2,110",Yes,fixed,,Nil,Nil,Divisional Officer,"RURAL WORKS DIVISION NO.II, MALKANGIRI","2,000",0.0,Nil,Nil,No,S/R to Twin E Type Fire Station Staff Quarter Buildings at Korukonda 2025-26,S/R to Twin E Type Fire Station Staff Quarter Buildings at Korukonda 2025-26,NA ,NA ,"4,20,246",Civil Works - Buildings,NA ,Tender,90.0,60.0,Malkangiri,764048.0,NA ,NA ,NA ,"RURAL WORKS DIVISION NO.II, MALKANGIRI",No ,No,22-Aug-2025 11:00 AM,03-Sep-2025 11:00 AM,22-Aug-2025 11:00 AM,02-Sep-2025 05:30 PM,22-Aug-2025 11:00 AM ,01-Sep-2025 03:00 PM ,22-Aug-2025 11:00 AM,02-Sep-2025 05:30 PM,1.0,ICICI BANK,CE RW I||RWCIRCLE-SUNABEDA||RWDIVISION-MALKANGIRI - II,05/2025-26,2025_CERWI_117142_1,Yes,Open Tender,Percentage,Works,1.0,No,No,Online,No,No,No,AOC,"SE RWD-II, MKG",Internal,"Superintending Engineer, DAO, Estimator",Jangya Narayan Gouda,23-Dec-2025 06:42 PM,finsummary_550073.pdf (283.00 KB),CE RW I||RWCIRCLE-SUNABEDA||RWDIVISION-MALKANGIRI - II,2025_CERWI_117142_1,05/2025-26,S/R to Twin E Type Fire Station Staff Quarter Buildings at Korukonda 2025-26,1.0,3047385.0,SUBASH CHANDRA SAHU,INR,"178,626",Finance,AOC for Agreement Details,Jangya Narayan Gouda,23-Dec-2025 06:30 PM,finance_550073.pdf,BOQ Comparative Chart,23-Dec-2025,"INR 178,626",60.0,Jangya Narayan Gouda,23-Dec-2025 06:49 PM,AGTTwinETypeFireQtrSubashSahu250526.pdf (283.00 KB),AOC for Agreement Details,1,3060458,ANIMESH MONDAL,02-Sep-2025 12:44 AM,Rejected-AOC,Un-Successful,23-Dec-2025 06:49 PM,"SE RWD-II, MKG",Internal,"Superintending Engineer, DAO, Estimator",Jangya Narayan Gouda,23-Dec-2025 06:35 PM,techsummary_550073.pdf (283.00 KB),AOC
,,.xls,Boq,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,ICICI NEFT/RTGS,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,3056894,BADAL MAHAJAN,31-Aug-2025 11:36 AM,Rejected-AOC,Un-Successful,23-Dec-2025 06:49 PM,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,3058579,Bhabani Sarkar,01-Sep-2025 09:01 PM,Rejected-AOC,Un-Successful,23-Dec-2025 06:49 PM,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,3051445,BIBEK KUMAR DEURI,27-Aug-2025 05:13 PM,Rejected-AOC,Un-Successful,23-Dec-2025 06:49 PM,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,3047313,BIPRA CHANDRA BISWAL,30-Aug-2025 11:26 AM,Rejected-AOC,Un-Successful,23-Dec-2025 06:49 PM,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,3056771,CHAMPA RANI BISWAS,30-Aug-2025 08:12 PM,Rejected-AOC,Un-Successful,23-Dec-2025 06:49 PM,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,3061567,DASARATHI SWAIN,02-Sep-2025 05:25 PM,Rejected-AOC,Un-Successful,23-Dec-2025 06:49 PM,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,3060828,DEVI PRASAD MOHAPATRA,02-Sep-2025 03:36 PM,Rejected-AOC,Un-Successful,23-Dec-2025 06:49 PM,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,3058361,GUDLA RAJA PATRA,01-Sep-2025 12:41 PM,Rejected-AOC,Un-Successful,23-Dec-2025 06:49 PM,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,3055690,KAMALESH DAS,30-Aug-2025 01:09 AM,Rejected-AOC,Un-Successful,23-Dec-2025 06:49 PM,,,,,,,AOC
