S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Type :,Summary :,Updated By :,Updated On :,Document :,BOQ Comparative Chart :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.1,Updated on :,Document :.1,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.2,Updated On :.1,Document :.2,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.3,Updated on :.1,AOC document :,Tender Stage,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Cover No,Cover,Document Type,Description,S.No,Bank Name,Name,Address,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Tender Fee in ₹,VAT Charges in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Tender Stage
1.0,3136652.0,Lingaraj Patra,INR,"678,269",Finance,Bid opening,Srinivasa Choudhari,15-Dec-2025 01:59 PM,finance_555167.pdf,BOQ Comparative Chart,Superintending Engineer,Internal,,Srinivasa Choudhari,15-Dec-2025 02:07 PM,finsummary_555167.pdf (411.61 KB),CE RW I||RWCIRCLE-SUNABEDA||RWDIVISION-SUNABEDA,2025_CERWI_119152_1,SERWSBD Online 04 2025 26,SR to Tahasil Office building at Narayanpatna,Superintending Engineer,Internal,,Srinivasa Choudhari,15-Dec-2025 02:03 PM,techsummary_555167.pdf (465.71 KB),1,3131806,BINITA MANDINGI,19-Oct-2025 06:35 PM,Rejected-AOC,Not qualified,15-Dec-2025 04:15 PM,15-Dec-2025,"INR 678,269",60.0,Avijit Barik,15-Dec-2025 04:15 PM,WOTahnpatn.pdf (832.00 KB),AOC,CE RW I||RWCIRCLE-SUNABEDA||RWDIVISION-SUNABEDA,SERWSBD Online 04 2025 26,2025_CERWI_119152_1,Yes,Open Tender,Percentage,Works,1.0,No,No,Online,No,No,No,1.0,Fee/PreQual/Technical/Finance,.pdf,"Bid cost, EMD, Registration certificate, GST, PAN, Non relation certificate, others as per DTCN",1.0,ICICI BANK,Superintending Engineer,"RURAL WORKS DIVISION, SUNABEDA","8,000",Yes,fixed,,Nil,Nil,09-Oct-2025 05:30 PM,20-Oct-2025 03:00 PM,09-Oct-2025 05:30 PM,20-Oct-2025 11:00 AM,09-Oct-2025 05:30 PM ,18-Oct-2025 05:00 PM ,09-Oct-2025 05:30 PM,20-Oct-2025 11:00 AM,SR to Tahasil Office building at Narayanpatna,SR to Tahasil Office building at Narayanpatna,NA ,NA ,"7,97,870",Civil Works - Buildings,NA ,Tender,90.0,60.0,Sunabeda,763001.0,NA ,NA ,NA ,"RURAL WORKS DIVISION, SUNABEDA",No ,No,"4,000",0.0,Nil,Nil,No,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,2,3134459,CHALA RADHA KUMARI,18-Oct-2025 05:20 PM,Rejected-AOC,Not qualified,15-Dec-2025 04:15 PM,,,,,,,AOC,,,,,,,,,,,,,,,,,.xls,Boq,2.0,ICICI NEFT/RTGS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,3,3137221,DASARATHI SWAIN,20-Oct-2025 01:33 AM,Rejected-AOC,Not qualified,15-Dec-2025 04:15 PM,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,4,3133968,JOSADA KHARA,18-Oct-2025 12:54 PM,Rejected-AOC,Not qualified,15-Dec-2025 04:15 PM,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,5,3133780,KARTIKA DEBARAPALLI,19-Oct-2025 10:36 AM,Rejected-AOC,Not qualified,15-Dec-2025 04:15 PM,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,6,3136652,Lingaraj Patra,19-Oct-2025 08:06 PM,Accepted-AOC,Qualified,15-Dec-2025 04:15 PM,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,7,3134421,NIHARIKA NAYAK,18-Oct-2025 01:46 PM,Rejected-AOC,Not qualified,15-Dec-2025 04:15 PM,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,8,3135364,NIRMALA KANDA,19-Oct-2025 11:57 AM,Rejected-AOC,Not qualified,15-Dec-2025 04:15 PM,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,9,3136024,PIDIKA DAMANA,19-Oct-2025 05:42 PM,Rejected-AOC,Not qualified,15-Dec-2025 04:15 PM,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,10,3135380,RASMITA SAHUKAR,19-Oct-2025 11:56 AM,Rejected-AOC,Not qualified,15-Dec-2025 04:15 PM,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
