Tender Fee in ₹,VAT Charges in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Name,Address,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,S.No,Bank Name,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Cover No,Cover,Document Type,Description,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Tender Stage,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated on :,Document :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.1,Updated On :,Document :.1,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.2,Updated on :.1,AOC document :,S.No,Bid Number,Bidder Name,Submitted Date,Status,Remarks,Status Updated On,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,S.No.1,Bid Number.1,Bidder Name.1,Awarded Currency,Awarded Value,Type :,Summary :,Updated By :.3,Updated On :.1,Document :.2,BOQ Comparative Chart :,Tender Stage
"6,000",0.0,Nil,Nil,No,"SE RW Division, Balasore","O/o the SE RW Division, Balasore",PWD Road to Bhaliaposi road,PWD Road to Bhaliaposi road,Please refer tender documents ,NA ,"10,95,562",Civil Works - Roads,NA ,Tender,90.0,60.0,Balasore,756001.0,NA ,NA ,NA ,"RURAL WORKS DIVISION, BALASORE",No ,No,1.0,ICICI BANK,23-Oct-2025 04:00 PM,04-Nov-2025 11:00 AM,23-Oct-2025 04:00 PM,03-Nov-2025 05:00 PM,23-Oct-2025 04:00 PM ,03-Nov-2025 01:00 PM ,23-Oct-2025 04:00 PM,03-Nov-2025 05:00 PM,1.0,Fee/PreQual/Technical/Finance,.pdf,"P.cost, EMD, RC, Pan, valid GSTIN, Affidavit, No relation certificate and other as per DTCN","10,956",Yes,percentage,1.0%,Nil,Nil,CE RW I||RWCIRCLE-BALASORE||RWDIVISION-BALASORE,04 SERW BLS 2025-26,2025_CERWI_119924_43,Yes,Open Tender,Percentage,Works,1.0,No,No,Online,No,No,No,AOC,Soubhagya Kumar Das,Internal,,Soubhagya Kumar Das,25-Dec-2025 11:14 AM,finsummary_557526.pdf (524.21 KB),Soubhagya Kumar Das,Internal,,Soubhagya Kumar Das,25-Dec-2025 11:10 AM,techsummary_557526.pdf (524.21 KB),25-Dec-2025,"INR 931,337",60.0,Soubhagya Kumar Das,25-Dec-2025 11:16 AM,43SL.pdf (524.00 KB),1,3173639,Ananta Nayak,02-Nov-2025 10:35 AM,Rejected-AOC,Not Qualified,25-Dec-2025 11:17 AM,CE RW I||RWCIRCLE-BALASORE||RWDIVISION-BALASORE,2025_CERWI_119924_43,04 SERW BLS 2025-26,PWD Road to Bhaliaposi road,1.0,3175938.0,PRADEEPTI CHAND,INR,"931,337",Finance,Document downloaded,Soubhagya Kumar Das,07-Nov-2025 01:04 PM,finance_557526.pdf,BOQ Comparative Chart,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,2.0,ICICI NEFT/RTGS,,,,,,,,,,,.xls,BOQ,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,2,3167290,DHARAMJIT NAYAK,30-Oct-2025 05:39 PM,Rejected-AOC,Not Qualified,25-Dec-2025 11:17 AM,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,3,3174163,Itishree Mohanty,03-Nov-2025 12:50 PM,Rejected-AOC,Not Qualified,25-Dec-2025 11:17 AM,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,4,3175342,MAA JAGADHATRI LCCS LTD,02-Nov-2025 08:12 PM,Rejected-AOC,Not Qualified,25-Dec-2025 11:17 AM,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,5,3166515,"M/S Jagannath Construction, Prop-Prasanta Nayak",02-Nov-2025 12:24 PM,Rejected-AOC,Not Qualified,25-Dec-2025 11:17 AM,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,6,3168345,NILAMBAR MOHAPATRA,30-Oct-2025 08:06 PM,Rejected-AOC,Not Qualified,25-Dec-2025 11:17 AM,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,7,3175187,PANKAJ KUMAR PATRA,02-Nov-2025 07:24 PM,Rejected-AOC,Not Qualified,25-Dec-2025 11:17 AM,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,8,3175938,PRADEEPTI CHAND,03-Nov-2025 06:29 AM,Accepted-AOC,Qualified,25-Dec-2025 11:17 AM,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,9,3174837,RABINDRA NATH PARIDA,03-Nov-2025 01:31 PM,Rejected-AOC,Not Qualified,25-Dec-2025 11:17 AM,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,10,3168411,RAMAKRUSHNA MOHAPATRA,01-Nov-2025 01:54 PM,Rejected-AOC,Not Qualified,25-Dec-2025 11:17 AM,,,,,,,,,,,,,,,,AOC
