Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Tender Fee in ₹,VAT Charges in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,S.No,Bank Name,Cover No,Cover,Document Type,Description,Name,Address,Tender Stage,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated on :,Document :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.1,Updated On :,Document :.1,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.2,Updated on :.1,AOC document :,S.No,Bid Number,Bidder Name,Submitted Date,Status,Remarks,Status Updated On,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,S.No.1,Bid Number.1,Bidder Name.1,Awarded Currency,Awarded Value,Type :,Summary :,Updated By :.3,Updated On :.1,Document :.2,BOQ Comparative Chart :,Tender Stage
Construction of Paver Block Road with Drain from OLD KPG Bank to Khaligudi Shop at Keuto Sahi in Ward No-10 of Nabaranpgur,CIVIL WORK,Please refer the Tender Documents ,NA ,"8,56,926",Civil Works - Others,NA ,Tender,180.0,60.0,Nabarangpur,764059.0,NA ,NA ,NA ,Nabarangpur Municipality,No ,No,"4,000",0.0,Nil,Nil,No,"8,589",Yes,fixed,,Nil,Nil,Municipal Bodies||Nabarangpur Municipality,EONM-01/2025-26,2025_ORULB_117027_13,Yes,Open Tender,Percentage,Works,1.0,No,No,Online,No,No,No,20-Aug-2025 10:00 AM,04-Sep-2025 11:00 AM,20-Aug-2025 10:00 AM,03-Sep-2025 05:00 PM,NA ,NA ,20-Aug-2025 10:00 AM,03-Sep-2025 05:00 PM,1.0,ICICI BANK,1.0,Fee/PreQual/Technical/Finance,.pdf,"Registration Certificate, GST Registration Certificate, GSTIN, PAN and Other Documents","Executive Officer, Nabarangpur Municipality","At- Nabarangpur Municipality, Nabarangpur",AOC,Kunu Nayak,Internal,"Chiarperson,ADM,Executive Officer,Municipal Engineer,Accountant",Upendra Kumar Nayak,22-Dec-2025 11:29 PM,finsummary_549800.pdf (1188.64 KB),Kunu Nayak,Internal,"Chiarperson,ADM,Executive Officer,Municipal Engineer,Accountant",Upendra Kumar Nayak,22-Dec-2025 11:26 PM,techsummary_549800.pdf (1188.64 KB),22-Dec-2025,"INR 856,926",60.0,Upendra Kumar Nayak,22-Dec-2025 11:33 PM,13.pdf (666.00 KB),1,3060824,AMRUTA PANIGRAHI,02-Sep-2025 01:38 PM,Accepted-AOC,Awarded,22-Dec-2025 11:33 PM,Municipal Bodies||Nabarangpur Municipality,2025_ORULB_117027_13,EONM-01/2025-26,Construction of Paver Block Road with Drain from OLD KPG Bank to Khaligudi Shop at Keuto Sahi in Ward No-10 of Nabaranpgur,1.0,3060824.0,AMRUTA PANIGRAHI,INR,"856,926",Finance,Out of the 2nos of bidder one is qulified another Sri.LAXMIKANTA NAYAK is disquified due to non submission of documents as per DTCN.,Upendra Kumar Nayak,14-Sep-2025 10:04 AM,finance_549800.pdf,BOQ Comparative Chart,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,ICICI NEFT/RTGS,,,.xls,BOQ,,,AOC,,,,,,,,,,,,,,,,,,,2,3060893,BHAIRABA PRADHANI,02-Sep-2025 05:07 PM,Rejected-AOC,Qualified,22-Dec-2025 11:33 PM,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,3,3061882,LAXMIKANTA NAYAK (S.T),02-Sep-2025 10:35 PM,Not Admitted-Fee/PreQual/Technical/Finance,Others-Disqulified due to no submission of documents as per DTCN,14-Sep-2025 10:04 AM,,,,,,,,,,,,,,,,AOC
