Cover No,Cover,Document Type,Description,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,S.No,Bank Name,Name,Address,Tender Fee in ₹,VAT Charges in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Tender Stage,Type :,Summary :,Updated By :,Updated On :,Document :,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.1,Updated on :,Document :.1,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.2,Updated on :.1,AOC document :,AOC Description :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.3,Updated On :.1,Financial Bid Opening Date:,Document :.2,Type :.1,Summary :.1,Updated By :.4,Updated On :.2,Document :.3,BOQ Comparative Chart :,Tender Stage
1.0,Fee/PreQual/Technical,.pdf,"Online proof copy of Tender paper Cost and EMD,PAN,GSTIN,Contractor RC,Affidavit","1,01,400",Yes,fixed,,Nil,Nil,EIC-CIVIL||SERNB-CIRCLE-KEONJHAR,CCEKC - 12 / 2025-26,2025_EICCL_118469_6,Yes,Open Tender,Percentage,Works,2.0,No,No,Online,No,No,No,1.0,ICICI BANK,CCE Keonjhar (R and B) Circle,"O/o the CCE Keonjhar (R and B) Circle, Keonjhar-758001","10,000",0.0,Nil,Nil,No,24-Sep-2025 04:30 PM,09-Oct-2025 11:30 AM,24-Sep-2025 04:30 PM,08-Oct-2025 04:00 PM,NA ,NA ,24-Sep-2025 04:30 PM,08-Oct-2025 04:00 PM,07-Nov-2025 11:30 AM,Improvement such as widening and strengthening of ITI Campus Road with RCC Drain and Paver Block in the District of Sundargarh under State Plan for the year 2025-26,Improvement such as widening and strengthening of ITI Campus Road with RCC Drain and Paver Block in the District of Sundargarh under State Plan for the year 2025-26,Please refer Tender Documents ,NA ,"1,01,39,000",Civil Works - Roads,NA ,Tender,90.0,180.0,Rourkela,769012.0,NA ,NA ,NA ,O/o the CCE Keonjhar (R and B) Circle,No ,No,AOC,Technical,Bid opening summary,Santosh Kumar Behera,09-Oct-2025 07:11 PM,technical_553782.pdf,EIC-CIVIL||SERNB-CIRCLE-KEONJHAR,2025_EICCL_118469_6,CCEKC - 12 / 2025-26,Improvement such as widening and strengthening of ITI Campus Road with RCC Drain and Paver Block in the District of Sundargarh under State Plan for the year 2025-26,Santosh Kumar Behera,Internal,SE Rourkela R and B Division Sr DAO Rourkela R and B Division PA to CCE Keonjhar R and B Circle,Santosh Kumar Behera,23-Dec-2025 07:36 PM,finsummary_553782.pdf (90.88 KB),1.0,3115679.0,DIPTI RANJAN PRADHAN,INR,"8,619,156",1,3114231,AJAY TIWARI,07-Oct-2025 06:32 PM,Rejected-Finance,1st Lowest Bidder Looser of Lottery,23-Dec-2025 07:36 PM,30-Dec-2025,"INR 8,619,156",180.0,Santosh Kumar Behera,30-Dec-2025 05:58 PM,AOCITICampusRoad1.pdf (997.00 KB),1st Lowest Bidder Winner of Lottery,Santosh Kumar Behera,Internal,SE Rourkela R and B Division Sr DAO Rourkela R and B Division PA to CCE Keonjhar R and B Circle,Santosh Kumar Behera,01-Nov-2025 07:38 PM,07-Nov-2025 11:30 AM,techsummary_553782.pdf (1203.10 KB),Finance,Bid opening summary,Santosh Kumar Behera,07-Nov-2025 12:13 PM,finance_553782.pdf,BOQ Comparative Chart,AOC
,,.pdf,"Machineries, work in hand, work experience",,,,,,,,,,,,,,,,,,,,,2.0,ICICI NEFT/RTGS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,2,3114323,AMIT KUMAR BHUYAN,07-Oct-2025 03:25 PM,Rejected-Finance,1st Lowest Bidder Looser of Lottery,23-Dec-2025 07:36 PM,,,,,,,,,,,,,,,,,,,,,AOC
,,.pdf,Other documents as per DTCN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,3,3113946,DEBASHIS MOHANTY,08-Oct-2025 11:54 AM,Rejected-Finance,1st Lowest Bidder Looser of Lottery,23-Dec-2025 07:36 PM,,,,,,,,,,,,,,,,,,,,,AOC
2.0,Finance,.xls,Bill of Quantity,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,4,3115769,DEEPAK KUMAR ROUT,08-Oct-2025 11:35 AM,Rejected-Finance,1st Lowest Bidder Looser of Lottery,23-Dec-2025 07:36 PM,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,5,3115679,DIPTI RANJAN PRADHAN,08-Oct-2025 12:54 PM,Accepted-AOC,1st Lowest Bidder Winner of Lottery,30-Dec-2025 05:59 PM,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,6,3114757,GOPAL TOPPO,07-Oct-2025 07:05 PM,Rejected-Technical,As per decision of tender evaluation committee.,01-Nov-2025 07:38 PM,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,7,3101668,KALANDI CHARAN SWAIN,30-Sep-2025 10:07 PM,Rejected-Finance,1st Lowest Bidder Looser of Lottery,23-Dec-2025 07:36 PM,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,8,3115975,LAGNAJIT BISWAL,08-Oct-2025 12:43 PM,Rejected-Finance,1st Lowest Bidder Looser of Lottery,23-Dec-2025 07:36 PM,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,9,3115826,MRUTUNJAYA MOHANTY,08-Oct-2025 12:23 PM,Rejected-Finance,1st Lowest Bidder Looser of Lottery,23-Dec-2025 07:36 PM,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,10,3116263,PRASAD KUMAR SAHOO,08-Oct-2025 01:40 PM,Rejected-Finance,1st Lowest Bidder Looser of Lottery,23-Dec-2025 07:36 PM,,,,,,,,,,,,,,,,,,,,,AOC
