Name,Address,Cover No,Cover,Document Type,Description,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,S.No,Bank Name,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Tender Fee in ₹,VAT Charges in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Tender Stage,Type :,Summary :,Updated By :,Updated On :,Document :,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.1,Updated on :,Document :.1,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.2,Updated on :.1,AOC document :,AOC Description :,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.3,Updated On :.1,Financial Bid Opening Date:,Document :.2,Type :.1,Summary :.1,Updated By :.4,Updated On :.2,Document :.3,BOQ Comparative Chart :,Tender Stage
S.E RAIRANGPUR R AND B DIVISION,O/O THE S.E RAIRANGPUR R AND B DIVISION,1.0,Fee/PreQual/Technical,.pdf,ONLINE TRANSFER TOWARDS COST OF BID DOCUMENTS AND EMD,18-Aug-2025 10:00 AM,30-Aug-2025 11:00 AM,18-Aug-2025 10:00 AM,29-Aug-2025 04:00 PM,18-Aug-2025 10:00 AM ,29-Aug-2025 04:00 PM ,18-Aug-2025 10:00 AM,29-Aug-2025 04:00 PM,25-Sep-2025 11:00 AM,"76,000",Yes,fixed,,Nil,Nil,1.0,ICICI BANK,EIC-CIVIL||SERNB-CIRCLE-EASTERN||EERNB-DIVN-RAIRANGPUR,IFB SE 17 OF 2025-26,2025_EICCL_116729_9,Yes,Open Tender,Percentage,Works,2.0,No,No,Online,No,No,No,"10,000",0.0,Nil,Nil,No,"Construction of Need Based Infrastructure of Paddy Procurement Centre at-Gambharia under Gambharia Lampcs, Bahalda Block in the District of Mayurbhanj for the year of 2025-26.",BUILDING WORK,Please refer Tender documents. ,NA ,"75,93,000",Civil Works - Buildings,NA ,Tender,90.0,120.0,RAIRANGPUR,757043.0,NA ,NA ,NA ,O/O THE S.E RAIRANGPUR R AND B DIVISION,No ,No,AOC,Technical,TWELVE NOS BIDS OPENED FOR TECHNICAL EVALUATION,S. AMARNATH SUBUDHI,31-Aug-2025 03:56 PM,,EIC-CIVIL||SERNB-CIRCLE-EASTERN||EERNB-DIVN-RAIRANGPUR,2025_EICCL_116729_9,IFB SE 17 OF 2025-26,"Construction of Need Based Infrastructure of Paddy Procurement Centre at-Gambharia under Gambharia Lampcs, Bahalda Block in the District of Mayurbhanj for the year of 2025-26.",SUMIT SAURAV SAHU,Internal,SAMIRAN NANDY AMARNATH SUBUDHI,S. AMARNATH SUBUDHI,04-Dec-2025 04:36 PM,finsummary_549090.pdf (709.65 KB),1.0,3052752.0,RANJIT KUMAR NANDA,INR,"6,454,782",04-Dec-2025,"INR 6,454,782",120.0,S. AMARNATH SUBUDHI,04-Dec-2025 04:40 PM,WO.pdf (440.00 KB),WORK ORDER ISSUED TO SRI RANJIT KUMAR NANDA,1,3054948,ABHISEK KUMAR MOHANTY,29-Aug-2025 03:41 PM,Rejected-AOC,L1,04-Dec-2025 04:40 PM,SUMIT SAURAV SAHU,Internal,SAMIRAN NANDY AMARNATH SUBUDHI,S. AMARNATH SUBUDHI,23-Sep-2025 01:11 PM,25-Sep-2025 11:00 AM,techsummary_549090.pdf (11863.97 KB),Finance,eleven nos bids opened for evaluation,S. AMARNATH SUBUDHI,04-Dec-2025 04:32 PM,,BOQ Comparative Chart,AOC
,,,,.pdf,"COPY OF LICENCE, GSTIN AND PAN CARD",,,,,,,,,,,,,,,,2.0,ICICI NEFT/RTGS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,3050613,BARENDRA KRISHNA MATAGAJSINGH,26-Aug-2025 08:20 PM,Rejected-AOC,L1,04-Dec-2025 04:40 PM,,,,,,,,,,,,,,AOC
,,,,.pdf,MACHINERIES AND OTHER DOCUMENTS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,3051376,BHAGYASHREE MOHANTA,27-Aug-2025 04:14 PM,Rejected-AOC,L1,04-Dec-2025 04:40 PM,,,,,,,,,,,,,,AOC
,,2.0,Finance,.xls,BOQ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,3051624,DEBASHISH NAYAK,27-Aug-2025 07:13 PM,Rejected-AOC,L1,04-Dec-2025 04:40 PM,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,3053905,joyram beshra,29-Aug-2025 11:27 AM,Rejected-AOC,L1,04-Dec-2025 04:40 PM,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,3045960,Jujhar Murmu,23-Aug-2025 08:03 PM,Rejected-Technical,DISQUALIFIED,23-Sep-2025 01:11 PM,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,3054033,Nihar Ranjan Behera,29-Aug-2025 02:43 PM,Rejected-AOC,L1,04-Dec-2025 04:40 PM,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,3050888,RAHUL KUMAR YADAV,27-Aug-2025 11:02 AM,Rejected-AOC,L1,04-Dec-2025 04:40 PM,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,3052752,RANJIT KUMAR NANDA,28-Aug-2025 03:19 PM,Accepted-AOC,L1 LOTTERY WINNER,04-Dec-2025 04:40 PM,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,3054614,SABYASACHI MOHANTY,29-Aug-2025 03:26 PM,Rejected-AOC,L1,04-Dec-2025 04:40 PM,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,11,3054743,SHIVASHISH SAHU,29-Aug-2025 03:16 PM,Rejected-AOC,L1,04-Dec-2025 04:40 PM,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,12,3051628,SUBRAT KUMAR BEHERA,28-Aug-2025 07:42 AM,Rejected-AOC,L1,04-Dec-2025 04:40 PM,,,,,,,,,,,,,,AOC
