Type :,Summary :,Updated By :,Updated On :,Document :,BOQ Comparative Chart :,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.1,Updated on :,AOC document :,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.2,Updated On :.1,Document :.1,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.3,Updated on :.1,Document :.2,Tender Stage,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Cover No,Cover,Document Type,Description,S.No,Bank Name,Tender Fee in ₹,VAT Charges in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Name,Address,Tender Stage
Finance,14 NOS OF BIDDERS HAVE PARTICIPATED,Amiya Kumar Mudali,12-Sep-2025 12:46 PM,,BOQ Comparative Chart,01-Dec-2025,"INR 1,793,967.74",120.0,Amiya Kumar Mudali,01-Dec-2025 12:34 PM,34_W.pdf (395.00 KB),"CE,Minor Irrigation,BBSR||SESMIC-BERHAMPUR||GANJAM I",2025_CEMIB_117502_13,Online Tender /02/ GMID-I/2025-26,Improvement to Jalmara Tank Jalmara,1.0,3074500.0,SALINI KUMARI SAHU,INR,"1,793,967.74",1,3072490,ARCHITA PANDA,09-Sep-2025 05:48 PM,Rejected-AOC,Loser in transparency lottery,01-Dec-2025 12:34 PM,SE M.I DIVIN GM-I,Internal,,Amiya Kumar Mudali,01-Dec-2025 12:28 PM,techsummary_550856.pdf (497.33 KB),SE M.I DIVIN GM-I,Internal,,Amiya Kumar Mudali,01-Dec-2025 12:30 PM,finsummary_550856.pdf (497.33 KB),AOC,"CE,Minor Irrigation,BBSR||SESMIC-BERHAMPUR||GANJAM I",Online Tender /02/ GMID-I/2025-26,2025_CEMIB_117502_13,Yes,Open Tender,Percentage,Works,1.0,No,No,Online,No,No,No,1.0,Fee/PreQual/Technical/Finance,.pdf,"GST,PAN,AFFIDAVIT, NO RELATION, SCHEDULE-E, CDMS COPY OF REGISTRATION CERTIFICATE",1.0,ICICI BANK,"6,000",0.0,Nil,Nil,No,"21,500",Yes,fixed,,Nil,Nil,02-Sep-2025 10:00 AM,12-Sep-2025 11:00 AM,02-Sep-2025 10:00 AM,11-Sep-2025 05:00 PM,02-Sep-2025 10:00 AM ,10-Sep-2025 05:00 PM ,02-Sep-2025 10:00 AM,11-Sep-2025 05:00 PM,Improvement to Jalmara Tank Jalmara,Improvement to Jalmara Tank Jalmara in Sanakhemundi Block under Critical Grant 2025-26,Please refer Tender documents. ,NA ,"21,50,000",Civil Works - Others,NA ,Tender,90.0,120.0,Sanakhemundi,761109.0,NA ,NA ,NA ,"SE MI DIVIN GM-I,BAM",No ,No,"SE MI DIVIN GM-I,BAM","SE MI DIVIN GM-I,BAM,ENGINEERING SCHOOL ROAD",AOC
,,,,,,,,,,,,,,,,,,,,,2,3076176,Aruna Kumar Rath,11-Sep-2025 02:31 PM,Rejected-AOC,Loser in transparency lottery,01-Dec-2025 12:34 PM,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,.xls,BOQ,2.0,ICICI NEFT/RTGS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,3,3075905,BHIMASEN NAYAK,11-Sep-2025 12:53 PM,Rejected-AOC,Loser in transparency lottery,01-Dec-2025 12:34 PM,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,4,3072395,GANESH PRASAD SAHU,09-Sep-2025 05:01 PM,Rejected-AOC,Loser in transparency lottery,01-Dec-2025 12:34 PM,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,5,3073880,G PINTU DORA,10-Sep-2025 01:16 PM,Rejected-AOC,Loser in transparency lottery,01-Dec-2025 12:34 PM,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,6,3075661,M PRAKASHA CHANDRA PATRA,11-Sep-2025 12:11 PM,Rejected-AOC,Loser in transparency lottery,01-Dec-2025 12:34 PM,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,7,3068858,Narasingha Sethi,08-Sep-2025 01:31 PM,Rejected-AOC,Loser in transparency lottery,01-Dec-2025 12:34 PM,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,8,3074593,PITABASA RATHA,10-Sep-2025 04:58 PM,Rejected-AOC,Loser in transparency lottery,01-Dec-2025 12:34 PM,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,9,3074500,SALINI KUMARI SAHU,10-Sep-2025 05:08 PM,Accepted-AOC,Winner in transparency lottery,01-Dec-2025 12:34 PM,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,10,3070810,SANTUNU KUMAR SETHI,11-Sep-2025 02:53 PM,Rejected-AOC,Loser in transparency lottery,01-Dec-2025 12:34 PM,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,11,3073966,Simanchal Raut,10-Sep-2025 01:57 PM,Rejected-AOC,Loser in transparency lottery,01-Dec-2025 12:34 PM,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,12,3073976,Sruti Nayak,10-Sep-2025 01:48 PM,Rejected-AOC,Loser in transparency lottery,01-Dec-2025 12:34 PM,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
