S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Type :,Summary :,Updated By :,Updated On :,Document :,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.1,Updated on :,Document :.1,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.2,Updated On :.1,Financial Bid Opening Date:,Document :.2,Type :.1,Summary :.1,Updated By :.3,Updated On :.2,Document :.3,BOQ Comparative Chart :,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.4,Updated on :.1,AOC document :,AOC Description :,Tender Stage,Tender Fee in ₹,VAT Charges in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Name,Address,S.No,Bank Name,Cover No,Cover,Document Type,Description,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Tender Stage
1.0,3009379.0,P VARA PRASAD,INR,"58,249,378.991",Technical,bids to be opened,Sujata Hembram,26-Jul-2025 05:10 PM,technical_545316.pdf,CE RW I||RWCIRCLE-RAYAGADA,2025_CERWI_115217_1,NCB 12 RWCRGDA 2025 26,Improvement to PWD road at Ghatitala to Lailai road in the District of Gajapati under MMSY-Improvement to Existing RD Road for the year 2024-25,OFFICE OF THE CCE RAYAGADA,Internal,"CCE Rayagada, Executive Engineer RW Division Gajapati, DAO Gajapati, PA to CCE and AE Esitmator RW Circle Rayagada",Binod Behari Das,30-Dec-2025 05:21 PM,finsummary_545316.pdf (406.09 KB),"AE RW CIRCLE GAJAPATI,EE RW CIRCLE GAJAPATI,AE RW CIRCLE RAYAGADA, EE RW CIRCLE RAYAGADA,CCE RW CIRCLE RAYAGADA",Internal,,Binod Behari Das,16-Sep-2025 04:24 PM,20-Sep-2025 11:00 AM,techsummary_545316.pdf (1119.01 KB),Finance,VERIFIED,Sujata Hembram,20-Sep-2025 12:31 PM,,BOQ Comparative Chart,1,3008388,DEMANTI AGRAWAL,22-Jul-2025 02:08 PM,Rejected-AOC,Work Awarded to P Vara Prasad,30-Dec-2025 05:29 PM,30-Dec-2025,"INR 58,249,378.991",365.0,Binod Behari Das,30-Dec-2025 05:29 PM,Ghatitala.pdf (1059.00 KB),Work Awarded to P Vara Prasad,AOC,"10,000",0.0,Nil,Nil,No,"6,85,210",Yes,fixed,,Nil,Nil,CE RW I||RWCIRCLE-RAYAGADA,NCB 12 RWCRGDA 2025 26,2025_CERWI_115217_1,Yes,National Competitive Bid,Percentage,Works,2.0,No,No,Online,No,No,No,"Chief Construction Engineer,RW Circle,Rayagada","O/O the Chief Construction Engineer,RW Circle,Rayagada near Hathipathar road,Raniguda Farm",1.0,ICICI BANK,1.0,Fee/PreQual/Technical,.pdf,AFFIDAVIT GSTIN PAN ANNUAL TURNOVER EXPERIENCE MACHINERY AND OTHER PAPERS AS PER DTCN,Improvement to PWD road at Ghatitala to Lailai road in the District of Gajapati under MMSY-Improvement to Existing RD Road for the year 2024-25,Improvement to PWD road at Ghatitala to Lailai road in the District of Gajapati under MMSY-Improvement to Existing RD Road for the year 2024-25,NA ,NA ,"6,85,20,620",Civil Works - Roads,NA ,Tender,90.0,365.0,Gajapati,761200.0,NA ,NA ,NA ,"Rural Works Circle, Rayagada",No ,No,08-Jul-2025 09:00 AM,24-Jul-2025 11:00 AM,08-Jul-2025 09:00 AM,23-Jul-2025 05:00 PM,08-Jul-2025 09:00 AM ,22-Jul-2025 05:00 PM ,08-Jul-2025 09:00 AM,23-Jul-2025 05:00 PM,20-Sep-2025 11:00 AM,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,3009805,JAY PRAKASH SHARMA,23-Jul-2025 04:37 PM,Rejected-AOC,Work Awarded to P Vara Prasad,30-Dec-2025 05:29 PM,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,ICICI NEFT/RTGS,2.0,Finance,.xls,BOQ,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,3003798,KAPILASH INFRASOL PROJECTS PRIVATE LIMITED,23-Jul-2025 03:10 PM,Rejected-AOC,Work Awarded to P Vara Prasad,30-Dec-2025 05:29 PM,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,3008495,KRISHNA CHANDRA NIMALU,23-Jul-2025 01:22 PM,Rejected-AOC,Work Awarded to P Vara Prasad,30-Dec-2025 05:29 PM,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,3007473,M/S S. KARUNAKAR RAO,23-Jul-2025 12:47 PM,Rejected-AOC,Work Awarded to P Vara Prasad,30-Dec-2025 05:29 PM,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,3010191,PRASANTA KUMAR SAHU,23-Jul-2025 04:37 PM,Rejected-AOC,Work Awarded to P Vara Prasad,30-Dec-2025 05:29 PM,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,3009379,P VARA PRASAD,22-Jul-2025 11:10 PM,Accepted-AOC,Work Awarded to P Vara Prasad,30-Dec-2025 05:29 PM,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,3007636,SRI CHITTARANJAN PRADHAN,21-Jul-2025 07:31 PM,Rejected-AOC,Work Awarded to P Vara Prasad,30-Dec-2025 05:29 PM,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,3009958,Subrat Kumar Patro,23-Jul-2025 04:39 PM,Rejected-AOC,Work Awarded to P Vara Prasad,30-Dec-2025 05:29 PM,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,3010026,Upendra Bhanja Panda,23-Jul-2025 02:53 PM,Rejected-AOC,Work Awarded to P Vara Prasad,30-Dec-2025 05:29 PM,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
