EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,S.No,Bank Name,Tender Fee in ₹,VAT Charges in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Cover No,Cover,Document Type,Description,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Name,Address,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Tender Stage,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated on :,Document :,Type :,Summary :,Updated By :.1,Updated On :,Document :.1,BOQ Comparative Chart :,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.2,Updated on :.1,AOC document :,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.3,Updated On :.1,Document :.2,Tender Stage
"5,042",Yes,fixed,,Nil,Nil,1.0,ICICI BANK,"4,000",0.0,Nil,Nil,No,1.0,Fee/PreQual/Technical/Finance,.pdf,"License, PAN, GST etc as per DTCN",13-Nov-2025 01:00 PM,21-Nov-2025 11:00 AM,13-Nov-2025 01:00 PM,20-Nov-2025 05:00 PM,13-Nov-2025 01:00 PM ,19-Nov-2025 05:00 PM ,13-Nov-2025 01:00 PM,20-Nov-2025 05:00 PM,CE RW I||RWCIRCLE-KENDRAPARA||RWDIVISION II-KENDRAPARA,E PROCUREMENT NOTICE NO.RWD-II/KPD-12/25-26,2025_CERWI_121170_4,Yes,Open Tender,Percentage,Works,1.0,No,No,Online,No,No,No,"SE RW Division-II, Kendrapara","SE RW Division-II, Kendrapara",S/R to PWD road to Salianch for the year 2025-26,S/R to PWD road to Salianch for the year 2025-26,Please refer Tender documents. ,NA ,"5,00,004",Civil Works - Roads,NA ,Tender,90.0,NA ,Kendrapara,754212.0,NA ,NA ,NA ,"SE RW Division-II, Kendrapara",No ,No,AOC,CE RW I||RWCIRCLE-KENDRAPARA||RWDIVISION II-KENDRAPARA,2025_CERWI_121170_4,E PROCUREMENT NOTICE NO.RWD-II/KPD-12/25-26,S/R to PWD road to Salianch for the year 2025-26,"SE RW Division-II, Kendrapara",Internal,,Suraj Biswal,17-Dec-2025 05:56 PM,finsummary_563907.pdf (222.93 KB),Finance,Admitted,Suraj Biswal,17-Dec-2025 05:48 PM,finance_563907.pdf,BOQ Comparative Chart,1.0,3236600.0,MRUTYUNJAY GAPEI,INR,"428,463",17-Dec-2025,"INR 428,463",30.0,Suraj Biswal,17-Dec-2025 06:05 PM,salianch.pdf (223.00 KB),1,3239598,ABHAYA KUMAR DAS,19-Nov-2025 09:16 PM,Rejected-AOC,Not Qualified,17-Dec-2025 06:05 PM,"SE RW Division-II, Kendrapara",Internal,,Suraj Biswal,17-Dec-2025 05:51 PM,techsummary_563907.pdf (222.93 KB),AOC
,,,,,,2.0,ICICI NEFT/RTGS,,,,,,,,.xls,BOQ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,3237013,ADHAR KUMAR SAMAL,20-Nov-2025 06:15 AM,Rejected-AOC,Not Qualified,17-Dec-2025 06:05 PM,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,3236222,Ajaya Kumar Rout,18-Nov-2025 07:04 PM,Rejected-AOC,Not Qualified,17-Dec-2025 06:05 PM,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,3240589,AKASH MALIK,20-Nov-2025 11:20 AM,Rejected-AOC,Not Qualified,17-Dec-2025 06:05 PM,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,3225586,AYASH KUMAR ROUT,15-Nov-2025 05:53 PM,Rejected-AOC,Not Qualified,17-Dec-2025 06:05 PM,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,3240060,Kedarnath Dalai,20-Nov-2025 09:18 AM,Rejected-AOC,Not Qualified,17-Dec-2025 06:05 PM,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,3236600,MRUTYUNJAY GAPEI,19-Nov-2025 09:59 PM,Accepted-AOC,Winner,17-Dec-2025 06:05 PM,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,3241551,PAYAL CONSTRUCTION PROP. SMT PRAMODINI ROUT,20-Nov-2025 02:03 PM,Rejected-AOC,Not Qualified,17-Dec-2025 06:05 PM,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,3222577,PITAMBAR DHAL,13-Nov-2025 07:29 PM,Rejected-AOC,Not Qualified,17-Dec-2025 06:05 PM,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,3240995,PRADIP KUMAR BEHERA(S.C),20-Nov-2025 12:54 PM,Rejected-AOC,Not Qualified,17-Dec-2025 06:05 PM,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,11,3233783,PRASANTA KUMAR BISWAL,18-Nov-2025 08:41 AM,Rejected-AOC,Not Qualified,17-Dec-2025 06:05 PM,,,,,,,AOC
