EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Cover No,Cover,Document Type,Description,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Tender Fee in ₹,VAT Charges in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,S.No,Bank Name,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Name,Address,Tender Stage,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated On :,Document :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.1,Updated on :,Document :.1,Type :,Summary :,Updated By :.2,Updated On :.1,Document :.2,BOQ Comparative Chart :,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.3,Updated on :.1,AOC document :,S.No,Bid Number,Bidder Name,Submitted Date,Status,Remarks,Status Updated On,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,S.No.1,Bid Number.1,Bidder Name.1,Awarded Currency,Awarded Value,Tender Stage
"19,938",Yes,percentage,1.0%,Nil,Nil,1.0,Fee/PreQual/Technical/Finance,.pdf,"P.cost, EMD, RC, Pan, valid GSTIN, Affidavit, No relation certificate and other as per DTCN",CE RW I||RWCIRCLE-BALASORE||RWDIVISION-BALASORE,04 SERW BLS 2025-26,2025_CERWI_119924_32,Yes,Open Tender,Percentage,Works,1.0,No,No,Online,No,No,No,"6,000",0.0,Nil,Nil,No,Chatrapur- Barakheda road,Chatrapur- Barakheda road,Please refer tender documents ,NA ,"19,93,790",Civil Works - Roads,NA ,Tender,90.0,60.0,Balasore,756001.0,NA ,NA ,NA ,"RURAL WORKS DIVISION, BALASORE",No ,No,1.0,ICICI BANK,23-Oct-2025 04:00 PM,04-Nov-2025 11:00 AM,23-Oct-2025 04:00 PM,03-Nov-2025 05:00 PM,23-Oct-2025 04:00 PM ,03-Nov-2025 01:00 PM ,23-Oct-2025 04:00 PM,03-Nov-2025 05:00 PM,"SE RW Division, Balasore","O/o the SE RW Division, Balasore",AOC,Soubhagya Kumar Das,Internal,,Soubhagya Kumar Das,26-Dec-2025 01:09 PM,techsummary_557507.pdf (675.76 KB),Soubhagya Kumar Das,Internal,,Soubhagya Kumar Das,26-Dec-2025 01:14 PM,finsummary_557507.pdf (675.76 KB),Finance,Document downloaded,Soubhagya Kumar Das,07-Nov-2025 10:19 AM,finance_557507.pdf,BOQ Comparative Chart,26-Dec-2025,"INR 1,694,921",60.0,Soubhagya Kumar Das,26-Dec-2025 01:18 PM,32SL.pdf (676.00 KB),1,3175160,AMULYA BARIK,02-Nov-2025 07:16 PM,Rejected-AOC,Not Qualified,26-Dec-2025 01:18 PM,CE RW I||RWCIRCLE-BALASORE||RWDIVISION-BALASORE,2025_CERWI_119924_32,04 SERW BLS 2025-26,Chatrapur- Barakheda road,1.0,3157058.0,JYOTSNARANI CHOUDHURY,INR,"1,694,921",AOC
,,,,,,,,.xls,BOQ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,ICICI NEFT/RTGS,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,2,3173625,Ananta Nayak,02-Nov-2025 10:41 AM,Rejected-AOC,Not Qualified,26-Dec-2025 01:18 PM,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,3,3167272,DHARAMJIT NAYAK,30-Oct-2025 05:44 PM,Rejected-AOC,Not Qualified,26-Dec-2025 01:18 PM,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,4,3174191,DIBYAJYOTI JENA,02-Nov-2025 01:31 PM,Rejected-AOC,Not Qualified,26-Dec-2025 01:18 PM,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,5,3171221,HEMANTA KUMAR TAREI,03-Nov-2025 04:54 AM,Rejected-AOC,Not Qualified,26-Dec-2025 01:18 PM,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,6,3174309,INDRAJIT NAYAK,02-Nov-2025 02:07 PM,Rejected-AOC,Not Qualified,26-Dec-2025 01:18 PM,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,7,3174137,Itishree Mohanty,03-Nov-2025 12:56 PM,Rejected-AOC,Not Qualified,26-Dec-2025 01:18 PM,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,8,3157058,JYOTSNARANI CHOUDHURY,29-Oct-2025 07:47 AM,Accepted-AOC,Qualified,26-Dec-2025 01:18 PM,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,9,3174472,MAA JAGADHATRI LCCS LTD,02-Nov-2025 03:51 PM,Rejected-AOC,Not Qualified,26-Dec-2025 01:18 PM,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,10,3166524,"M/S Jagannath Construction, Prop-Prasanta Nayak",02-Nov-2025 12:18 PM,Rejected-AOC,Not Qualified,26-Dec-2025 01:18 PM,,,,,,,,,,AOC
