EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,S.No,Bank Name,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Cover No,Cover,Document Type,Description,Name,Address,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Tender Fee in ₹,VAT Charges in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Tender Stage,Type :,Summary :,Updated By :,Updated On :,Document :,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.1,Updated on :,Document :.1,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.2,Updated on :.1,AOC document :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.3,Updated On :.1,Financial Bid Opening Date:,Document :.2,Type :.1,Summary :.1,Updated By :.4,Updated On :.2,Document :.3,BOQ Comparative Chart :,Tender Stage
"28,05,372",Yes,percentage,1.0%,Nil,Nil,1.0,ICICI BANK,06-Jan-2025 04:00 PM,22-Jan-2025 11:00 AM,06-Jan-2025 04:00 PM,21-Jan-2025 05:00 PM,06-Jan-2025 04:00 PM ,20-Jan-2025 02:00 PM ,06-Jan-2025 04:00 PM,21-Jan-2025 05:00 PM,04-Mar-2025 11:00 AM,Construction of bridge over river ONG at 2/00 km on Mahadevpali to Khaliapali road under SBY,Construction of bridge over river ONG at 2/00 km on Mahadevpali to Khaliapali road under SBY in the District of Sonepur,Please refer Tender documents. ,NA ,"28,05,37,171",Civil Works - Bridges,NA ,Tender,90.0,730.0,Sonepur,751001.0,NA ,NA ,NA ,Office of EIC RW Odisha Bhubaneswar,No ,No,1.0,Fee/PreQual/Technical,.pdf,"Paper cost, EMD, GST, PAN, RC, Affidavit correctness certificate and no relation certificate",Chief Engineer Buildings and Bridges,Office of EIC RW Odisha Bhubaneswar,CE RW I,Tender Online-02/2024-25 (Bridges),2025_CERWI_109108_1,Yes,National Competitive Bid,Percentage,Works,2.0,No,No,Online,No,No,No,"10,000",0.0,Nil,Nil,No,AOC,Technical,Fourteen bidders participated,Dinabandhu Behura,22-Jan-2025 06:26 PM,,CE RW I,2025_CERWI_109108_1,Tender Online-02/2024-25 (Bridges),Construction of bridge over river ONG at 2/00 km on Mahadevpali to Khaliapali road under SBY,EIC RW-II,Internal,,Dinabandhu Behura,23-Sep-2025 06:43 PM,finsummary_524010.pdf (202.13 KB),1.0,2757063.0,MAHIPAT LAL PATEL,INR,"238,484,649",1,2768260,AMARDEEP AGARWALLA,21-Jan-2025 01:04 PM,Rejected-AOC,Rejected,15-Dec-2025 06:37 PM,05-Dec-2025,"INR 238,484,649",730.0,Dinabandhu Behura,15-Dec-2025 06:37 PM,ONGsonepur.pdf (3033.00 KB),EIC RW-II,Internal,CE Bridge and Buildings SE Bridges AO Sr DAO,Dinabandhu Behura,27-Feb-2025 08:41 PM,04-Mar-2025 11:00 AM,techsummary_524010.pdf (310.80 KB),Finance,Price bid opened,Dinabandhu Behura,17-Apr-2025 11:51 AM,,BOQ Comparative Chart,AOC
,,,,,,2.0,ICICI NEFT/RTGS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,"Labour licence, Work experience, Work in hand, ATO, Similar nature of work",,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,2,2768562,ANUP BUILDERS,21-Jan-2025 04:42 PM,Rejected-Technical,Disqualified,27-Feb-2025 08:41 PM,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Machineries owned obtained on hire and other documents as per DTCN,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,3,2766414,ASTHALAKSHMI CONSTRUCTION,20-Jan-2025 09:50 PM,Rejected-AOC,Rejected,15-Dec-2025 06:37 PM,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,Finance,.xls,BOQ,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,4,2767723,DAMODAR PATTNAIK,21-Jan-2025 03:56 PM,Rejected-Finance,4th Lowest,23-Sep-2025 06:43 PM,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,5,2763722,DEMANTI AGRAWAL,21-Jan-2025 01:59 PM,Rejected-AOC,Rejected,15-Dec-2025 06:37 PM,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,6,2769116,LAL MOHAN PANDA,21-Jan-2025 04:36 PM,Rejected-Technical,Disqualified,27-Feb-2025 08:41 PM,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,7,2768307,L.N. Infrastructure and Constructions Pvt. Ltd.,21-Jan-2025 12:30 PM,Rejected-AOC,Rejected,15-Dec-2025 06:37 PM,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,8,2757063,MAHIPAT LAL PATEL,21-Jan-2025 12:18 PM,Accepted-AOC,Agreement no. 60 P1 of 2025-26,15-Dec-2025 06:37 PM,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,9,2764397,MESSERS PARIDA CONSTRUCTIONS,21-Jan-2025 04:16 PM,Rejected-Finance,6th Lowest,23-Sep-2025 06:43 PM,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,10,2768578,M/S JRP CONSTRUCTION,21-Jan-2025 01:48 PM,Rejected-AOC,Rejected,15-Dec-2025 06:37 PM,,,,,,,,,,,,,,,,,,,,AOC
