S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Type :,Summary :,Updated By :,Updated On :,Document :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.1,Updated on :,Document :.1,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.2,Updated On :.1,Financial Bid Opening Date:,Document :.2,Type :.1,Summary :.1,Updated By :.3,Updated On :.2,Document :.3,BOQ Comparative Chart :,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.4,Updated on :.1,AOC document :,AOC Description :,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Tender Stage,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Name,Address,Cover No,Cover,Document Type,Description,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,S.No,Bank Name,Tender Fee in ₹,VAT Charges in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Tender Stage
1.0,2988394.0,M/s SHREE INFRA AND CO,INR,"18,983,396",CE RW I||RWCIRCLE-RAYAGADA,2025_CERWI_114761_1,NCB 05 RWCRGDA 2025 26,Improvement to PWD road to Bagdangri Kokadamba road,Technical,Documents are verified and Bid accepted for further tender process,Sujata Hembram,07-Jul-2025 12:10 PM,,OFFICE OF THE CCE RAYAGADA,Internal,"CCE Rayagada, Executive Engineer RW Division Gajapati, DAO Gajapati, PA to CCE and AE Esitmator RW Circle Rayagada",Binod Behari Das,09-Dec-2025 06:19 PM,finsummary_544091.pdf (426.18 KB),"Estimator,DAO, Executive Engineer of R.W.Division, Rayagada and Estimator PA to CCE,CCE R.W.Circle Rayagada",Internal,,Binod Behari Das,22-Aug-2025 05:01 PM,30-Aug-2025 11:00 AM,techsummary_544091.pdf (2142.60 KB),Finance,VERIFIED,Binod Behari Das,01-Sep-2025 04:32 PM,,BOQ Comparative Chart,09-Dec-2025,"INR 17,950,817.5",180.0,Binod Behari Das,09-Dec-2025 07:09 PM,bagdangarikokodomba.pdf (587.00 KB),Work Awarded to MS Shree Infra and co.,1,2988416,Allapa Ganapati Rao,04-Jul-2025 09:34 AM,Rejected-AOC,Work Awarded to MS Shree Infra and Co,09-Dec-2025 07:09 PM,AOC,Improvement to PWD road to Bagdangri Kokadamba road,Improvement to PWD road to Bagdangri Kokadamba road,NA ,NA ,"2,11,16,125",Civil Works - Roads,NA ,Tender,90.0,180.0,Rayagada,765001.0,NA ,NA ,NA ,"Rural Works Circle, Rayagada",No ,No,"Chief Construction Engineer,RW Circle,Rayagada","Construction Engineer Rural Works Circle, Rayagada near Hathipathar Raniguda Farm, Rayagada",1.0,Fee/PreQual/Technical,.pdf,Affidavit GSTIN PAN RC Annual Turn Over Experience Machinery and other papers as per DTCN,24-Jun-2025 09:00 AM,05-Jul-2025 11:00 AM,24-Jun-2025 09:00 AM,04-Jul-2025 05:00 PM,24-Jun-2025 09:00 AM ,03-Jul-2025 05:00 PM ,24-Jun-2025 09:00 AM,04-Jul-2025 05:00 PM,30-Aug-2025 11:00 AM,CE RW I||RWCIRCLE-RAYAGADA,NCB 05 RWCRGDA 2025 26,2025_CERWI_114761_1,Yes,National Competitive Bid,Percentage,Works,2.0,No,No,Online,No,No,No,1.0,ICICI BANK,"10,000",0.0,Nil,Nil,No,"2,11,160",Yes,fixed,,Nil,Nil,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,2988668,ALOK KUMAR BISOYI,04-Jul-2025 12:07 PM,Rejected-AOC,Work Awarded to MS Shree Infra and Co,09-Dec-2025 07:09 PM,AOC,,,,,,,,,,,,,,,,,,,,,2.0,Finance,.xls,BOQ,,,,,,,,,,,,,,,,,,,,,,,,2.0,ICICI NEFT/RTGS,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,2984844,B Nirmal Kumar Subudhi,02-Jul-2025 07:19 PM,Rejected-AOC,Work Awarded to MS Shree Infra and Co,09-Dec-2025 07:09 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,2982338,Ch Mohan Rao,03-Jul-2025 12:53 PM,Rejected-AOC,Work Awarded to MS Shree Infra and Co,09-Dec-2025 07:09 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,2988595,JAY PRAKASH SHARMA,04-Jul-2025 04:07 PM,Rejected-AOC,Work Awarded to MS Shree Infra and Co,09-Dec-2025 07:09 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,2985791,KARAMJEET SINGH,02-Jul-2025 06:25 PM,Rejected-AOC,Work Awarded to MS Shree Infra and Co,09-Dec-2025 07:09 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,2987686,KESHAB SAHUKAR,03-Jul-2025 01:42 PM,Rejected-AOC,Work Awarded to MS Shree Infra and Co,09-Dec-2025 07:09 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,2984087,Lingaraj Behera,04-Jul-2025 02:12 PM,Rejected-AOC,Work Awarded to MS Shree Infra and Co,09-Dec-2025 07:09 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,2988168,Manoj Kumar Anduru,03-Jul-2025 10:46 PM,Rejected-AOC,Work Awarded to MS Shree Infra and Co,09-Dec-2025 07:09 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,2988681,MONALISHA PADHY,04-Jul-2025 12:34 PM,Rejected-AOC,Work Awarded to MS Shree Infra and Co,09-Dec-2025 07:09 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
