Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Name,Address,Cover No,Cover,Document Type,Description,Tender Fee in ₹,VAT Charges in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,S.No,Bank Name,Tender Stage,Type :,Summary :,Updated By :,Updated On :,Document :,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.1,Updated on :,Document :.1,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.2,Updated on :.1,AOC document :,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.3,Updated On :.1,Financial Bid Opening Date:,Document :.2,Type :.1,Summary :.1,Updated By :.4,Updated On :.2,Document :.3,BOQ Comparative Chart :,Tender Stage
PRE IRRIGATION MAINTENANCE FROM RD 18840M TO RD38610M AND CONSTRUCTION OF TBM PILLAR AND BED BLOCK FROM RD22000M TO RD38610M OF KANPUR MAIN CANAL OF KANUPUR IRRIGATION PROJECT,PRE IRRIGATION MAINTENANCE FROM RD 18840M TO RD38610M AND CONSTRUCTION OF TBM PILLAR AND BED BLOCK FROM RD22000M TO RD38610M OF KANPUR MAIN CANAL OF KANUPUR IRRIGATION PROJECT,As per tender document ,NA ,"99,55,247",Civil Works - Canal,NA ,Tender,90.0,NA ,Jhumpura,758031.0,NA ,NA ,NA ,Jhumpura,No ,No,15-Oct-2025 10:00 AM,30-Oct-2025 11:00 AM,15-Oct-2025 10:00 AM,29-Oct-2025 05:00 PM,15-Oct-2025 10:00 AM ,29-Oct-2025 11:30 AM ,15-Oct-2025 10:00 AM,29-Oct-2025 05:00 PM,13-Nov-2025 11:30 AM,"Superintending Engineer, Kanpur Canal Division-I,","Office of the Superintending Engineer, Kanpur Canal Division-I, Jhumpura, Keonjhar",1.0,Fee/PreQual/Technical,.pdf,"ender paper cost, EMD, GSTIN, PAN, Contractor RC","10,000",0.0,Nil,Nil,No,Kanupur Irrigation Project||CCE-Kanupur||Kanupur R C AND B,"SE,KCD-I(KIP)-06/ 2025-26",2025_KPRIP_119506_1,Yes,National Competitive Bid,Percentage,Works,2.0,No,No,Online,No,No,No,"99,600",Yes,fixed,,Nil,Nil,1.0,ICICI BANK,AOC,Technical,Technical Bid of 21 (Twenty One) Nos of bidders opened successfully and taken into further evaluation,Duryodhan Kisan,30-Oct-2025 01:27 PM,,Kanupur Irrigation Project||CCE-Kanupur||Kanupur R C AND B,2025_KPRIP_119506_1,"SE,KCD-I(KIP)-06/ 2025-26",PRE IRRIGATION MAINTENANCE FROM RD 18840M TO RD38610M AND CONSTRUCTION OF TBM PILLAR AND BED BLOCK FROM RD22000M TO RD38610M OF KANPUR MAIN CANAL OF KANUPUR IRRIGATION PROJECT,Superintending Engineer,Internal,,Duryodhan Kisan,24-Dec-2025 08:15 PM,finsummary_556082.pdf (2846.96 KB),1.0,3160787.0,Subha Kanta Dash,INR,"8,462,955",24-Dec-2025,"INR 8,462,955",3.0,Duryodhan Kisan,24-Dec-2025 08:21 PM,AOC188840.pdf (1317.00 KB),1,3149404,Akash Kumar Nath,24-Oct-2025 06:33 PM,Rejected-AOC,Looser of the lottery programme,24-Dec-2025 08:21 PM,Superintending Engineer,Internal,,Duryodhan Kisan,12-Nov-2025 06:46 PM,13-Nov-2025 11:30 AM,techsummary_556082.pdf (644.62 KB),Finance,The financial bid of 21 nos of bidder are downloaded successfully and further taken into evaluation.,Duryodhan Kisan,13-Nov-2025 12:41 PM,,BOQ Comparative Chart,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,"Affidavits, No Relation Certificate, Labour undertakings and any other documents as per DTCN",,,,,,,,,,,,,,,,,,,,,,,,,,2.0,ICICI NEFT/RTGS,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,2,3164427,BIDHUBHUSAN SAHOO,28-Oct-2025 06:29 PM,Rejected-AOC,Looser of the lottery programme,24-Dec-2025 08:21 PM,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,Finance,.xls,BoQ,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,3,3166196,BIKASH PARIDA,29-Oct-2025 03:32 PM,Rejected-AOC,Looser of the lottery programme,24-Dec-2025 08:21 PM,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,4,3163849,BISWAJIT SINGH,28-Oct-2025 03:32 PM,Rejected-AOC,Looser of the lottery programme,24-Dec-2025 08:21 PM,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,5,3165989,GAYATRI MAHANTA,29-Oct-2025 02:03 PM,Rejected-AOC,Looser of the lottery programme,24-Dec-2025 08:21 PM,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,6,3166247,KALPATARU DAS,29-Oct-2025 03:43 PM,Rejected-AOC,Looser of the lottery programme,24-Dec-2025 08:21 PM,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,7,3150095,KSHITISH RANJAN SWAIN,29-Oct-2025 03:37 PM,Rejected-AOC,Looser of the lottery programme,24-Dec-2025 08:21 PM,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,8,3162293,MADHABA NANDA DEHURY,28-Oct-2025 11:08 AM,Rejected-AOC,Looser of the lottery programme,24-Dec-2025 08:21 PM,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,9,3166099,Papu Mohapatra,29-Oct-2025 03:00 PM,Rejected-AOC,Looser of the lottery programme,24-Dec-2025 08:21 PM,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,10,3165550,PRADIPTA KUMAR KAR,29-Oct-2025 01:14 PM,Rejected-AOC,Looser of the lottery programme,24-Dec-2025 08:21 PM,,,,,,,,,,,,,,AOC
