S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Type :,Summary :,Updated By :,Updated On :,Document :,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.1,Updated on :,Document :.1,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.2,Updated On :.1,Financial Bid Opening Date:,Document :.2,Type :.1,Summary :.1,Updated By :.3,Updated On :.2,Document :.3,BOQ Comparative Chart :,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.4,Updated on :.1,AOC document :,AOC Description :,Tender Stage,S.No,Corrigendum Title,Corrigendum Type,View,Name,Address,Tender Fee in ₹,VAT Charges in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Cover No,Cover,Document Type,Description,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,S.No.1,Bank Name,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Tender Stage
1.0,2982203.0,KAMALA AGRAWAL,INR,"17,115,671.402",Technical,bids are open,Sukadev Mahali,09-Jul-2025 05:51 PM,technical_543318.pdf,CE RW I||RWCIRCLE-BALANGIR,2025_CERWI_114523_1,BLGR-Online-01/2025-26,Construction of road from Ampali to Kandamunda via Khairbahal (Saintala Block Border to Gudvella Block Border) in the district of Bolangir under MMSY-CMRL for the year 2024-25,S Mahali,Internal,,Sukadev Mahali,26-Sep-2025 04:32 PM,finsummary_543318.pdf (114.96 KB),S Mahali,Internal,,Sukadev Mahali,14-Aug-2025 08:36 PM,19-Aug-2025 11:00 AM,techsummary_543318.pdf (720.69 KB),Finance,37 bids opened,Sukadev Mahali,09-Sep-2025 05:10 PM,finance_543318.pdf,BOQ Comparative Chart,1,2991170,ALOK RANJAN BEDBAK,06-Jul-2025 11:56 AM,Rejected-Finance,Unsucces in lottery system,26-Sep-2025 04:32 PM,26-Sep-2025,"INR 20,133,715.33",270.0,Sukadev Mahali,06-Dec-2025 11:55 AM,boqcomparativechart.pdf (115.00 KB),Success in lottery system,AOC,1.0,1st Corrigendum,Date,,"Chief Construction Engineer, R.W.Circle, Bolangir","O/o the Chief Construction Engineer, R.W.Circle, Bolangir","10,000",0.0,Nil,Nil,No,"2,01,340",Yes,percentage,1.0%,Nil,Nil,1.0,Fee/PreQual/Technical,.pdf,"R.C, PAN, GSTIN, EMD, Tender Paper Cost, Affidavit regarding correctness, No relation certificate",CE RW I||RWCIRCLE-BALANGIR,BLGR-Online-01/2025-26,2025_CERWI_114523_1,Yes,National Competitive Bid,Percentage,Works,2.0,No,No,Online,No,No,No,Construction of road from Ampali to Kandamunda via Khairbahal (Saintala Block Border to Gudvella Block Border) in the district of Bolangir under MMSY-CMRL for the year 2024-25,Construction of road from Ampali to Kandamunda via Khairbahal (Saintala Block Border to Gudvella Block Border) in the district of Bolangir under MMSY-CMRL for the year 2024-25,Please refer Tender documents. ,NA ,"2,01,34,000",Civil Works - Roads,NA ,Tender,90.0,270.0,Patnagarh,767025.0,NA ,NA ,NA ,"O/o C.C.E, R.W.Circle, Bolangir",No ,No,1.0,ICICI BANK,18-Jun-2025 12:00 PM,09-Jul-2025 11:00 AM,18-Jun-2025 12:00 PM,08-Jul-2025 05:00 PM,18-Jun-2025 12:00 PM ,07-Jul-2025 05:00 PM ,18-Jun-2025 12:00 PM,08-Jul-2025 05:00 PM,19-Aug-2025 11:00 AM,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,2993431,ANKUSH PRASAD HOTA,08-Jul-2025 04:42 PM,Rejected-Finance,Unsucces in lottery system,26-Sep-2025 04:32 PM,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,.pdf,"Annual Turn Over, Similar Nature of Work, Machinaries and others documents as per DTCN",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,ICICI NEFT/RTGS,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,2981015,ATUL KUMAR JAIN,26-Jun-2025 07:58 PM,Rejected-Finance,Unsucces in lottery system,26-Sep-2025 04:32 PM,,,,,,,,AOC,,,,,,,,,,,,,,,,,,2.0,Finance,.xls,Bill of Quantity,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,2985755,BALAMAKUNDA PUROHIT,04-Jul-2025 12:29 PM,Rejected-Finance,Unsucces in lottery system,26-Sep-2025 04:32 PM,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,2992876,Bhodev Mahala,08-Jul-2025 11:06 AM,Rejected-Finance,Unsucces in lottery system,26-Sep-2025 04:32 PM,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,2992815,B. K. Construction Co.,07-Jul-2025 10:56 PM,Rejected-Finance,Unsucces in lottery system,26-Sep-2025 04:32 PM,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,2992546,ER. MOHIT KUMAR JAIN,08-Jul-2025 11:01 AM,Rejected-Finance,Unsucces in lottery system,26-Sep-2025 04:32 PM,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,2982268,JAI BAJRANGBALI INFRA,28-Jun-2025 05:54 PM,Rejected-Finance,Unsucces in lottery system,26-Sep-2025 04:32 PM,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,2985075,JAY PRAKASH SHARMA,08-Jul-2025 11:51 AM,Rejected-Finance,Unsucces in lottery system,26-Sep-2025 04:32 PM,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,2982203,KAMALA AGRAWAL,28-Jun-2025 04:26 PM,Accepted-AOC,Success in lottery system,06-Dec-2025 11:56 AM,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
