S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Type :,Summary :,Updated By :,Updated On :,Document :,BOQ Comparative Chart :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.1,Updated on :,Document :.1,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.2,Updated On :.1,Document :.2,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.3,Updated on :.1,AOC document :,AOC Description :,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Tender Stage,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Cover No,Cover,Document Type,Description,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,S.No,Bank Name,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Name,Address,Tender Fee in ₹,VAT Charges in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Tender Stage
1.0,2453118.0,SISF SERVICE PRIVATE LIMITED,INR,"680,080",Finance,Tender opened.,Ramakanta Patra,16-Dec-2025 07:54 AM,finance_492066.pdf,BOQ Comparative Chart,Er Ramakanta Patra,Internal,Er.A.K.Hembram and Vijayasingh Meena.,Ramakanta Patra,17-Dec-2025 07:47 AM,finsummary_492066.pdf (241.80 KB),"CCE Potteru Irr.Project,Balimela||CCE Potteru Irr.Project||Earth Dam Divn. Chitrakonda",2024_CCEBA_100948_2,SE-EDD-CKD-03/2023-24,Providing Security arrangement for Motor Launch Section and Helipad of Balimela Dam Project for the period from April 2024 to March 2025 .,Er Ramakanta Patra,Internal,Er.A.K.Hembram and Vijayasingh Meena.,Ramakanta Patra,17-Dec-2025 07:38 AM,techsummary_492066.pdf (1820.21 KB),17-Dec-2025,"INR 688,080",365.0,Ramakanta Patra,17-Dec-2025 07:58 AM,SISFWO.pdf (343.00 KB),The Agt. has been drawn vide 22P1/23-24.,1,2454215,ACTIVE SECURITY AND INTELLIGENCE SEVICES,22-Feb-2024 01:05 PM,Rejected-Finance,Unsuccessful in Transparent lottery.,17-Dec-2025 07:47 AM,AOC,Providing Security arrangement for Motor Launch Section and Helipad of Balimela Dam Project for the period from April 2024 to March 2025 .,Providing Security Guards for ML Section and Helipad.,Please refer Tender documents. ,NA ,"6,94,960",Miscellaneous Services,NA ,Tender,90.0,365.0,Service,764052.0,NA ,NA ,NA ,CHITRAKONDA,No ,No,1.0,Fee/PreQual/Technical/Finance,.pdf,"Valid Regd. Certificate, Active GST, PAN, EPF Regd. Certificate, affidavit, Tender cost and EMD",13-Feb-2024 10:00 AM,23-Feb-2024 11:00 AM,13-Feb-2024 10:00 AM,22-Feb-2024 05:00 PM,13-Feb-2024 10:00 AM ,20-Feb-2024 05:00 PM ,13-Feb-2024 10:00 AM,22-Feb-2024 05:00 PM,"7,000",Yes,fixed,,Nil,Nil,1,ICICI BANK,"CCE Potteru Irr.Project,Balimela||CCE Potteru Irr.Project||Earth Dam Divn. Chitrakonda",SE-EDD-CKD-03/2023-24,2024_CCEBA_100948_2,Yes,Open Limited,Percentage,Services,1.0,No,No,Online,No,No,No,Superintending Engineer,"Office of the Superintending Engineer, Earth Dam Division, Chitrakonda.","4,000",0.0,Nil,Nil,No,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,2453118,SISF SERVICE PRIVATE LIMITED,21-Feb-2024 06:58 PM,Accepted-AOC,The Agt. has been drawn vide 21P1/23-24.,17-Dec-2025 07:58 AM,AOC,,,,,,,,,,,,,,,,,,,,,.xls,Bill of Quantity,,,,,,,,,,,,,,,2,ICICI NEFT/RTGS,,,,,,,,,,,,,,,,,,,,,,AOC
