EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Tender Fee in ₹,VAT Charges in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,S.No,Bank Name,Name,Address,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Cover No,Cover,Document Type,Description,Tender Stage,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :,Updated on :,AOC document :,AOC Description :,S.No,Bid Number,Bidder Name,Submitted Date,Status,Remarks,Status Updated On,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.1,Updated On :,Financial Bid Opening Date:,Document :,Type :,Summary :,Updated By :.2,Updated On :.1,Document :.1,BOQ Comparative Chart :,Type :.1,Summary :.1,Updated By :.3,Updated On :.2,Document :.2,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.4,Updated on :.1,Document :.3,S.No.1,Bid Number.1,Bidder Name.1,Awarded Currency,Awarded Value,Tender Stage
"31,67,800",Yes,fixed,,Nil,Nil,"10,000",0.0,Nil,Nil,No,Excavation of Darpani Branch Canal from RD 29.205 km to RD 31.010 km including construction of its structures of Rengali Right Irrigation Project.,Excavation of Canal and Construction of Structures,As per Bid Document ,NA ,"31,67,71,821",Civil Works - Canal,NA ,Tender,90.0,730.0,"Ranibania RF, Nrusinghpur and Radharamanpur",754029.0,"O-o the CE, RRIP, Dhenkanal ","Office of the CE, RRIP, Mahisapat, Dhenkanal, PIN-759001 ",18-Jul-2024 11:00 AM ,"O-o the CE, RRIP, Dhenkanal",No ,No,1.0,ICICI BANK,"CE, RRIP, Dhenkanal","Office of the CE, RRIP, Mahisapat, Dhenkanal, PIN-759001",10-Jul-2024 10:00 AM,06-Aug-2024 11:00 AM,10-Jul-2024 10:00 AM,05-Aug-2024 05:30 PM,10-Jul-2024 10:00 AM ,14-Jul-2024 05:30 PM ,19-Jul-2024 10:00 AM,05-Aug-2024 05:30 PM,24-Jan-2025 11:00 AM,"CE-BM,B Right Basin,Dhenkanal",CERRIP-01/2024-25,2024_CEBMD_103565_1,Yes,Open Tender,Percentage,Works,2.0,No,No,Online,No,No,No,1.0,Fee/PreQual/Technical,.pdf,"GSTIN, PAN, Contractor RC etc",AOC,01-Dec-2025,"INR 269,287,725",730.0,Pradeep Kumar Pradhan,15-Dec-2025 04:55 PM,AOC2931.pdf (204.00 KB),Award of Contract,1,2522808,IRON TRAINGLE LIMITED,05-Aug-2024 04:46 PM,Rejected-Technical,Technically not Qualified,22-Jan-2025 11:01 AM,Addl Chief Secretary,External,"1.EIC, Procurement, 2.EIC, WR, 3.FA cum Special Secy, 4.CE,RRIP, Dhenkanal",Pradeep Kumar Pradhan,22-Jan-2025 11:01 AM,24-Jan-2025 11:00 AM,techsummary_502684.pdf (331.95 KB),Finance,Financial bid of eight numbers of technically qualified tenderers downloaded successfully.,Ramesh Chandra Sahoo,24-Jan-2025 04:24 PM,finance_502684.pdf,BOQ Comparative Chart,Technical,Technical bid document of all the 15 Nos. of participated bidders opened and downloaded successfully,Sribatsa Mohanty,06-Aug-2024 04:02 PM,technical_502684.pdf,"CE-BM,B Right Basin,Dhenkanal",2024_CEBMD_103565_1,CERRIP-01/2024-25,Excavation of Darpani Branch Canal from RD 29.205 km to RD 31.010 km including construction of its structures of Rengali Right Irrigation Project.,"ACS to Govt, DoWR",Internal,"1.EIC, WR 2. EIC, Procurement 3. EIC, PD 4. Additional Secretary to Govt. Finance Department 5. Joint Secretary to Govt. Law Dept. 6. FA cum Addl. Secretary to Govt. DoWR 7. CE, RRIP",Pradeep Kumar Pradhan,04-Sep-2025 04:54 PM,finsummary_502684.pdf (521.60 KB),1.0,2523507.0,Shree Balaji Engicons Limited,INR,"269,287,725",AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,ICICI NEFT/RTGS,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,"Affidavits, undertakings and any other document as per Bid Document",AOC,,,,,,,,2,2522892,LAXMINARAYAN MALLICK,05-Aug-2024 03:49 PM,Rejected-Technical,Technically not Qualified,22-Jan-2025 11:01 AM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,Finance,.xls,Bill of Quantities,AOC,,,,,,,,3,2522338,MSA CONSTRUCTION PRIVATE LIMITED,05-Aug-2024 02:38 PM,Rejected-Finance,The bid of first lowest bidder and lottery winner is accepted.,04-Sep-2025 04:54 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,4,2516884,M/S GOURAV CONTRUCTION,04-Aug-2024 12:10 PM,Rejected-Technical,Technically not Qualified,22-Jan-2025 11:01 AM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,5,2522943,M/S L.R. MAKKAR,05-Aug-2024 02:01 PM,Rejected-Technical,Technically not Qualified,22-Jan-2025 11:01 AM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,6,2523218,M/S SANTOSH KUMAR KHANDELWAL,04-Aug-2024 01:55 PM,Rejected-Finance,The bid of first lowest bidder and lottery winner is accepted.,04-Sep-2025 04:54 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,7,2522769,Premsons Promoters Private Limited,03-Aug-2024 05:01 PM,Rejected-Technical,Technically not Qualified,22-Jan-2025 11:01 AM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,8,2521769,SAI SAMBHU INFRASTRUCTURE PRIVATE LIMITED,05-Aug-2024 01:56 PM,Rejected-Technical,Technically not Qualified,22-Jan-2025 11:01 AM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,9,2522185,SHIVAJYOTI CONPRO PVT. LTD.,05-Aug-2024 12:35 PM,Rejected-Finance,The bid of first lowest bidder and lottery winner is accepted.,04-Sep-2025 04:54 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,10,2522653,Shivam Condev Private Limited,05-Aug-2024 10:51 AM,Rejected-Finance,The bid of first lowest bidder and lottery winner is accepted.,04-Sep-2025 04:54 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
