S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :,Updated on :,AOC document :,Type :,Summary :,Updated By :.1,Updated On :,Document :,BOQ Comparative Chart :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.2,Updated on :.1,Document :.1,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.3,Updated On :.1,Document :.2,Tender Stage,Cover No,Cover,Document Type,Description,Tender Fee in ₹,VAT Charges in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Name,Address,S.No,Bank Name,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Tender Stage
1.0,3182359.0,SIMANCHAL SETHI,INR,"469,274","CE,Minor Irrigation,BBSR||SESMIC-BERHAMPUR||GAJAPATI",2025_CEMIB_120173_13,GMID-II/07/2025-26,Improvement to Check Dam over Bhutanala Baunsia near village Baunsia in K.S.Nagar block,1,3172743,JAYASEN SETHI,02-Nov-2025 07:04 PM,Rejected-AOC,-,22-Dec-2025 03:14 PM,22-Dec-2025,"INR 469,274",60.0,Simachala Satapathy,22-Dec-2025 03:14 PM,bhutanalla.pdf (451.00 KB),Finance,-,Simachala Satapathy,22-Dec-2025 03:07 PM,finance_559017.pdf,BOQ Comparative Chart,SE MI DIVN GANJAM II BAM,Internal,,Simachala Satapathy,22-Dec-2025 03:11 PM,finsummary_559017.pdf (189.40 KB),SE MI DIVN GANJAM II BAM,Internal,,Simachala Satapathy,22-Dec-2025 03:08 PM,techsummary_559017.pdf (189.40 KB),AOC,1.0,Fee/PreQual/Technical/Finance,.pdf,Scan copy of valid licence GSTN PAN affidavit and other document as per DTCN,"4,000",0.0,Nil,Nil,No,Improvement to Check Dam over Bhutanala Baunsia near village Baunsia in K.S.Nagar block,Improvement to Check Dam over Bhutanala Baunsia near village Baunsia in K.S.Nagar block,Please refer Tender documents. ,NA ,"5,07,000",Civil Works - Others,NA ,Tender,90.0,60.0,Superintending Engineer M.I.Divn Ganjam II BAM,760010.0,NA ,NA ,NA ,Superintending Engineer M.I.Divn Ganjam II BAM,No ,No,"CE,Minor Irrigation,BBSR||SESMIC-BERHAMPUR||GAJAPATI",GMID-II/07/2025-26,2025_CEMIB_120173_13,Yes,Open Tender,Percentage,Works,1.0,No,No,Online,No,No,No,Superintending Engineer M.I.Divn Ganjam II BAM,Superintending Engineer M.I.Divn Ganjam II BAM,1.0,ICICI BANK,"5,100",Yes,fixed,,Nil,Nil,27-Oct-2025 06:00 PM,07-Nov-2025 11:30 AM,27-Oct-2025 06:00 PM,06-Nov-2025 05:00 PM,NA ,NA ,27-Oct-2025 06:00 PM,06-Nov-2025 05:00 PM,AOC
,,,,,,,,,2,3185828,MAMATA KUMARI SATAPATHY,05-Nov-2025 07:15 PM,Rejected-AOC,-,22-Dec-2025 03:14 PM,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,.xls,BOQ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,ICICI NEFT/RTGS,,,,,,,,,,,,,,,AOC
,,,,,,,,,3,3167486,RUDRA PRASAD SETHY,30-Oct-2025 12:53 PM,Rejected-AOC,-,22-Dec-2025 03:14 PM,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,4,3178787,SASMITA SIA,03-Nov-2025 07:03 PM,Rejected-AOC,-,22-Dec-2025 03:14 PM,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,5,3182359,SIMANCHAL SETHI,04-Nov-2025 08:24 PM,Accepted-AOC,winner,22-Dec-2025 03:14 PM,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
