Tender Fee in ₹,VAT Charges in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,S.No,Bank Name,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Cover No,Cover,Document Type,Description,Name,Address,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,S.No.1,Corrigendum Title,Corrigendum Type,View,Tender Stage,Type :,Summary :,Updated By :,Updated On :,Document :,BOQ Comparative Chart :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.1,Updated On :.1,Financial Bid Opening Date:,Document :.1,Type :.1,Summary :.1,Updated By :.2,Updated On :.2,Document :.2,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.3,Updated on :,Document :.3,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.4,Updated on :.1,AOC document :,AOC Description :,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Tender Stage
"4,000",0.0,Nil,Nil,No,1.0,ICICI BANK,"8,826",Yes,fixed,,Nil,Nil,1.0,Fee/PreQual/Technical,.pdf,DTCN,PA ITDA BALLIGUDA,PA ITDA BALLIGUDA,Construction of Diversion Irrigation Project (DBI)DBI at Targabali under Tumudibandha Block,Construction of Diversion Irrigation Project (DBI)DBI at Targabali under Tumudibandha Block,Please refer Tender documents. ,NA ,,Civil Works - Others,Gravity based water supply ,Tender,90.0,NA ,Targabali under Tumudibandha Block,762103.0,NA ,NA ,NA ,ITDA BALLIGUDA,No ,No,21-Jul-2025 09:00 AM,06-Aug-2025 11:00 AM,21-Jul-2025 09:00 AM,05-Aug-2025 05:00 PM,NA ,NA ,21-Jul-2025 09:00 AM,05-Aug-2025 05:00 PM,28-Aug-2025 09:00 AM,ST and SC Development Deptt||ITDA Baliguda,PA (ITDA)-BLG-3/25-26,2025_STSCD_115746_27,Yes,Open Tender,Percentage,Works,2.0,No,No,Online,No,No,No,1.0,Corrigundum,Date,,AOC,Finance,Total Nineteen Bidders,Sudarsan Behera,28-Nov-2025 03:47 PM,finance_546611.pdf,BOQ Comparative Chart,PA ITDA BALLIGUDA,Internal,AEE ITDA BALLIGUDA,Sudarsan Behera,27-Aug-2025 06:39 PM,28-Aug-2025 09:00 AM,techsummary_546611.pdf (44.84 KB),Technical,Total Nineteen Bidders,Sudarsan Behera,27-Aug-2025 01:07 PM,technical_546611.pdf,PA ITDA BALLIGUDA,Internal,AEE ITDA BALLIGUDA,Sudarsan Behera,11-Dec-2025 06:55 PM,finsummary_546611.pdf (44.84 KB),11-Dec-2025,"INR 882,633.75",90.0,Sudarsan Behera,11-Dec-2025 08:12 PM,27.pdf (342.00 KB),it was put into lottery in presence of the bidders where Sri Tanuj Kanharcame as the winner,1.0,3024405.0,Tanuj Kanhar,INR,"750,326.95",ST and SC Development Deptt||ITDA Baliguda,2025_STSCD_115746_27,PA (ITDA)-BLG-3/25-26,Construction of Diversion Irrigation Project (DBI)DBI at Targabali under Tumudibandha Block,1,3016474,ANITA DORA,01-Aug-2025 07:41 PM,Rejected-Finance,794458.64,11-Dec-2025 06:55 PM,AOC
,,,,,2.0,ICICI NEFT/RTGS,,,,,,,2.0,Finance,.xls,BOQ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,3018608,BIJAYALAXMI MISHRA,31-Jul-2025 01:17 PM,Rejected-Finance,794458.64,11-Dec-2025 06:55 PM,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,3020172,BILARSEN PARASETH,02-Aug-2025 06:34 PM,Rejected-Finance,794458.64,11-Dec-2025 06:55 PM,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,3023844,BIREN NAG,05-Aug-2025 01:18 PM,Rejected-Finance,794458.64,11-Dec-2025 06:55 PM,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,3022210,JAYANTI SAHU,03-Aug-2025 12:59 PM,Rejected-Finance,794458.64,11-Dec-2025 06:55 PM,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,3019866,M/S NIMRAD DIGAL,01-Aug-2025 01:24 PM,Rejected-Finance,794458.64,11-Dec-2025 06:55 PM,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,3019487,PINTU NAYAK,01-Aug-2025 01:57 PM,Rejected-Finance,794458.64,11-Dec-2025 06:55 PM,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,3022051,Pitidenga Patamajhi,03-Aug-2025 07:48 AM,Rejected-Finance,794458.64,11-Dec-2025 06:55 PM,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,3022308,PRAKASH CHANDRA NAYAK,04-Aug-2025 08:12 AM,Rejected-Finance,794458.64,11-Dec-2025 06:55 PM,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,3024698,PRAMOD NAYAK,05-Aug-2025 03:11 PM,Rejected-Finance,794458.64,11-Dec-2025 06:55 PM,AOC
