S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Type :,Summary :,Updated By :,Updated On :,Document :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.1,Updated on :,Document :.1,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.2,Updated On :.1,Financial Bid Opening Date:,Document :.2,Type :.1,Summary :.1,Updated By :.3,Updated On :.2,Document :.3,BOQ Comparative Chart :,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.4,Updated on :.1,AOC document :,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Tender Stage,Tender Fee in ₹,VAT Charges in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Cover No,Cover,Document Type,Description,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Name,Address,S.No,Bank Name,Tender Stage
1.0,3282920.0,Amit kumar raulo,INR,"7,132,452.43","CE,Minor Irrigation,BBSR||SESMIC-BERHAMPUR||GAJAPATI",2025_CEMIB_122064_4,MIDGJP-05/2025-26,Construction of Canal lining in Left main canal of Laxmipur MIP D/W in Rayagada Block of Gajapati District under CAPEX Scheme-2025-26,Technical,17 nos are bidder participated in this tender,Simachala Satapathy,13-Dec-2025 01:01 PM,,SIMACHALA SATAPATHY,Internal,,Simachala Satapathy,30-Dec-2025 12:57 PM,finsummary_567648.pdf (42.07 KB),simachala satapathy,Internal,,Simachala Satapathy,13-Dec-2025 01:08 PM,15-Dec-2025 11:00 AM,techsummary_567648.pdf (1279.02 KB),Finance,17 NOS PARTICIPATED ARE BIDDER IN THIS TENDER,Simachala Satapathy,30-Dec-2025 12:47 PM,,BOQ Comparative Chart,30-Dec-2025,"INR 8,390,133.43",90.0,Simachala Satapathy,30-Dec-2025 01:03 PM,AOC4.PDF (184.00 KB),1,3285422,AKASH CHANDRA DASH,07-Dec-2025 11:15 AM,Rejected-AOC,Un successful,30-Dec-2025 01:03 PM,AOC,"10,000",0.0,Nil,Nil,No,28-Nov-2025 12:00 PM,08-Dec-2025 11:00 AM,28-Nov-2025 12:00 PM,08-Dec-2025 09:00 AM,28-Nov-2025 12:00 PM ,08-Dec-2025 09:00 AM ,28-Nov-2025 12:00 PM,08-Dec-2025 09:00 AM,15-Dec-2025 11:00 AM,"84,000",Yes,fixed,,Nil,Nil,Construction of Canal lining in Left main canal of Laxmipur MIP D/W in Rayagada Block of Gajapati District under CAPEX Scheme-2025-26,Construction of Canal lining in Left main canal of Laxmipur MIP D/W in Rayagada Block of Gajapati District under CAPEX Scheme-2025-26,Please refer Tender documents. ,NA ,"83,90,133",Civil Works - Others,NA ,Tender,90.0,90.0,Rayagada,761213.0,NA ,NA ,NA ,"O/o Superintending Engineer,M.I.Division,Gajapati",No ,No,1.0,Fee/PreQual/Technical,.pdf,"Tender Cost EMD (Online) RC, PAN,GSTIN, affidavit other documents and forms as per DTCN","CE,Minor Irrigation,BBSR||SESMIC-BERHAMPUR||GAJAPATI",MIDGJP-05/2025-26,2025_CEMIB_122064_4,Yes,Open Tender,Percentage,Works,2.0,No,No,Online,No,No,No,SUPERINTENDING ENGINEER,"O/o Superintending Engineer,M.I.Division, Gajapati",1.0,ICICI BANK,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,3282920,Amit kumar raulo,05-Dec-2025 06:52 PM,Accepted-AOC,Selected through lottery system as 1st lowest successful,30-Dec-2025 01:03 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Other document,,,,,,,,,,,,,,,,,2.0,ICICI NEFT/RTGS,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,3275965,ANUBHABA SAHU,06-Dec-2025 12:33 PM,Rejected-AOC,Un successful,30-Dec-2025 01:03 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,Finance,.xls,BOQ,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,3286083,BALIA KUMAR PRADHAN,07-Dec-2025 04:26 PM,Rejected-AOC,Un successful,30-Dec-2025 01:03 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,3286022,BASANTA SAHU,07-Dec-2025 02:46 PM,Rejected-AOC,Un successful,30-Dec-2025 01:03 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,3279583,CHIRANJEEBI SAHU,05-Dec-2025 05:41 PM,Rejected-AOC,Un successful,30-Dec-2025 01:03 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,3283661,CHITTA RANJAN PARIDA,06-Dec-2025 11:08 AM,Rejected-AOC,Un successful,30-Dec-2025 01:03 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,3286442,DASARANKI CHANDU,07-Dec-2025 05:52 PM,Rejected-AOC,Un successful,30-Dec-2025 01:03 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,3276523,D.HARISH KUMAR,04-Dec-2025 09:24 PM,Rejected-AOC,Un successful,30-Dec-2025 01:03 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,3283980,KESHAB CHANDRA NAYAK,06-Dec-2025 12:52 PM,Rejected-AOC,Un successful,30-Dec-2025 01:03 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
