Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Cover No,Cover,Document Type,Description,Tender Fee in ₹,VAT Charges in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,S.No,Bank Name,Name,Address,Tender Stage,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :,Updated on :,AOC document :,S.No,Bid Number,Bidder Name,Submitted Date,Status,Remarks,Status Updated On,Type :,Summary :,Updated By :.1,Updated On :,Document :,BOQ Comparative Chart :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.2,Updated On :.1,Financial Bid Opening Date:,Document :.1,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.3,Updated on :.1,Document :.2,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Type :.1,Summary :.1,Updated By :.4,Updated On :.2,Document :.3,S.No.1,Bid Number.1,Bidder Name.1,Awarded Currency,Awarded Value,Tender Stage
Improvement of road from Bandutikra Chowk to Chetna Dresses Road from 0.000km to 1.000km in the district Bargarh under State Plan for the year 2025-26,ROAD WORK (CIVIL),PLEASE REFER THE TENDER DOCUMENTS ,NA ,"90,05,628",Civil Works - Roads,NA ,Tender,90.0,90.0,BARGARH,768028.0,NA ,NA ,NA ,O/O THE SUPERINTENDING ENGINEER (R AND B) DIVISION,No ,No,"90,056",Yes,fixed,,Nil,Nil,EIC-CIVIL||SERNB-CIRCLE-NORTHERN||EERNB-DIVN-BARGARH,IFB-SE PWD-16 OF 2025-26,2025_EICCL_121485_5,Yes,Open Tender,Percentage,Works,2.0,No,No,Online,No,No,No,18-Nov-2025 03:00 PM,28-Nov-2025 11:30 AM,18-Nov-2025 03:00 PM,27-Nov-2025 05:00 PM,18-Nov-2025 03:00 PM ,27-Nov-2025 05:00 PM ,18-Nov-2025 03:00 PM,27-Nov-2025 05:00 PM,04-Dec-2025 09:00 AM,1.0,Fee/PreQual/Technical,.pdf,"Tender Cost, EMD, Bid Declaration Form, GSTIN, PAN, EPF, ESI, Affidavit and other DOC as per DTCN","10,000",0.0,Nil,Nil,No,1.0,ICICI BANK,O/O THE SUPERINTENDING ENGINEER (R AND B) DIVISION,"O/O THE SUPERINTENDING ENGINEER (R AND B) DIVISION BARGARH, AT-NEAR GOVT BUS STAND INFRONT OF WOMENS COLLEGE BARGARH",AOC,20-Dec-2025,"INR 8,686,829.13",90.0,Arun Kumar Pandey,20-Dec-2025 11:09 AM,AOCBANDUTIKRACHOWKTOCHETANADRESS.pdf (447.00 KB),1,3256558,ANISHKA ENTERPRISES,27-Nov-2025 01:30 PM,Rejected-AOC,Not furnisehd,20-Dec-2025 11:10 AM,Finance,Total No. of 3 nos bidder accepted for financial evaluation process.,Vinit Kumar,04-Dec-2025 11:00 AM,,BOQ Comparative Chart,ARUN KUMAR PANDEY,Internal,1-VINIT KUMAR 2-UMESH CHANDRA BHOI 3-HAIMABATI SA,Arun Kumar Pandey,02-Dec-2025 07:27 PM,04-Dec-2025 09:00 AM,techsummary_565184.pdf (725.76 KB),ARUN KUMAR PANDEY,Internal,1-VINIT KUMAR 2-UMESH CHANDRA BHOI 3-HAIMABATI SA,Arun Kumar Pandey,20-Dec-2025 11:04 AM,finsummary_565184.pdf (446.59 KB),EIC-CIVIL||SERNB-CIRCLE-NORTHERN||EERNB-DIVN-BARGARH,2025_EICCL_121485_5,IFB-SE PWD-16 OF 2025-26,Improvement of road from Bandutikra Chowk to Chetna Dresses Road from 0.000km to 1.000km in the district Bargarh under State Plan for the year 2025-26,Technical,Total No. of 3 nos bidder accepted for technical evaluation process.,Arun Kumar Pandey,28-Nov-2025 12:02 PM,,1.0,3260104.0,PRAMITA BEHERA,INR,"8,686,829.13",AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,Finance,.xls,BILL OF QUANTITY,,,,,,2.0,ICICI NEFT/RTGS,,,AOC,,,,,,,2,3260104,PRAMITA BEHERA,27-Nov-2025 02:20 PM,Accepted-AOC,Due to SC ST Contractor,20-Dec-2025 11:10 AM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,3,3260538,SWAYAM MISHRA,27-Nov-2025 04:01 PM,Rejected-AOC,Not furnisehd,20-Dec-2025 11:10 AM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
