S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Type :,Summary :,Updated By :,Updated On :,Document :,BOQ Comparative Chart :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.1,Updated on :,Document :.1,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.2,Updated On :.1,Document :.2,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.3,Updated on :.1,AOC document :,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Tender Stage,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,S.No,Bank Name,Name,Address,Cover No,Cover,Document Type,Description,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Tender Fee in ₹,VAT Charges in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Tender Stage
1.0,3130585.0,SIMANCHAL SAHU,INR,"338,883",Finance,Bid opening,Avijit Barik,16-Dec-2025 01:20 PM,finance_555129.pdf,BOQ Comparative Chart,Superintending Engineer,Internal,,Avijit Barik,16-Dec-2025 01:36 PM,finsummary_555129.pdf (403.20 KB),CE RW I||RWCIRCLE-SUNABEDA||RWDIVISION-SUNABEDA,2025_CERWI_119128_1,SERWSBD Online 04 2025 26,S/R to AEO qtr building at Narayanpatna,Superintending Engineer,Internal,,Avijit Barik,16-Dec-2025 01:33 PM,techsummary_555129.pdf (487.85 KB),16-Dec-2025,"INR 338,883",60.0,Avijit Barik,16-Dec-2025 01:58 PM,WoAEOQtrnpat.pdf (744.00 KB),1,3130945,BINITA MANDINGI,16-Oct-2025 01:15 PM,Rejected-AOC,Not qualified,16-Dec-2025 01:59 PM,AOC,S/R to AEO qtr building at Narayanpatna,S/R to AEO qtr building at Narayanpatna,NA ,NA ,"3,98,639",Civil Works - Buildings,NA ,Tender,90.0,60.0,Sunabeda,763001.0,NA ,NA ,NA ,"RURAL WORKS DIVISION, SUNABEDA",No ,No,1.0,ICICI BANK,Superintending Engineer,"RURAL WORKS DIVISION, SUNABEDA",1.0,Fee/PreQual/Technical/Finance,.pdf,"Bid cost, EMD, Registration certificate, GST, PAN, Non relation certificate, others as per DTCN",CE RW I||RWCIRCLE-SUNABEDA||RWDIVISION-SUNABEDA,SERWSBD Online 04 2025 26,2025_CERWI_119128_1,Yes,Open Tender,Percentage,Works,1.0,No,No,Online,No,No,No,"4,000",Yes,fixed,,Nil,Nil,09-Oct-2025 03:00 PM,20-Oct-2025 03:00 PM,09-Oct-2025 03:00 PM,20-Oct-2025 11:00 AM,09-Oct-2025 03:00 PM ,18-Oct-2025 05:00 PM ,09-Oct-2025 03:00 PM,20-Oct-2025 11:00 AM,"2,000",0.0,Nil,Nil,No,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,3134491,CHALA RADHA KUMARI,18-Oct-2025 05:07 PM,Rejected-AOC,Not qualified,16-Dec-2025 01:59 PM,AOC,,,,,,,,,,,,,,,,,,,2.0,ICICI NEFT/RTGS,,,,,.xls,Boq,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,3137327,DEBENDRA PUSIKA,20-Oct-2025 07:18 AM,Rejected-AOC,Not qualified,16-Dec-2025 01:59 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,3135256,GUPTA BISOI,19-Oct-2025 01:02 PM,Rejected-AOC,Not qualified,16-Dec-2025 01:59 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,3130738,HABIKA RABI,16-Oct-2025 12:27 PM,Rejected-AOC,Not qualified,16-Dec-2025 01:59 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,3133958,JOSADA KHARA,18-Oct-2025 01:17 PM,Rejected-AOC,Not qualified,16-Dec-2025 01:59 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,3133785,KARTIKA DEBARAPALLI,19-Oct-2025 10:46 AM,Rejected-AOC,Not qualified,16-Dec-2025 01:59 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,3134506,NIHARIKA NAYAK,18-Oct-2025 02:11 PM,Rejected-AOC,Not qualified,16-Dec-2025 01:59 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,3135305,NIRMALA KANDA,19-Oct-2025 11:36 AM,Rejected-AOC,Not qualified,16-Dec-2025 01:59 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,3136035,PIDIKA DAMANA,19-Oct-2025 05:57 PM,Rejected-AOC,Not qualified,16-Dec-2025 01:59 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
