S.No,Bank Name,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Tender Fee in ₹,VAT Charges in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Cover No,Cover,Document Type,Description,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Name,Address,Tender Stage,S.No,Bid Number,Bidder Name,Submitted Date,Status,Remarks,Status Updated On,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :,Updated on :,AOC document :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.1,Updated On :,Document :,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.2,Updated on :.1,Document :.1,Type :,Summary :,Updated By :.3,Updated On :.1,Document :.2,BOQ Comparative Chart :,S.No.1,Bid Number.1,Bidder Name.1,Awarded Currency,Awarded Value,Tender Stage
1.0,ICICI BANK,Construction of Canal Lining kurla Minor Canal RD 800m to 850m of Bandahaguda Minor Canal of Chatura MIP,Construction of Canal Lining kurla Minor Canal RD 800m to 850m of Bandahaguda Minor Canal of Chatura MIP in Sheragada block under the Scheme MIPSP for the year 2025-26,Please refer Tender documents. ,NA ,"8,34,000",Civil Works - Others,NA ,Tender,90.0,60.0,SHEREGADA,761106.0,NA ,NA ,NA ,"SE MI DIVIN GM-I,BAM",No ,No,"4,000",0.0,Nil,Nil,No,"8,500",Yes,fixed,,Nil,Nil,1.0,Fee/PreQual/Technical/Finance,.pdf,"GST,PAN,AFFIDAVIT, NO RELATION, SCHEDULE-E,CDMS COPY OF REGISTRATION CERTIFICAT","CE,Minor Irrigation,BBSR||SESMIC-BERHAMPUR||GANJAM I",Online Tender /04/ GMID-I/2025-26,2025_CEMIB_119434_1,Yes,Open Tender,Percentage,Works,1.0,No,No,Online,No,No,No,14-Oct-2025 10:00 AM,24-Oct-2025 11:00 AM,14-Oct-2025 10:00 AM,23-Oct-2025 05:00 PM,14-Oct-2025 10:00 AM ,22-Oct-2025 05:00 PM ,14-Oct-2025 10:00 AM,23-Oct-2025 05:00 PM,"SE MI DIVIN GM-I,BAM","SE MI DIVIN GM-I,BAM,ENGINEERING SCHOOL ROAD",AOC,1,3144815,BAIJAYANTI SWAIN,23-Oct-2025 11:05 AM,Accepted-AOC,Winner in transparency lottery,06-Dec-2025 04:17 PM,15-Dec-2025,"INR 708,159.8",60.0,Amiya Kumar Mudali,06-Dec-2025 04:16 PM,43_WORKORDER.pdf (404.00 KB),SE M.I DIVIN GM-I,Internal,,Amiya Kumar Mudali,06-Dec-2025 04:11 PM,techsummary_555730.pdf (450.00 KB),"CE,Minor Irrigation,BBSR||SESMIC-BERHAMPUR||GANJAM I",2025_CEMIB_119434_1,Online Tender /04/ GMID-I/2025-26,Construction of Canal Lining kurla Minor Canal RD 800m to 850m of Bandahaguda Minor Canal of Chatura MIP,SE M.I DIVIN GM-I,Internal,,Amiya Kumar Mudali,06-Dec-2025 04:14 PM,finsummary_555730.pdf (450.00 KB),Finance,13 nos of bidders have participated,Amiya Kumar Mudali,24-Oct-2025 12:08 PM,,BOQ Comparative Chart,1.0,3144815.0,BAIJAYANTI SWAIN,INR,"708,159.8",AOC
2.0,ICICI NEFT/RTGS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.xls,BOQ,,,,,,,,,,,,,,,,,,,,,,,,,AOC,2,3132855,BALAJI KUMAR SAHU,17-Oct-2025 04:43 PM,Rejected-AOC,Loser in transparency lottery,06-Dec-2025 04:17 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,3,3139778,BAPI SAHU,21-Oct-2025 02:04 PM,Rejected-AOC,Loser in transparency lottery,06-Dec-2025 04:17 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,4,3145596,B RAKESH PATRA,23-Oct-2025 02:04 PM,Rejected-AOC,Loser in transparency lottery,06-Dec-2025 04:17 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,5,3133141,DEBARAJ BHUYAN,17-Oct-2025 07:01 PM,Rejected-AOC,Loser in transparency lottery,06-Dec-2025 04:17 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,6,3139146,KISHOR CHANDRA PADHY,21-Oct-2025 11:08 AM,Rejected-AOC,Loser in transparency lottery,06-Dec-2025 04:17 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,7,3140793,MUNA SETHI,23-Oct-2025 10:26 AM,Rejected-AOC,Loser in transparency lottery,06-Dec-2025 04:17 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,8,3134406,PANADAB GOUDA,18-Oct-2025 05:10 PM,Rejected-AOC,Loser in transparency lottery,06-Dec-2025 04:17 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,9,3145239,Sanjaya Kumar Pradhan,23-Oct-2025 12:50 PM,Rejected-AOC,Loser in transparency lottery,06-Dec-2025 04:17 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,10,3144880,SANTOSH KUMAR DASH,23-Oct-2025 11:35 AM,Rejected-AOC,Loser in transparency lottery,06-Dec-2025 04:17 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
