EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Cover No,Cover,Document Type,Description,S.No,Bank Name,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Tender Fee in ₹,VAT Charges in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Name,Address,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Tender Stage,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated On :,Document :,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.1,Updated on :,AOC document :,AOC Description :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.2,Updated on :.1,Document :.1,Type :,Summary :,Updated By :.3,Updated On :.1,Document :.2,BOQ Comparative Chart :,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Tender Stage
"20,351",Yes,percentage,1.0%,Nil,Nil,1.0,Fee/PreQual/Technical/Finance,.pdf,"COST OF TENDER PAPER, EMD, GST, PAN, REGISTRATION CERTIFICATE, EXPERIENCE CERTIFICATE, AFFIDAVIT",1.0,ICICI BANK,Rural Water Supply and Sanitation||RWSS Circle Bhubaneswar||RWSS Division Nayagarh,04/RWSS/2025-26,2025_RWSS_115635_4,Yes,Open Tender,Percentage,Works,1.0,No,No,Online,No,No,No,16-Jul-2025 06:00 PM,30-Jul-2025 04:00 PM,16-Jul-2025 06:00 PM,30-Jul-2025 03:00 PM,16-Jul-2025 06:00 PM ,22-Jul-2025 05:00 PM ,16-Jul-2025 06:00 PM,30-Jul-2025 03:00 PM,"6,000",0.0,Nil,Nil,No,"SE RWSS DIVISION, NAYAGARH","O/O SE, RWSS DIVISION, NAYAGARH, NEAR FIRE STATION, KHANDAPADA ROAD, NAYAGARH",Construction of 06 nos of solar energy based PWS with 5000ltr Capacity HDPE storage tank with a staging height of 03mtrs in Nuagaon and Gania Block,Construction of 06 nos of solar energy based PWS with 5000ltr Capacity HDPE storage tank with a staging height of 03mtrs in Nuagaon and Gania Block,Please refer Tender documents. ,NA ,"20,35,142",Civil Works - Water Works,NA ,Tender,30.0,30.0,NAYAGARH,752069.0,NA ,NA ,NA ,"OFFICE OF THE SE RWSS DIVISION, NAYAGARH",No ,No,AOC,1.0,3017738.0,KANHEYALAL AGRAWAL,INR,"1,730,074",Rural Water Supply and Sanitation||RWSS Circle Bhubaneswar||RWSS Division Nayagarh,2025_RWSS_115635_4,04/RWSS/2025-26,Construction of 06 nos of solar energy based PWS with 5000ltr Capacity HDPE storage tank with a staging height of 03mtrs in Nuagaon and Gania Block,SE/DAO/AEE(ESTR),Internal,NOTE SHEET,Aloka Ranjan Panda,19-Dec-2025 01:05 PM,techsummary_546223.pdf (3078.16 KB),19-Dec-2025,"INR 2,035,142",30.0,Aloka Ranjan Panda,19-Dec-2025 01:11 PM,agnua.pdf (2552.00 KB),AGREEMENT,SE/DAO/AEE(ESTR),Internal,COMPARATIVE STATEMENT,Aloka Ranjan Panda,19-Dec-2025 01:09 PM,finsummary_546223.pdf (3265.72 KB),Finance,NOTE SHEET,Aloka Ranjan Panda,19-Dec-2025 12:57 PM,finance_546223.pdf,BOQ Comparative Chart,1,3017274,Ajit Kumar Bhutia,29-Jul-2025 10:28 PM,Rejected-Technical,L18 BIDDER,19-Dec-2025 01:05 PM,AOC
,,,,,,,,.xls,BOQ,2.0,ICICI NEFT/RTGS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,3012151,ARUN SAHOO,25-Jul-2025 07:28 PM,Rejected-Technical,L4 BIDDER,19-Dec-2025 01:05 PM,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,3017833,BHARAT KUMAR JAIN,30-Jul-2025 01:02 PM,Rejected-Technical,L22 BIDDER,19-Dec-2025 01:05 PM,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,3015001,DEBIPRASAD PRADHAN,28-Jul-2025 02:39 PM,Rejected-Technical,L6 BIDDER,19-Dec-2025 01:05 PM,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,3016992,DEELIP KUMAR SARANGI,30-Jul-2025 01:03 PM,Rejected-Technical,L15 BIDDER,19-Dec-2025 01:05 PM,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,3016600,DIBYA RANJAN PRADHAN,29-Jul-2025 02:04 PM,Not Admitted-Fee/PreQual/Technical/Finance,Not qualified for AOC,19-Dec-2025 12:57 PM,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,3016791,FIDA HOSEN KHAN,29-Jul-2025 03:47 PM,Rejected-Technical,L13 BIDDER,19-Dec-2025 01:05 PM,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,3015700,GOPAL CHANDRA JAIN,29-Jul-2025 12:36 PM,Rejected-Technical,L10 BIDDER,19-Dec-2025 01:05 PM,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,3017398,JOY SOLAR PVT LTD,30-Jul-2025 01:48 PM,Rejected-Technical,L19 BIDDER,19-Dec-2025 01:05 PM,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,3015747,Kailash Kumar Agrawal,29-Jul-2025 01:31 PM,Rejected-Technical,L11 BIDDER,19-Dec-2025 01:05 PM,AOC
