Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated On :,Document :,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.1,Updated on :,AOC document :,AOC Description :,S.No,Bid Number,Bidder Name,Submitted Date,Status,Remarks,Status Updated On,Type :,Summary :,Updated By :.2,Updated On :.1,Document :.1,BOQ Comparative Chart :,S.No.1,Bid Number.1,Bidder Name.1,Awarded Currency,Awarded Value,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.3,Updated on :.1,Document :.2,Tender Stage,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Name,Address,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,S.No,Bank Name,Cover No,Cover,Document Type,Description,Tender Fee in ₹,VAT Charges in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Tender Stage
Superintending Engineer,Internal,Sr. DAO AEE Estimator,Arun Amitav Pradhan,03-Dec-2025 10:22 PM,techsummary_552166.pdf (772.19 KB),03-Dec-2025,"INR 1,261,210",30.0,Arun Amitav Pradhan,03-Dec-2025 10:32 PM,WO.pdf (718.00 KB),Award of contract,1,3088502,ANIKET SAMANTARAY,19-Sep-2025 04:15 PM,Rejected-Finance,Disqualified in transparent lottery system,03-Dec-2025 10:27 PM,Finance,BID opened for necessary evaluation.,Sundara Madhaba Padhi,23-Sep-2025 11:27 PM,,BOQ Comparative Chart,1.0,3094506.0,JASMINE ENTERPRISES,INR,"1,261,210",EIC-CIVIL||SERNB-CIRCLE-CENTRAL||EERNB-DIVN-IV-BBSR,2025_EICCL_117922_1,eTCN-17 of 2025-26,Spl.Repair to Acharya Vihar to Kalinga Hospital Road via Sainik School such as providing SDBC RHS from 2.748 km to 3.128 km Bhubaneswar for the year 2025-26,Superintending Engineer,Internal,Sr. DAO AEE Estimator,Arun Amitav Pradhan,03-Dec-2025 10:27 PM,finsummary_552166.pdf (779.08 KB),AOC,"14,837",Yes,fixed,,Nil,Nil,S.E.BBSR RandB Divn No.4 Bhubaneswar,Nirman Soudha Unit 5 Bhubaneswar Dist Khordha Odisha,12-Sep-2025 10:30 AM,23-Sep-2025 11:30 AM,12-Sep-2025 10:30 AM,22-Sep-2025 05:30 PM,NA ,NA ,12-Sep-2025 10:30 AM,22-Sep-2025 05:30 PM,Spl.Repair to Acharya Vihar to Kalinga Hospital Road via Sainik School such as providing SDBC RHS from 2.748 km to 3.128 km Bhubaneswar for the year 2025-26,Spl.Repair to Acharya Vihar to Kalinga Hospital Road via Sainik School such as providing SDBC RHS from 2.748 km to 3.128 km Bhubaneswar for the year 2025-26,Pl refer DTCN ,NA ,"14,83,602",Civil Works - Roads,Road works ,Tender,90.0,30.0,Bhubaneswar,751001.0,NA ,NA ,NA ,O.O.S.E.BBSR RandB Divn No.4,No ,No,1.0,ICICI BANK,1.0,Fee/PreQual/Technical/Finance,.pdf,"RC,PAN,GST,BIDCOST,EMP AND OTHERS DOCUMENTS AS PER APPROVED DTCN","6,000",0.0,Nil,Nil,No,EIC-CIVIL||SERNB-CIRCLE-CENTRAL||EERNB-DIVN-IV-BBSR,eTCN-17 of 2025-26,2025_EICCL_117922_1,Yes,Open Tender,Percentage,Works,1.0,No,No,Online,No,No,No,AOC
,,,,,,,,,,,,,2,3086503,ASHWINI KUMAR JENA,18-Sep-2025 03:19 PM,Rejected-Finance,Disqualified in transparent lottery system,03-Dec-2025 10:27 PM,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,ICICI NEFT/RTGS,,,.xls,BOQ,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,3,3090646,BASANTA ROUT,22-Sep-2025 02:01 PM,Rejected-Technical,Non-responsive in technical evaluation,03-Dec-2025 10:22 PM,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,4,3086536,CBDS CONSTRUCTION,18-Sep-2025 03:39 PM,Rejected-Finance,Disqualified in transparent lottery system,03-Dec-2025 10:27 PM,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,5,3086761,DILLIP KUMAR BEHURA,18-Sep-2025 07:37 PM,Rejected-Finance,Disqualified in transparent lottery system,03-Dec-2025 10:27 PM,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,6,3094506,JASMINE ENTERPRISES,22-Sep-2025 01:30 PM,Accepted-AOC,Award of contract,03-Dec-2025 10:32 PM,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,7,3093419,Kailas Chandra Dalei,22-Sep-2025 10:37 AM,Rejected-Finance,Disqualified in transparent lottery system,03-Dec-2025 10:27 PM,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,8,3090131,SANJAY KUMAR LENKA,20-Sep-2025 12:53 PM,Rejected-Finance,Disqualified in transparent lottery system,03-Dec-2025 10:27 PM,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,9,3087698,SAROJ KUMAR NAYAK,22-Sep-2025 11:54 AM,Rejected-Finance,Disqualified in transparent lottery system,03-Dec-2025 10:27 PM,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,10,3088019,SEBATI SAHOO,19-Sep-2025 01:11 PM,Rejected-Finance,Disqualified in transparent lottery system,03-Dec-2025 10:27 PM,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
