Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Cover No,Cover,Document Type,Description,S.No,Bank Name,Name,Address,Tender Fee in ₹,VAT Charges in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Tender Stage,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated On :,Financial Bid Opening Date:,Document :,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Type :,Summary :,Updated By :.1,Updated On :.1,Document :.1,BOQ Comparative Chart :,Type :.1,Summary :.1,Updated By :.2,Updated On :.2,Document :.2,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.3,Updated on :,AOC document :,AOC Description :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.4,Updated on :.1,Document :.3,Tender Stage
01-Jul-2025 04:00 PM,16-Jul-2025 11:00 AM,01-Jul-2025 04:00 PM,15-Jul-2025 05:00 PM,01-Jul-2025 04:00 PM ,07-Jul-2025 05:00 PM ,01-Jul-2025 04:00 PM,15-Jul-2025 05:00 PM,23-Sep-2025 11:00 AM,Reconstruction of RCC Drain from 34.500 to 34.700 km and clearing and repairing of existing drain with covering of RCC slab within km 33.300 to 34.700 of NH-157 in stretches on Phulbani Town portion for the year 2025-26,Reconstruction of RCC Drain from 34.500 to 34.700 km and clearing and repairing of existing drain with covering of RCC slab within km 33.300 to 34.700 of NH-157 in stretches on Phulbani Town portion for the year 2025-26,Please refer Tender documents. ,NA ,"1,25,62,206",Civil Works - Highways,NA ,Tender,90.0,120.0,Sambalpur,768001.0,NA ,NA ,NA ,"O/O the CCE WNHCircle, Sambalpur",No ,No,1.0,Fee/PreQual/Technical,.pdf,"Tender Cost EMD, RC PAN GISTN Affidavit CDMS, Regn Certificate GST Registration Certificate etc",1.0,ICICI BANK,Chief Construction Engineer WNH Circle Sambalpur,"O/O the CCE WNHCircle, Sambalpur","10,000",0.0,Nil,Nil,No,"1,25,000",Yes,fixed,,Nil,Nil,CE-NH||NHCIRCLE-SAMBALPUR,IFB 01/CCE-WNHC-SBP of 2025-26 ( PKG 2),2025_CENH_115004_1,Yes,National Competitive Bid,Percentage,Works,2.0,No,No,Online,No,No,No,AOC,Bankim Chandra Panda,Internal,Santanu Sahu SE NHD SBP Laxmi Prava Mohanty JE (Estr) NHD SBP Kundan Kumar DAO NHD SBP Tikeswar Kisan PA to CCE WNHC SBBP,Bankim Chandra Panda,22-Sep-2025 04:09 PM,23-Sep-2025 11:00 AM,techsummary_544780.pdf (248.66 KB),CE-NH||NHCIRCLE-SAMBALPUR,2025_CENH_115004_1,IFB 01/CCE-WNHC-SBP of 2025-26 ( PKG 2),Reconstruction of RCC Drain from 34.500 to 34.700 km and clearing and repairing of existing drain with covering of RCC slab within km 33.300 to 34.700 of NH-157 in stretches on Phulbani Town portion for the year 2025-26,1.0,2999949.0,Rabindra Nath Gouda,INR,"10,679,132",Finance,Tender Opened,Sivabrata Taria,01-Dec-2025 07:30 PM,finance_544780.pdf,BOQ Comparative Chart,Technical,Bid opened,Shyam Sundar Prasad Ram,17-Jul-2025 06:38 PM,technical_544780.pdf,1,2994531,BALAMAKUNDA PUROHIT,14-Jul-2025 08:26 PM,Rejected-AOC,L3,01-Dec-2025 08:13 PM,01-Dec-2025,"INR 10,679,132",120.0,Sivabrata Taria,01-Dec-2025 08:12 PM,RCCDRAIN157.pdf (78.00 KB),Agreement No 31 P1 of 2025-26,Bankim Chandra Panda,Internal,Tikeswar Kisan PA to CCE Kundan Kumar DAO NHD SBP Anjali Pradhan JE Estr WNHC SBP,Sivabrata Taria,01-Dec-2025 07:50 PM,finsummary_544780.pdf (51.40 KB),AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,"Similar nature of work , ATO Profit and Loss statement work in hand , Mechineries etc",2.0,ICICI NEFT/RTGS,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,3000042,DEBAKANTA MALLICK,15-Jul-2025 04:02 PM,Rejected-AOC,L3,01-Dec-2025 08:13 PM,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Other documents as per DTCN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,2999567,DILLIP KUMAR BEHERA,15-Jul-2025 01:46 PM,Rejected-AOC,L3,01-Dec-2025 08:13 PM,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,Finance,.xls,Bill of Quantity,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,2996536,JOGENDRA KUMAR MOHANTY,15-Jul-2025 01:06 PM,Rejected-AOC,L3,01-Dec-2025 08:13 PM,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,3000095,M/S BISNU CHARAN BEHERA,15-Jul-2025 04:58 PM,Rejected-AOC,L3,01-Dec-2025 08:13 PM,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,2995240,M/S HARI SANKAR SUBUDHI,10-Jul-2025 03:36 PM,Rejected-AOC,L3,01-Dec-2025 08:13 PM,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,2999780,NARAYAN PRADHAN,15-Jul-2025 02:29 PM,Rejected-AOC,L3,01-Dec-2025 08:13 PM,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,2999592,Pradeep Kishor Swain,14-Jul-2025 10:38 PM,Rejected-AOC,L3,01-Dec-2025 08:13 PM,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,2999949,Rabindra Nath Gouda,15-Jul-2025 02:58 PM,Accepted-AOC,L1 As the bidder won transparent Lottery,01-Dec-2025 08:13 PM,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,3000069,RANJAN NAIK,15-Jul-2025 04:18 PM,Rejected-AOC,L3,01-Dec-2025 08:13 PM,,,,,,,,,,,,,,AOC
