Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,S.No,Corrigendum Title,Corrigendum Type,View,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Name,Address,S.No.1,Bank Name,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Tender Fee in ₹,VAT Charges in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Cover No,Cover,Document Type,Description,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Tender Stage,Type :,Summary :,Updated By :,Updated On :,Document :,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.1,Updated on :,Document :.1,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.2,Updated on :.1,AOC document :,AOC Description :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.3,Updated On :.1,Financial Bid Opening Date:,Document :.2,Type :.1,Summary :.1,Updated By :.4,Updated On :.2,Document :.3,BOQ Comparative Chart :,Tender Stage
Sl6 Improvement to Distribution System of Dumermunda MIP (D/W) in Lanjigarh Block of Kalahandi District CAPEX Lining Scheme for the year 2025-26,Improvement to Distribution System of Dumermunda MIP (D/W) in Lanjigarh Block of Kalahandi District CAPEX Lining Scheme for the year 2025-26,Please refer Tender documents. ,NA ,"81,81,145",Civil Works - Others,Improvement work ,Tender,90.0,90.0,Lanjigarh,766027.0,NA ,NA ,NA ,"O/o the SE, M.I. Division, Kalahandi, Bhawanipatna",No ,No,1.0,1st Corrigendum,Other,,"CE,Minor Irrigation,BBSR||SEKBKMIC-BHAWANIPATNA||KALAHANDI",SE MID BPT 05/2025-26 (Double Cover),2025_CEMIB_121579_2,Yes,Open Tender,Percentage,Works,2.0,No,No,Online,No,No,No,"SE, M.I. Division, Kalahandi, Bhawanipatna","O/o the SE, M.I. Division, Kalahandi, Bhawanipatna",1.0,ICICI BANK,"81,850",Yes,fixed,,Nil,Nil,"10,000",0.0,Nil,Nil,No,1.0,Fee/PreQual/Technical,.pdf,"License, GSTIN, PAN, Affidavit, EMDs, Paper cost, no relation certificate etc as per DTCN",20-Nov-2025 11:30 AM,01-Dec-2025 11:00 AM,20-Nov-2025 11:30 AM,29-Nov-2025 05:30 PM,20-Nov-2025 11:30 AM ,28-Nov-2025 05:30 PM ,20-Nov-2025 11:30 AM,29-Nov-2025 05:30 PM,05-Dec-2025 11:00 AM,AOC,Technical,all bids are open in time,NITUZA PANNA,01-Dec-2025 01:55 PM,technical_565561.pdf,"CE,Minor Irrigation,BBSR||SEKBKMIC-BHAWANIPATNA||KALAHANDI",2025_CEMIB_121579_2,SE MID BPT 05/2025-26 (Double Cover),Sl6 Improvement to Distribution System of Dumermunda MIP (D/W) in Lanjigarh Block of Kalahandi District CAPEX Lining Scheme for the year 2025-26,Er Saroj Sha,Internal,"Lal Krishna Basta, DAO and Nituza Panna, AE (Estr.) are the committee member",SAROJ SHA,07-Dec-2025 01:35 PM,finsummary_565561.pdf (933.99 KB),1.0,3262687.0,DILLIP KUMAR MISHRA,INR,"6,954,791.5",1,3257293,ABHIMANYU NAIK,29-Nov-2025 06:32 AM,Rejected-AOC,Rejected by Lottery,20-Dec-2025 04:40 PM,16-Dec-2025,"INR 6,954,791.5",90.0,SAROJ SHA,20-Dec-2025 04:40 PM,6DumerDillipMishra.pdf (299.00 KB),"Dilip Ku Mishra is the lottery winner, AOC issued to him",Er Saroj Sha,Internal,"Lal Krishna Basta, DAO and Nituza Panna, AE (Estr.) are the committee member",SAROJ SHA,04-Dec-2025 05:23 PM,05-Dec-2025 11:00 AM,techsummary_565561.pdf (555.15 KB),Finance,all bids are open in time,NITUZA PANNA,05-Dec-2025 05:03 PM,finance_565561.pdf,BOQ Comparative Chart,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,ICICI NEFT/RTGS,,,,,,,,,,,,,,.pdf,Valid Mobile No and Email address Experience Certificate if any and Other documents as per DTCN,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,2,3261063,ADITYA KUMAR PANDA,29-Nov-2025 08:03 AM,Rejected-AOC,Rejected by Lottery,20-Dec-2025 04:40 PM,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,Finance,.xls,Bill of quantity,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,3,3264309,ANJAN KUMAR BEHERA,29-Nov-2025 03:53 PM,Rejected-AOC,Rejected by Lottery,20-Dec-2025 04:40 PM,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,4,3258973,ANKIT KUMAR AGRAWAL,29-Nov-2025 12:01 AM,Rejected-AOC,Rejected by Lottery,20-Dec-2025 04:40 PM,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,5,3265821,ASHUTOSH MEHER,29-Nov-2025 11:54 AM,Rejected-AOC,Rejected by Lottery,20-Dec-2025 04:40 PM,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,6,3265391,Bhakta Charan Bhoi,29-Nov-2025 08:50 AM,Rejected-AOC,Rejected by Lottery,20-Dec-2025 04:40 PM,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,7,3262337,Bhodev Mahala,28-Nov-2025 09:58 AM,Rejected-AOC,Rejected by Lottery,20-Dec-2025 04:40 PM,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,8,3247417,Bhojraj Rana,29-Nov-2025 09:31 AM,Rejected-AOC,Rejected by Lottery,20-Dec-2025 04:40 PM,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,9,3265911,Bikash Chandra Panigrahi,29-Nov-2025 05:01 PM,Rejected-AOC,Rejected by Lottery,20-Dec-2025 04:40 PM,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,10,3265502,BIKASH KUMAR AGRAWAL,29-Nov-2025 10:23 AM,Rejected-AOC,Rejected by Lottery,20-Dec-2025 04:40 PM,,,,,,,,,,,,,,,,,,,,,AOC
