Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :,Updated on :,AOC document :,AOC Description :,Type :,Summary :,Updated By :.1,Updated On :,Document :,BOQ Comparative Chart :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.2,Updated on :.1,Document :.1,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.3,Updated On :.1,Document :.2,Tender Stage,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Cover No,Cover,Document Type,Description,Tender Fee in ₹,VAT Charges in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Name,Address,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,S.No,Bank Name,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Tender Stage
Municipal Bodies||Balangir Municipality,2024_ORULB_102384_93,BLGRMPTY/14(01-133)/2023-24,"Construction of Drain, Cover Slab and 1 no. of Culvert from Purnima Putel Res. to Abhimanyu Prusty Res.,W.No.18",1.0,2482928.0,SANTOSH KUMAR PANIGRAHI,INR,"848,226.9",1,2482866,RAJENDRA PUROHIT,20-Mar-2024 08:31 PM,Rejected-Finance,other then L1 Bidder,23-Dec-2025 12:45 PM,23-Dec-2025,"INR 848,226.9",90.0,Sanjay Kumar Mohanty,23-Dec-2025 12:52 PM,WO1420232493.pdf (1157.00 KB),After approval of the tender Committee contractor Sri Santosh Kumar Panigrahi is awarded the work vide W/O No.4638 Dt.26.11.2024,Finance,2 Nos. of bidders have participated.,Rojalisa Rout,21-Jun-2024 06:36 PM,,BOQ Comparative Chart,"SMT LIKA SAHU,CHAIRPERSON",Internal,"Chairperson,Executive Officer,Municipal Engineer, Asst.Engineer,Junior Engineer,Balangir Municipality",Sanjay Kumar Mohanty,23-Dec-2025 12:45 PM,finsummary_499088.pdf (192.91 KB),"SMT LIKA SAHU,CHAIRPERSON",Internal,"Chairperson,Executive Officer,Municipal Engineer, Asst.Engineer,Junior Engineer,Balangir Municipality",Sanjay Kumar Mohanty,23-Dec-2025 12:40 PM,techsummary_499088.pdf (566.22 KB),AOC,Municipal Bodies||Balangir Municipality,BLGRMPTY/14(01-133)/2023-24,2024_ORULB_102384_93,Yes,Open Tender,Percentage,Works,1.0,No,No,Online,No,No,No,1.0,Fee/PreQual/Technical/Finance,.xls,Bill of Quantity,"4,000",0.0,Nil,Nil,No,"Construction of Drain, Cover Slab and 1 no. of Culvert from Purnima Putel Res. to Abhimanyu Prusty Res.,W.No.18",Drain with Cover Slab and Culvert work,Please refer Tender Documents  ,NA ,"10,00,000",Civil Works - Others,NA ,Tender,180.0,90.0,Balangir Municipality,767001.0,NA ,NA ,NA ,"Office of the Municipal Council, Balangir",No ,No,"Executive Officer, Balangir Municipality","Office of the Municipal Council, Balangir",12-Mar-2024 09:00 AM,22-Mar-2024 11:00 AM,12-Mar-2024 09:00 AM,21-Mar-2024 05:00 PM,NA ,NA ,12-Mar-2024 09:00 AM,21-Mar-2024 05:00 PM,1,ICICI BANK,"10,000",Yes,percentage,1.0%,Nil,Nil,AOC
,,,,,,,,,2,2482928,SANTOSH KUMAR PANIGRAHI,20-Mar-2024 09:22 PM,Accepted-AOC,L1,23-Dec-2025 12:52 PM,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,.pdf,"Online proof of tender paper cost, EMD,GSTIN,PAN,RC,Affidavit and any others documents as per DTCN",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,ICICI NEFT/RTGS,,,,,,,AOC
