S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Type :,Summary :,Updated By :,Updated On :,Document :,BOQ Comparative Chart :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.1,Updated on :,Document :.1,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.2,Updated On :.1,Document :.2,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.3,Updated on :.1,AOC document :,AOC Description :,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Tender Stage,S.No,Bank Name,Name,Address,Cover No,Cover,Document Type,Description,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Tender Fee in ₹,VAT Charges in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Tender Stage
1.0,3143697.0,M/S U.S. QUALITY ENGINEERING WORKS,INR,"6,131,960",Finance,bidders are participated successfully.,JUGAL TAKRI,06-Dec-2025 12:18 PM,finance_554860.pdf,BOQ Comparative Chart,Executive Engineer,Internal,"Executive Engineer, Divisional Accountant, Estimator",JUGAL TAKRI,06-Dec-2025 05:36 PM,finsummary_554860.pdf (204.08 KB),Orissa Lift Irrigation Corporation||LI KORAPUT||LI Division Koraput,2025_OLIC_119009_11,03/2025-26,Installation and Energisation of Dumbaguda - I and II L.I.Project under Dasmantpur Block of Koraput District,Executive Engineer,Internal,"Executive Engineer, Divisional Accountant, Estimator",JUGAL TAKRI,06-Dec-2025 01:19 PM,techsummary_554860.pdf (204.08 KB),08-Dec-2025,"INR 5,196,576",90.0,JUGAL TAKRI,08-Dec-2025 04:03 PM,AOCsummary.pdf (40.00 KB),Awarded,1,3146055,ANUP POWER INFRASTRUCTURE,23-Oct-2025 04:09 PM,Rejected-AOC,Awarded,08-Dec-2025 04:03 PM,AOC,1.0,ICICI BANK,E E L I Division Koraput,E E L I Division Koraput,1.0,Fee/PreQual/Technical/Finance,.pdf,"Detail Tender Call notice, PAN ,GST, Civil and Electrical Contractors Licence, Labour Licence,Experi",Installation and Energisation of Dumbaguda - I and II L.I.Project under Dasmantpur Block of Koraput District,Installation and Energisation of Dumbaguda - I and II L.I.Project under Dasmantpur Block of Koraput District,Please refer Tender documents. ,NA ,"61,12,900",Civil Works - Lift Irrigation Schemes,NA ,Tender,270.0,90.0,Koraput,764020.0,NA ,NA ,NA ,Koraput,No ,No,"61,129",No,percentage,1.0%,Nil,Nil,Orissa Lift Irrigation Corporation||LI KORAPUT||LI Division Koraput,03/2025-26,2025_OLIC_119009_11,Yes,Open Tender,Percentage,Works,1.0,No,No,Online,No,No,No,"11,800",0.0,Nil,Nil,No,13-Oct-2025 10:00 AM,24-Oct-2025 11:00 AM,13-Oct-2025 10:00 AM,23-Oct-2025 05:00 PM,NA ,NA ,13-Oct-2025 10:00 AM,23-Oct-2025 05:00 PM,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,3139705,BADAL PATTNAIK,22-Oct-2025 08:11 PM,Rejected-AOC,Awarded,08-Dec-2025 04:03 PM,AOC,2.0,ICICI NEFT/RTGS,,,,,.xls,BOQ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,3135072,CHANDAN NAYAK,20-Oct-2025 12:18 PM,Rejected-AOC,Awarded,08-Dec-2025 04:03 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,3143975,DAITARI SIA,22-Oct-2025 10:52 PM,Rejected-AOC,Awarded,08-Dec-2025 04:03 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,3145881,MAADURGA ENGINEERING AND ASSOCIATES PRIVATE LIMITED,23-Oct-2025 03:56 PM,Rejected-AOC,Awarded,08-Dec-2025 04:03 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,3139319,MANOJ KUMAR PANDA,21-Oct-2025 12:04 PM,Rejected-AOC,Awarded,08-Dec-2025 04:03 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,3132608,M/S ENGINEERS ENTERPRISES,17-Oct-2025 03:00 PM,Rejected-AOC,Awarded,08-Dec-2025 04:03 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,3136721,M/S MAHAMAYEE ENTERPRISES,21-Oct-2025 10:44 AM,Rejected-AOC,Awarded,08-Dec-2025 04:03 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,3136423,M/S. PADHI ELECTRICALS,21-Oct-2025 12:09 PM,Rejected-AOC,Awarded,08-Dec-2025 04:03 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,3132952,M/S SHANTI POWER AND CONSTRUCTION,18-Oct-2025 05:03 PM,Rejected-AOC,Awarded,08-Dec-2025 04:03 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
