S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated on :,Document :,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Type :,Summary :,Updated By :.1,Updated On :,Document :.1,Type :.1,Summary :.1,Updated By :.2,Updated On :.1,Document :.2,BOQ Comparative Chart :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.3,Updated On :.2,Financial Bid Opening Date:,Document :.3,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.4,Updated on :.1,AOC document :,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Tender Stage,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Tender Fee in ₹,VAT Charges in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Name,Address,S.No,Bank Name,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Cover No,Cover,Document Type,Description,Tender Stage
1.0,3052911.0,Pruthibraj Pradhan,INR,"10,747,280","Er. K.Ch.Khatua, CCE, RWC, BAM",Internal,,Swagatika Rauto,13-Oct-2025 01:03 PM,finsummary_549026.pdf (972.82 KB),CE RW I||RWCIRCLE-BERHAMPUR,2025_CERWI_116734_1,Online Tender/15-2025-26/BPR,Construction of new office building for Daringibadi Tahasil at Daringibadi in the District of Kandhamal for the year 2025-26,Technical,Documents to be verified,Swagatika Rauto,30-Aug-2025 06:23 PM,technical_549026.pdf,Finance,Documents to be verified,Swagatika Rauto,16-Sep-2025 05:58 PM,finance_549026.pdf,BOQ Comparative Chart,"Er. K.Ch.Khatua, CCE, RWC, BAM",Internal,"Junior Engineer,R.W.Circle,BAM P.A. to CCE,R.W.Circle, BAM SE,R.W.Divn-II,Gm,BAM",Swagatika Rauto,11-Sep-2025 04:57 PM,16-Sep-2025 11:00 AM,techsummary_549026.pdf (298.21 KB),11-Dec-2025,"INR 10,747,280",365.0,Lopamudra Dalai,20-Dec-2025 12:31 PM,Daringbadi.pdf (805.00 KB),1,3042757,AMIYA KUMAR JENA,20-Aug-2025 04:30 PM,Rejected-AOC,1st Lowest,20-Dec-2025 12:32 PM,AOC,Construction of new office building for Daringibadi Tahasil at Daringibadi in the District of Kandhamal for the year 2025-26,Construction of new office building for Daringibadi Tahasil at Daringibadi in the District of Kandhamal for the year 2025-26,NA ,NA ,"1,26,42,371",Civil Works - Buildings,NA ,Tender,90.0,365.0,Balliguda,760011.0,NA ,NA ,NA ,"O/O Chief Construction Engineer, R.W.Circle, BAM,",No ,No,CE RW I||RWCIRCLE-BERHAMPUR,Online Tender/15-2025-26/BPR,2025_CERWI_116734_1,Yes,National Competitive Bid,Percentage,Works,2.0,No,No,Online,No,No,No,"10,000",0.0,Nil,Nil,No,"Chief Construction Engineer, R.W.Circle, BAM,","O/O Chief Construction Engineer, RWC, BAM Near Income Tax Office Ambapua-11",1.0,ICICI BANK,14-Aug-2025 10:00 AM,30-Aug-2025 11:00 AM,14-Aug-2025 10:00 AM,29-Aug-2025 05:30 PM,14-Aug-2025 10:00 AM ,26-Aug-2025 05:30 PM ,14-Aug-2025 10:00 AM,29-Aug-2025 05:30 PM,16-Sep-2025 11:00 AM,"1,26,500",Yes,fixed,,Nil,Nil,1.0,Fee/PreQual/Technical,.pdf,"Affidavit,GSTIN,PAN,RC,Experience,Bid security and other documents as per DTCN",AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,3053210,ANIL KUMAR PRADHAN,28-Aug-2025 07:21 PM,Rejected-AOC,1st Lowest,20-Dec-2025 12:32 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,ICICI NEFT/RTGS,,,,,,,,,,,,,,,,2.0,Finance,.xls,Bill of Quantity,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,3044870,Debabrata Panda,22-Aug-2025 06:32 PM,Rejected-AOC,1st Lowest,20-Dec-2025 12:32 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,3054928,DEBASIS GOUDA,29-Aug-2025 05:19 PM,Rejected-AOC,1st Lowest,20-Dec-2025 12:32 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,3053686,Debasish Mishra,29-Aug-2025 08:54 AM,Rejected-AOC,1st Lowest,20-Dec-2025 12:32 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,3052438,HERO WANI JENA,28-Aug-2025 09:08 PM,Rejected-AOC,1st Lowest,20-Dec-2025 12:32 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,3054075,JAY DURGA BUILDCON PRIVATE LIMITED,29-Aug-2025 12:11 PM,Rejected-AOC,1st Lowest,20-Dec-2025 12:32 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,3054900,MANOJ KUMAR JENA,29-Aug-2025 03:52 PM,Rejected-AOC,1st Lowest,20-Dec-2025 12:32 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,3052911,Pruthibraj Pradhan,28-Aug-2025 05:02 PM,Accepted-AOC,Successful bidders after lottery system,20-Dec-2025 12:32 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,3043072,RABI PRASAD SUBUDHI,20-Aug-2025 09:44 PM,Rejected-AOC,1st Lowest,20-Dec-2025 12:32 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11,3053946,RAKESH MAHAPATRA,29-Aug-2025 11:53 AM,Rejected-AOC,1st Lowest,20-Dec-2025 12:32 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12,3054165,RP INFRASTRUCTURE,29-Aug-2025 12:33 PM,Rejected-AOC,1st Lowest,20-Dec-2025 12:32 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13,3046820,SANJAYA KUMAR GOUDA,24-Aug-2025 07:52 PM,Rejected-AOC,1st Lowest,20-Dec-2025 12:32 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
