Type :,Summary :,Updated By :,Updated On :,Document :,BOQ Comparative Chart :,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.1,Updated on :,Document :.1,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.2,Updated On :.1,Document :.2,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.3,Updated on :.1,AOC document :,AOC Description :,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Tender Stage,Name,Address,S.No,Bank Name,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Cover No,Cover,Document Type,Description,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Tender Fee in ₹,VAT Charges in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Tender Stage
Finance,All bidders are qualified for Technical Evaluation,Gobinda Chandra Tudu,09-Dec-2025 06:37 PM,finance_552520.pdf,BOQ Comparative Chart,1.0,3085695.0,DIGAMBAR MOHANTY,INR,"423,415",CE RW I||RWCIRCLE-SUNABEDA||RWDIVISION-NAWARANGAPUR - II,2025_CERWI_118017_1,Online Tender 07 RWD-UKT 2025-26,RI Office cum residence Building at Singisari,Executive Engineer,Internal,"Estimator,DAO-I,Executive Engineer",Gobinda Chandra Tudu,09-Dec-2025 07:12 PM,finsummary_552520.pdf (522.02 KB),Executive Engineer,Internal,"Estimator,DAO-I,Executive Engineer",Gobinda Chandra Tudu,09-Dec-2025 06:55 PM,techsummary_552520.pdf (522.02 KB),09-Dec-2025,"INR 423,415",30.0,Gobinda Chandra Tudu,10-Dec-2025 01:33 PM,agmtsl07.pdf (572.00 KB),Qualified in transparent lottery,1,3082810,AJAYA KUMAR BEHERA,19-Sep-2025 09:32 PM,Rejected-AOC,Disqualified in transparent lottery,10-Dec-2025 01:34 PM,AOC,"Executive Engineer, RW Division-II, Umerkote","O/o the Executive Engineer, Rural Works Division-II, Nabarangpur, Umerkote",1.0,ICICI BANK,13-Sep-2025 04:00 PM,22-Sep-2025 11:00 AM,13-Sep-2025 04:00 PM,20-Sep-2025 05:00 PM,13-Sep-2025 04:00 PM ,19-Sep-2025 01:00 PM ,13-Sep-2025 04:00 PM,20-Sep-2025 05:00 PM,1.0,Fee/PreQual/Technical/Finance,.pdf,"RC, Valid PAN, GST, CASTE, AFFIDAVIT AND Other Documents as per DTCN",CE RW I||RWCIRCLE-SUNABEDA||RWDIVISION-NAWARANGAPUR - II,Online Tender 07 RWD-UKT 2025-26,2025_CERWI_118017_1,Yes,Open Tender,Percentage,Works,1.0,No,No,Online,No,No,No,RI Office cum residence Building at Singisari,RI Office cum residence Building at Singisari,NA ,NA ,"4,98,077",Civil Works - Buildings,NA ,Tender,90.0,30.0,Umerkote,764073.0,NA ,NA ,NA ,"EE, RW Division-II, Nabarangpur, Umerkote",No ,No,"2,000",0.0,Nil,Nil,No,"4,981",Yes,fixed,,Nil,Nil,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,3085299,ALEKHA CHANDRA MOHANTY,17-Sep-2025 08:00 PM,Rejected-AOC,Disqualified in transparent lottery,10-Dec-2025 01:34 PM,AOC,,,2.0,ICICI NEFT/RTGS,,,,,,,,,,,.xls,Boq,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,3084241,ANJALI BISWAS,18-Sep-2025 12:11 PM,Rejected-AOC,Disqualified in transparent lottery,10-Dec-2025 01:34 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,3090127,A SAI KUMAR,20-Sep-2025 02:05 PM,Rejected-AOC,Disqualified in transparent lottery,10-Dec-2025 01:34 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,3089776,BALRAM HARIJAN,20-Sep-2025 10:44 AM,Rejected-AOC,Disqualified in transparent lottery,10-Dec-2025 01:34 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,3089389,BASANTI PARIDA,19-Sep-2025 10:50 PM,Rejected-AOC,Disqualified in transparent lottery,10-Dec-2025 01:34 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,3087800,BIBHUTI BHUSAN BEHERA,19-Sep-2025 10:06 PM,Rejected-AOC,Disqualified in transparent lottery,10-Dec-2025 01:34 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,3087100,BIMAL CHANDRA MALLICK,18-Sep-2025 09:42 PM,Rejected-AOC,Disqualified in transparent lottery,10-Dec-2025 01:34 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,3089914,BINOD KUMAR MOHANTY,20-Sep-2025 11:50 AM,Rejected-AOC,Disqualified in transparent lottery,10-Dec-2025 01:34 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,3084579,BIPANNA NANDI,18-Sep-2025 01:49 PM,Rejected-AOC,Disqualified in transparent lottery,10-Dec-2025 01:34 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
