S.No,Bank Name,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Name,Address,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Tender Fee in ₹,VAT Charges in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Cover No,Cover,Document Type,Description,Tender Stage,S.No,Bid Number,Bidder Name,Submitted Date,Status,Remarks,Status Updated On,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :,Updated on :,AOC document :,Type :,Summary :,Updated By :.1,Updated On :,Document :,BOQ Comparative Chart :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.2,Updated On :.1,Financial Bid Opening Date:,Document :.1,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.3,Updated on :.1,Document :.2,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Type :.1,Summary :.1,Updated By :.4,Updated On :.2,Document :.3,S.No.1,Bid Number.1,Bidder Name.1,Awarded Currency,Awarded Value,Tender Stage
1.0,ICICI BANK,CE RW I||RWCIRCLE-BALANGIR||RWDIVISION-TITLAGARH,EETIG-ONLINE-01-2025-26,2025_CERWI_118552_1,Yes,Open Tender,Percentage,Works,2.0,No,No,Online,No,No,No,25-Sep-2025 11:00 AM,10-Oct-2025 11:00 AM,25-Sep-2025 11:00 AM,09-Oct-2025 05:00 PM,25-Sep-2025 11:00 AM ,08-Oct-2025 11:00 AM ,25-Sep-2025 11:00 AM,09-Oct-2025 05:00 PM,03-Nov-2025 11:00 AM,"73,190",Yes,fixed,,Nil,Nil,THE EE RWD TITILAGARH,O/O THE SE RWD TITILAGARH,Construction of 2 Nos. of F type Quarter for JMFC at Muribahal in the district of Bolangir for the year 2024-25,Construction of 2 Nos. of F type Quarter for JMFC at Muribahal in the district of Bolangir for the year 2024-25,PLEASE REFER TENDER DOCUMENTS ,NA ,"73,19,246",Civil Works - Buildings,NA ,Tender,90.0,180.0,TITILAGARH,767042.0,NA ,NA ,NA ,O/O THE SE RWD TITILAGARH,No ,No,"10,000",0.0,Nil,Nil,No,1.0,Fee/PreQual/Technical,.pdf,"PAN,GST,REGISTRATION CERTIFICATE,AFFIDAVIT REGARDING CORRECTNESS AND OTHER DOCUMENTS AS PER DTCN",AOC,1,3117411,ANKIT AGRAWAL,08-Oct-2025 06:18 PM,Rejected-Finance,NOT WINE THE LOTTERY,10-Dec-2025 08:19 PM,10-Dec-2025,"INR 6,222,091",180.0,Rajendra Majhi,10-Dec-2025 08:21 PM,9.pdf (230.00 KB),Finance,14NOS BIDDERS,Rajendra Majhi,03-Nov-2025 04:16 PM,finance_553852.pdf,BOQ Comparative Chart,RAJENDRA MAJHI,Internal,"EE, DAO ESTIMATOR",Rajendra Majhi,29-Oct-2025 01:25 PM,03-Nov-2025 11:00 AM,techsummary_553852.pdf (212.75 KB),RAJENDRA MAJHI,Internal,EE DAO ESTIMAOTR,Rajendra Majhi,10-Dec-2025 08:19 PM,finsummary_553852.pdf (230.43 KB),CE RW I||RWCIRCLE-BALANGIR||RWDIVISION-TITLAGARH,2025_CERWI_118552_1,EETIG-ONLINE-01-2025-26,Construction of 2 Nos. of F type Quarter for JMFC at Muribahal in the district of Bolangir for the year 2024-25,Technical,14nos Bidders,Rajendra Majhi,13-Oct-2025 08:25 PM,technical_553852.pdf,1.0,3115823.0,GOPAL DAS SHARMA,INR,"6,222,091",AOC
2.0,ICICI NEFT/RTGS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,Finance,.xls,BILL OF QUANTITY,AOC,2,3117482,ARUN KUMAR AGRAWAL,08-Oct-2025 08:50 PM,Rejected-Finance,NOT WINE THE LOTTERY,10-Dec-2025 08:19 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,3,3119270,BYASADEBA SAHU,09-Oct-2025 02:27 PM,Rejected-Finance,NOT WINE THE LOTTERY,10-Dec-2025 08:19 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,4,3114995,DURGA PRASAD GUPTA,09-Oct-2025 02:22 AM,Rejected-Finance,NOT WINE THE LOTTERY,10-Dec-2025 08:19 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,5,3113928,GANGA SHARMA,08-Oct-2025 09:49 PM,Rejected-Finance,NOT WINE THE LOTTERY,10-Dec-2025 08:19 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,6,3110551,GITA CONSTRUCTION,05-Oct-2025 08:40 PM,Rejected-Finance,NOT WINE THE LOTTERY,10-Dec-2025 08:19 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,7,3115823,GOPAL DAS SHARMA,08-Oct-2025 11:57 AM,Accepted-AOC,AOC,10-Dec-2025 08:21 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,8,3115751,GR INFRATECH,08-Oct-2025 12:15 PM,Rejected-Finance,NOT WINE THE LOTTERY,10-Dec-2025 08:19 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,9,3113634,Mahesh Kumar Agrawal,07-Oct-2025 12:10 PM,Rejected-Finance,NOT WINE THE LOTTERY,10-Dec-2025 08:19 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,10,3119191,M/S SWARAJ TRADERS,09-Oct-2025 12:23 PM,Rejected-Finance,NOT WINE THE LOTTERY,10-Dec-2025 08:19 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
