S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Type :,Summary :,Updated By :,Updated On :,Document :,BOQ Comparative Chart :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.1,Updated on :,Document :.1,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.2,Updated On :.1,Document :.2,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.3,Updated on :.1,AOC document :,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Tender Stage,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Tender Fee in ₹,VAT Charges in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,S.No,Bank Name,Cover No,Cover,Document Type,Description,Name,Address,Tender Stage
1.0,3275542.0,Smt. SABITA SAHOO,INR,"1,414,389",Finance,"The Tender has been opened in presence of Eo , Me, Je",Patitapaban Pattnayak,05-Dec-2025 01:49 PM,finance_564525.pdf,BOQ Comparative Chart,EO,Internal,,Soumya Ranjan Mishra,20-Dec-2025 11:01 AM,finsummary_564525.pdf (1165.06 KB),Municipal Bodies||Choudwar Municipality,2025_ORULB_121333_1,CHM-05/2025-26,Construction of Vending Zone in Choudwar Municipality in Ward No 9 Choudwar Municipality,EO,Internal,,Soumya Ranjan Mishra,19-Dec-2025 05:04 PM,techsummary_564525.pdf (267.22 KB),20-Dec-2025,"INR 1,663,791",120.0,Soumya Ranjan Mishra,20-Dec-2025 11:05 AM,wo1.pdf (723.00 KB),1,3275987,ASHOK KUMAR NAIK,04-Dec-2025 12:22 PM,Rejected-Finance,Reject,20-Dec-2025 11:01 AM,AOC,Municipal Bodies||Choudwar Municipality,CHM-05/2025-26,2025_ORULB_121333_1,Yes,Open Tender,Percentage,Works,1.0,No,No,Online,No,No,No,Construction of Vending Zone in Choudwar Municipality in Ward No 9 Choudwar Municipality,Construction of Vending Zone in Choudwar Municipality in Ward No 9 Choudwar Municipality,Please refer Tender documents. ,NA ,"16,63,791",Civil Works - Others,NA ,Tender,90.0,NA ,Choudwar,754071.0,NA ,NA ,NA ,Choudwar,No ,No,"7,080",0.0,Nil,Nil,No,17-Nov-2025 05:00 PM,05-Dec-2025 11:00 AM,17-Nov-2025 05:00 PM,04-Dec-2025 05:00 PM,NA ,NA ,17-Nov-2025 05:00 PM,04-Dec-2025 05:00 PM,"16,638",Yes,fixed,,Nil,Nil,1.0,ICICI BANK,1.0,Fee/PreQual/Technical/Finance,.pdf,As Per DTCN,Executive Officer Choudwar Municipality,Choudwar,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,3275300,ASHOK KUMAR SAHOO,04-Dec-2025 08:34 AM,Rejected-Finance,Reject,20-Dec-2025 11:01 AM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,ICICI NEFT/RTGS,,,.xls,As Per BOQ,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,3269956,DIPAK KUMAR PRUSTY,02-Dec-2025 06:20 PM,Rejected-Finance,Reject,20-Dec-2025 11:01 AM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,3277057,DURGA PRASAD NAYAK,04-Dec-2025 12:00 PM,Rejected-Finance,Reject,20-Dec-2025 11:01 AM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,3237982,GAGAN BIHARI SAMAL,29-Nov-2025 11:44 AM,Rejected-Finance,Reject,20-Dec-2025 11:01 AM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,3275893,GANESH CHANDRA BEHERA,04-Dec-2025 08:42 AM,Rejected-Finance,Reject,20-Dec-2025 11:01 AM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,3278710,KAMAL BEHERA,04-Dec-2025 02:51 PM,Rejected-Finance,Reject,20-Dec-2025 11:01 AM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,3275432,KRISHNA GLOBAL SOLUTIONS,03-Dec-2025 04:56 PM,Rejected-Finance,Reject,20-Dec-2025 11:01 AM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,3275400,Mangaraj Behera,03-Dec-2025 04:38 PM,Rejected-Finance,Reject,20-Dec-2025 11:01 AM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,3276793,SARAT KUMAR SETHI,03-Dec-2025 11:00 PM,Rejected-Finance,Reject,20-Dec-2025 11:01 AM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
