S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Type :,Summary :,Updated By :,Updated On :,Document :,BOQ Comparative Chart :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.1,Updated on :,Document :.1,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.2,Updated On :.1,Document :.2,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.3,Updated on :.1,AOC document :,AOC Description :,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Tender Stage,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,S.No,Bank Name,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Name,Address,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Tender Fee in ₹,VAT Charges in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Cover No,Cover,Document Type,Description,Tender Stage
1.0,3206389.0,BIPIN KUMAR NAYAK,INR,"646,039",Finance,Technical Evaluation committee,Sasmita Munduri,19-Dec-2025 05:31 PM,finance_560587.pdf,BOQ Comparative Chart,EE,Internal,"EE, DAO AND ESTIMATOR",Sasmita Munduri,19-Dec-2025 05:40 PM,finsummary_560587.pdf (2828.80 KB),CE RW I||RWCIRCLE-BHUBANESWAR||RWDIVISION-NAYAGARH,2025_CERWI_120480_1,TENDERONLINEDNAYAGARH42526,S/R to ODR to Raghunathprasad road such as CC overlaying for the year 2025-26,EE,Internal,"EE, DAO AND ESTIMATOR",Sasmita Munduri,19-Dec-2025 05:35 PM,techsummary_560587.pdf (2828.80 KB),19-Dec-2025,"INR 646,039",60.0,Sasmita Munduri,19-Dec-2025 05:49 PM,6324.pdf (513.00 KB),32P1 of 2025-26,1,3190035,AMJAD KHAN,07-Nov-2025 10:56 AM,Rejected-AOC,L1,19-Dec-2025 05:49 PM,AOC,31-Oct-2025 06:30 PM,12-Nov-2025 11:00 AM,31-Oct-2025 06:30 PM,11-Nov-2025 05:30 PM,31-Oct-2025 06:30 PM ,11-Nov-2025 05:30 PM ,31-Oct-2025 06:30 PM,11-Nov-2025 05:30 PM,1.0,ICICI BANK,CE RW I||RWCIRCLE-BHUBANESWAR||RWDIVISION-NAYAGARH,TENDERONLINEDNAYAGARH42526,2025_CERWI_120480_1,Yes,Open Tender,Percentage,Works,1.0,No,No,Online,No,No,No,Executive Engineer,"RURAL WORKS DIVISION, NAYAGARH","7,600",Yes,percentage,1.0%,Nil,Nil,S/R to ODR to Raghunathprasad road such as CC overlaying for the year 2025-26,S/R to ODR to Raghunathprasad road such as CC overlaying for the year 2025-26,NA ,NA ,"7,59,956",Civil Works - Roads,NA ,Tender,90.0,60.0,Nayagarh,752070.0,NA ,NA ,NA ,"RURAL WORKS DIVISION, NAYAGARH",No ,No,"4,000",0.0,Nil,Nil,No,1.0,Fee/PreQual/Technical/Finance,.pdf,DTCN.pdfBOQ.xlsvalidPANGSTContractorlicenceetcasDTCN,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,3199988,BASANTI SWAIN,10-Nov-2025 06:39 PM,Rejected-AOC,L1,19-Dec-2025 05:49 PM,AOC,,,,,,,,,2.0,ICICI NEFT/RTGS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.xls,Boq,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,3187110,BHAGIRATHI PRADHAN,07-Nov-2025 04:25 PM,Rejected-AOC,L1,19-Dec-2025 05:49 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,3197082,BIKASH PRADHAN,08-Nov-2025 06:38 PM,Rejected-AOC,L1,19-Dec-2025 05:49 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,3206389,BIPIN KUMAR NAYAK,10-Nov-2025 10:02 PM,Accepted-AOC,AOC,19-Dec-2025 05:49 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,3212835,CJL CONSTRUCTIONS PRIVATE LIMITED,11-Nov-2025 01:42 PM,Rejected-AOC,L1,19-Dec-2025 05:49 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,3205600,KAILASH CHANDRA SAHOO,10-Nov-2025 09:26 PM,Rejected-AOC,L1,19-Dec-2025 05:49 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,3210128,KUMARI SAHOO,10-Nov-2025 10:32 PM,Rejected-AOC,L1,19-Dec-2025 05:49 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,3195435,ROJALIN SAHOO,11-Nov-2025 04:09 PM,Rejected-AOC,L1,19-Dec-2025 05:49 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,3185486,SANDEEP KUMAR MAHAPATRA,05-Nov-2025 06:22 PM,Rejected-AOC,L1,19-Dec-2025 05:49 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
