S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated on :,Document :,Type :,Summary :,Updated By :.1,Updated On :,Document :.1,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Type :.1,Summary :.1,Updated By :.2,Updated On :.1,Document :.2,BOQ Comparative Chart :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.3,Updated On :.2,Financial Bid Opening Date:,Document :.3,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.4,Updated on :.1,AOC document :,Tender Stage,S.No,Bank Name,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Tender Fee in ₹,VAT Charges in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Cover No,Cover,Document Type,Description,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Name,Address,Tender Stage
1.0,3162663.0,BIPIN KUMAR NAYAK,INR,"669,273.54",Administrator,Internal,E.O and Team,Nihar Ranjan Behera,06-Dec-2025 01:51 PM,finsummary_555952.pdf (2404.71 KB),Technical,Tender Committee opened the Tender,Nihar Ranjan Behera,31-Oct-2025 11:21 AM,,Municipal Bodies||Odagaon NAC,2025_ORULB_119478_1,NAC-ODG-04/2025-26,Construction of CC road from Kalu Bhoi house to Bhikari Bhoi house at Ragadi Sahi in Ward-14 of Odagaon NAC,Finance,Tender Committee opened the Tender,Nihar Ranjan Behera,13-Nov-2025 06:13 PM,,BOQ Comparative Chart,Administrator,Internal,E.O. and Team,Nihar Ranjan Behera,12-Nov-2025 04:15 PM,12-Nov-2025 04:20 PM,techsummary_555952.pdf (577.78 KB),1,3162663,BIPIN KUMAR NAYAK,28-Oct-2025 08:11 PM,Accepted-AOC,Through Transparent Lottery Process,06-Dec-2025 02:00 PM,06-Dec-2025,"INR 669,273.54",60.0,Nihar Ranjan Behera,06-Dec-2025 01:59 PM,3474.pdf (287.00 KB),AOC,1.0,ICICI BANK,"7,900",Yes,fixed,,Nil,Nil,16-Oct-2025 11:00 AM,30-Oct-2025 11:00 AM,16-Oct-2025 11:00 AM,29-Oct-2025 05:00 PM,16-Oct-2025 11:00 AM ,29-Oct-2025 05:00 PM ,16-Oct-2025 11:00 AM,29-Oct-2025 05:00 PM,12-Nov-2025 04:20 PM,Municipal Bodies||Odagaon NAC,NAC-ODG-04/2025-26,2025_ORULB_119478_1,Yes,Open Tender,Percentage,Works,2.0,No,No,Online,No,No,No,"4,000",0.0,Nil,Nil,No,1.0,Fee/PreQual/Technical,.pdf,"Aadhar, PAN, License etc.",Construction of CC road from Kalu Bhoi house to Bhikari Bhoi house at Ragadi Sahi in Ward-14 of Odagaon NAC,Construction of CC road from Kalu Bhoi house to Bhikari Bhoi house at Ragadi Sahi in Ward-14 of Odagaon NAC,Please refer Tender documents. ,NA ,,Civil Works - Others,NA ,Tender,60.0,60.0,NAC ODAGAON,752081.0,NA ,NA ,NA ,NAC ODAGAON,No ,No,EXECUTIVE OFFICER,"NAC Office, Odagaon, Nayagarh, Pin-752081",AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,3164149,DILLIP KUMAR PADHI,28-Oct-2025 05:58 PM,Rejected-Finance,Through Transparent Lottery Process,06-Dec-2025 01:51 PM,,,,,,,AOC,2.0,ICICI NEFT/RTGS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,Finance,.xls,BOQ,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,3164637,KUMARI SAHOO,28-Oct-2025 09:08 PM,Rejected-Finance,Through Transparent Lottery Process,06-Dec-2025 01:51 PM,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,3155851,MAMATA PATRA,26-Oct-2025 08:23 PM,Rejected-Finance,Through Transparent Lottery Process,06-Dec-2025 01:51 PM,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,3149956,MANORANJAN JENA,28-Oct-2025 09:24 PM,Rejected-Finance,Through Transparent Lottery Process,06-Dec-2025 01:51 PM,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,3165222,NARASINGHA PRUSTY,29-Oct-2025 11:27 AM,Rejected-Finance,Through Transparent Lottery Process,06-Dec-2025 01:51 PM,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,3160830,PABITRA CHANDRA BEHERA,28-Oct-2025 08:48 PM,Rejected-Finance,Through Transparent Lottery Process,06-Dec-2025 01:51 PM,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,3156083,PANU SETHI,28-Oct-2025 02:01 PM,Rejected-AOC,Through Transparent Lottery Process,06-Dec-2025 02:00 PM,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,3162894,Prahlad Nayak,28-Oct-2025 01:20 PM,Rejected-Finance,Through Transparent Lottery Process,06-Dec-2025 01:51 PM,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,3162485,PRAMOD KUMAR DORA,28-Oct-2025 07:19 PM,Rejected-AOC,Through Transparent Lottery Process,06-Dec-2025 02:00 PM,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
