Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Name,Address,Cover No,Cover,Document Type,Description,S.No,Corrigendum Title,Corrigendum Type,View,Tender Fee in ₹,VAT Charges in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,S.No.1,Bank Name,Tender Stage,S.No,Bid Number,Bidder Name,Submitted Date,Status,Remarks,Status Updated On,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,S.No.1,Bid Number.1,Bidder Name.1,Awarded Currency,Awarded Value,Type :,Summary :,Updated By :,Updated On :,Document :,BOQ Comparative Chart :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.1,Updated on :,Document :.1,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.2,Updated On :.1,Financial Bid Opening Date:,Document :.2,Type :.1,Summary :.1,Updated By :.3,Updated On :.2,Document :.3,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.4,Updated on :.1,AOC document :,Tender Stage
Municipal Bodies||Brajrajnagar Municipality,BRJNRM-05/2024-25,2025_ORULB_108954_112,Yes,Open Tender,Percentage,Works,2.0,No,No,Online,No,No,No,"10,000",Yes,fixed,,Nil,Nil,Executive Officer Brajrajnagar Municipality,Brajrajnagar Municipality At-Lamtibahal PO-Brajrajnagar Dist-Jharsuguda,1,Fee/PreQual/Technical,.pdf,"Contractor License, T.P., E.M.D. copy, PAN, GST, Affidavit and other relevant documents as per DTCN",1.0,Online submission of Bid Closing date and Opening date has been rescheduled,Date,,"6,000",0.0,Nil,Nil,No,04-Jan-2025 03:00 PM,21-Jan-2025 11:00 AM,04-Jan-2025 03:00 PM,20-Jan-2025 05:00 PM,NA ,NA ,04-Jan-2025 03:00 PM,20-Jan-2025 05:00 PM,17-Mar-2025 11:00 AM,Const. of Community Centre at W.No.16.,Community Centre,Please refer Tender documents ,NA ,"10,00,000",Civil Works - Buildings,NA ,Tender,90.0,120.0,Brajrajnagar Municipal Area,768216.0,NA ,NA ,NA ,Brajrajnagar Municipality,No ,No,1,ICICI BANK,AOC,1,2764124,JAI MAA RAM CHANDI TRADERS,20-Jan-2025 10:26 AM,Accepted-AOC,Accepted,24-Dec-2025 05:15 PM,Municipal Bodies||Brajrajnagar Municipality,2025_ORULB_108954_112,BRJNRM-05/2024-25,Const. of Community Centre at W.No.16.,1.0,2764124.0,JAI MAA RAM CHANDI TRADERS,INR,"847,373.23",Finance,ok,Chandramani Swain,20-Mar-2025 03:54 PM,finance_523442.pdf,BOQ Comparative Chart,"Sri Krishna Gopal Sitani, Chairperson, Brajrajnagar Municipality.",Internal,"Accountant, Auditor, Junior Engineer, Asst. Engineer, Municipal Engineer, Executive Officer, Chairperson, Brajrajnagar Municipality",Chandramani Swain,24-Dec-2025 05:04 PM,finsummary_523442.pdf (2765.43 KB),"Sri Krishna Gopal Sitani, Chairperson, Brajrajnagar Municipality",Internal,"Accountant, Auditor, Asst. Engineer, Municipal Engineer, Executive Officer, Chairperson, Brajrajnagar Municipality.",Chandramani Swain,14-Mar-2025 12:47 PM,17-Mar-2025 11:00 AM,techsummary_523442.pdf (153.97 KB),Technical,ok,Chandramani Swain,11-Mar-2025 05:03 PM,technical_523442.pdf,24-Dec-2025,"INR 1,000,000",120.0,Chandramani Swain,24-Dec-2025 05:14 PM,112.pdf (293.00 KB),AOC
,,,,,,,,,,,,,,,,,,,,,,2,Finance,.xls,Bills of Quantity,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,ICICI NEFT/RTGS,AOC,2,2765612,SOURAV TANTY,20-Jan-2025 11:02 AM,Rejected-AOC,Rejected,24-Dec-2025 05:15 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
