S.No,Bank Name,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,S.No.1,Corrigendum Title,Corrigendum Type,View,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Tender Fee in ₹,VAT Charges in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Name,Address,Cover No,Cover,Document Type,Description,Tender Stage,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Type :,Summary :,Updated By :,Updated On :,Document :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.1,Updated on :,Document :.1,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.2,Updated on :.1,AOC document :,AOC Description :,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.3,Updated On :.1,Financial Bid Opening Date:,Document :.2,Type :.1,Summary :.1,Updated By :.4,Updated On :.2,Document :.3,BOQ Comparative Chart :,Tender Stage
1.0,ICICI BANK,CE RW I||RWCIRCLE-KENDRAPARA,Tender Online RCK-11/25,2025_CERWI_114954_1,Yes,National Competitive Bid,Percentage,Works,2.0,No,No,Online,No,No,No,"3,27,898",Yes,percentage,1.0%,Nil,Nil,1.0,Date Corrigendum,Date,,Construction of road from Adhajodi (R and B) road Guptira road,Construction of road from Adhajodi (R and B) road Guptira road,NA ,NA ,"3,27,89,764",Civil Works - Roads,NA ,Tender,90.0,270.0,Kendrapara,754211.0,NA ,NA ,NA ,"O/o CCE,R.W Circle,Kendrapara-Jajpur",No ,No,"10,000",0.0,Nil,Nil,No,27-Jun-2025 09:00 AM,11-Jul-2025 11:00 AM,27-Jun-2025 09:00 AM,10-Jul-2025 05:00 PM,27-Jun-2025 09:00 AM ,10-Jul-2025 02:00 PM ,27-Jun-2025 09:00 AM,10-Jul-2025 05:00 PM,14-Aug-2025 11:00 AM,"Chief Construction Engineer,R.W Circle KPD-JJP","O/o CCE,R.W Circle,Kendrapara-Jajpur",1.0,Fee/PreQual/Technical,.pdf,"RC, GST, PAN, No relation Certificate as per DTCN",AOC,CE RW I||RWCIRCLE-KENDRAPARA,2025_CERWI_114954_1,Tender Online RCK-11/25,Construction of road from Adhajodi (R and B) road Guptira road,Technical,12 no of bidders have been participated,Suchitra Kar,11-Jul-2025 01:18 PM,,CCE,Internal,,Satyajit Dalai,30-Oct-2025 05:46 PM,finsummary_544640.pdf (132.97 KB),1.0,2988478.0,ANIL KUMAR SWAIN,INR,"27,874,578.542",06-Nov-2025,"INR 27,874,578.542",270.0,Satyajit Dalai,29-Dec-2025 12:51 PM,adhajodi.pdf (742.00 KB),The work has been awarded to Anil Kumar Swain,1,2993917,ABHAYA KUMAR ROUT,09-Jul-2025 12:51 PM,Rejected-Finance,Rejected Bidder,30-Oct-2025 05:46 PM,CCE,Internal,"CCE,DAO,Estimator",Satyajit Dalai,11-Aug-2025 02:27 PM,14-Aug-2025 11:00 AM,techsummary_544640.pdf (1348.52 KB),Finance,12 no of bidders have been participated,Suchitra Kar,14-Aug-2025 02:59 PM,,BOQ Comparative Chart,AOC
2.0,ICICI NEFT/RTGS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,Finance,.xls,BOQ,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,2993788,AMLAN SAMAL,09-Jul-2025 07:57 AM,Rejected-Finance,Rejected Bidder,30-Oct-2025 05:46 PM,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,2989920,ANANTA PRASAD MALIK,07-Jul-2025 09:59 PM,Rejected-Finance,Rejected Bidder,30-Oct-2025 05:46 PM,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,2988478,ANIL KUMAR SWAIN,08-Jul-2025 09:45 PM,Accepted-AOC,The work has been awarded to Anil Kumar Swain,29-Dec-2025 12:51 PM,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,2984379,Bijaya Kumar Mohanty,07-Jul-2025 03:53 PM,Rejected-Finance,Rejected Bidder,30-Oct-2025 05:46 PM,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,2993793,KALINGA CONSTRUCTION,09-Jul-2025 09:58 AM,Rejected-Finance,Rejected Bidder,30-Oct-2025 05:46 PM,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,2994139,KISHORE KUMAR PANDA,09-Jul-2025 04:27 PM,Rejected-Finance,Rejected Bidder,30-Oct-2025 05:46 PM,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,2993358,PRADYUMNA KUMAR DAS,08-Jul-2025 03:27 PM,Rejected-Finance,Rejected Bidder,30-Oct-2025 05:46 PM,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,2994179,Prasanta Kumar Behera,09-Jul-2025 03:45 PM,Rejected-Finance,Rejected Bidder,30-Oct-2025 05:46 PM,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,2993660,RASMIRANJAN DAS,08-Jul-2025 08:46 PM,Rejected-Finance,Rejected Bidder,30-Oct-2025 05:46 PM,,,,,,,,,,,,,,AOC
