Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :,Updated on :,AOC document :,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Type :,Summary :,Updated By :.1,Updated On :,Document :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.2,Updated on :.1,Document :.1,Type :.1,Summary :.1,Updated By :.3,Updated On :.1,Document :.2,BOQ Comparative Chart :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.4,Updated On :.2,Financial Bid Opening Date:,Document :.3,Tender Stage,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,S.No,Bank Name,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Cover No,Cover,Document Type,Description,Name,Address,Tender Fee in ₹,VAT Charges in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Tender Stage
08-Dec-2025,"INR 5,006,578",270.0,LAXMAN SAHOO,08-Dec-2025 04:50 PM,TSQjulumbahal.pdf (557.00 KB),1.0,3032380.0,SANDEEP NAYAK,INR,"5,006,578",ST and SC Development Deptt||ITDA Sundergarh,2025_STSCD_116082_13,ITDASNG-03/2025-2026,Construction of twin staff quarters (4 Units Teaching) at Julumbahal Ashram School under Hemgir Block,1,3029778,DHALESWAR GANDHA,10-Aug-2025 08:59 AM,Rejected-AOC,Disqualified,08-Dec-2025 04:50 PM,Technical,TENDER STATUS,Sudam Chandra Patel,24-Aug-2025 10:21 PM,,COLLECTOR SUNDARGARH,Internal,"PA,ITDA,SUNDARGARH, EE, MI DIVISION, SUNDARGARH, AEE, ITDA, SUNDARGARH",LAXMAN SAHOO,08-Dec-2025 04:45 PM,finsummary_547511.pdf (506.68 KB),Finance,Tender Status,Sudam Chandra Patel,11-Sep-2025 01:32 PM,finance_547511.pdf,BOQ Comparative Chart,"Collector, Sundargarh",Internal,"SE, MI Division Sundargarh, AEE, ITDA, Sundargarh, PA, ITDA, Sundargarh",LAXMAN SAHOO,10-Sep-2025 09:27 PM,11-Sep-2025 11:00 AM,techsummary_547511.pdf (441.01 KB),AOC,"58,894",Yes,fixed,,Nil,Nil,1.0,ICICI BANK,ST and SC Development Deptt||ITDA Sundergarh,ITDASNG-03/2025-2026,2025_STSCD_116082_13,Yes,National Competitive Bid,Percentage,Works,2.0,No,No,Online,No,No,No,1.0,Fee/PreQual/Technical,.pdf,"License, PAN Card, GSTIN, Affidavit, No Relation Certificate and other documents as per DTCH",PROJECT ADMINISTRATOR,"ITDA, SUNDARGARH","10,000",0.0,Nil,Nil,No,Construction of twin staff quarters (4 Units Teaching) at Julumbahal Ashram School under Hemgir Block,Construction of twin staff quarters (4 Units Teaching) at Julumbahal Ashram School under Hemgir Block,AS PER DTCN ,NA ,"58,89,399",Civil Works - Buildings,NA ,Tender,90.0,270.0,Sundargarh,770001.0,NA ,NA ,NA ,"ITDA, SUNDARGARH",No ,No,29-Jul-2025 01:00 PM,13-Aug-2025 11:00 AM,29-Jul-2025 01:00 PM,12-Aug-2025 05:00 PM,NA ,NA ,29-Jul-2025 01:00 PM,12-Aug-2025 05:00 PM,11-Sep-2025 11:00 AM,AOC
,,,,,,,,,,,,,,,2,3033071,J M K CONSTRUCTION,12-Aug-2025 03:08 PM,Rejected-AOC,Disqualified,08-Dec-2025 04:50 PM,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,2.0,ICICI NEFT/RTGS,,,,,,,,,,,,,,,2.0,Finance,.xls,BOQ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,3,3029698,LALIT KUMAR BANJARA,09-Aug-2025 09:55 PM,Rejected-AOC,Disqualified,08-Dec-2025 04:50 PM,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,4,3026046,MARIYAM KISPOTTA,08-Aug-2025 10:50 AM,Rejected-AOC,Disqualified,08-Dec-2025 04:50 PM,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,5,3029872,M/s Anjali Construction,11-Aug-2025 02:24 PM,Rejected-AOC,Disqualified,08-Dec-2025 04:50 PM,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,6,3031539,PRABIR KUMAR SAMAL,11-Aug-2025 03:01 PM,Rejected-AOC,Disqualified,08-Dec-2025 04:50 PM,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,7,3031989,PRAVASIS PRADHAN,11-Aug-2025 05:18 PM,Rejected-AOC,Disqualified,08-Dec-2025 04:50 PM,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,8,3032380,SANDEEP NAYAK,12-Aug-2025 09:40 AM,Accepted-AOC,1st lowest in transparent lottery process,08-Dec-2025 04:50 PM,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,9,3031533,SANOJ KUMAR GHOSH,11-Aug-2025 03:05 PM,Rejected-AOC,Disqualified,08-Dec-2025 04:50 PM,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,10,3029823,SUGU MAJHI,10-Aug-2025 11:11 AM,Rejected-AOC,Disqualified,08-Dec-2025 04:50 PM,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
