S.No,Bid Number,Bidder Name,Submitted Date,Status,Remarks,Status Updated On,Type :,Summary :,Updated By :,Updated On :,Document :,Type :.1,Summary :.1,Updated By :.1,Updated On :.1,Document :.1,BOQ Comparative Chart :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.2,Updated on :,Document :.2,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.3,Updated on :.1,AOC document :,AOC Description :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.4,Updated On :.2,Financial Bid Opening Date:,Document :.3,S.No.1,Bid Number.1,Bidder Name.1,Awarded Currency,Awarded Value,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Tender Stage,Tender Fee in ₹,VAT Charges in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Name,Address,S.No,Bank Name,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Cover No,Cover,Document Type,Description,Tender Stage
1,3160295,A C ROY SHIPBUILDERS PVT LTD,28-Oct-2025 07:41 PM,Rejected-Finance,DUE TO SELECTION OF L1 BIDDER.,03-Dec-2025 02:54 PM,Technical,FOUR (04) NOS. BID DOCUMENTS DOWNLOADED.,SRADHANJALI SAHOO,13-Nov-2025 12:40 PM,technical_555962.pdf,Finance,TWO (02) NOS. BOQ DOWNLOADED.,SRADHANJALI SAHOO,15-Nov-2025 03:55 PM,finance_555962.pdf,BOQ Comparative Chart,P L ROUL,Internal,"U KANHAR, S R PATRI, K SWAPNA, A KUMAR",SRADHANJALI SAHOO,03-Dec-2025 02:54 PM,finsummary_555962.pdf (1338.45 KB),30-Dec-2025,"INR 11,380,000",180.0,SRADHANJALI SAHOO,30-Dec-2025 02:36 PM,AOCSOLARBOATBALUGAON.pdf (2291.00 KB),The actual date of AOC is 02.12.2025. But due to some unavoidable circumstances the same has not been uploaded in time.,P L ROUL,Internal,"U KANHAR, S R PATRI, J P PADHY, A KUMAR",SRADHANJALI SAHOO,13-Nov-2025 05:17 PM,14-Nov-2025 12:30 PM,techsummary_555962.pdf (677.26 KB),1.0,3151411.0,NAVALT SOLAR & ELECTRIC BOATS PRIVATE LIMITED,INR,"11,380,000",Directorate of Ports and IWT||Directorate of Ports and IWT,2025_PIWT_119479_1,DPIWT-18/2025-26,"Procurement of 1 (One) no. 25-seater Solar Hybrid FRP Passenger Boat for operation under Ports and IWT, Mechanical Sub-Division at Balugaon in Khordha District, Odisha",AOC,"10,000",0.0,Nil,Nil,No,"Procurement of 1 (One) no. 25-seater Solar Hybrid FRP Passenger Boat for operation under Ports and IWT, Mechanical Sub-Division at Balugaon in Khordha District, Odisha",PROCUREMENT WORKS,PLEASE REFER TENDER DOCUMENTS ,NA ,"1,14,52,381",Mechanical Works,NA ,Tender,90.0,180.0,BALUGAON IN KHORDHA DISTRICT,752030.0,NA ,NA ,NA ,"DIRECTORATE OF PORTS AND INLAND WATER TRANSPORT, G",No ,No,Directorate of Ports and IWT||Directorate of Ports and IWT,DPIWT-18/2025-26,2025_PIWT_119479_1,Yes,Open Tender,Item Rate,Works,2.0,No,No,Online,No,No,No,"DIRECTOR, PORTS AND IWT, ODISHA, BHUBANESWAR","DIRECTORATE OF PORTS AND INLAND WATER TRANSPORT, GROUND FLOOR, ZONE-A, FORTUNE TOWERS, CHANDRASEKHARPUR, BHUBANESWAR-751023",1.0,ICICI BANK,"1,14,524",No,fixed,,Nil,Nil,14-Oct-2025 04:30 PM,30-Oct-2025 11:30 AM,14-Oct-2025 04:30 PM,29-Oct-2025 05:00 PM,14-Oct-2025 04:30 PM ,20-Oct-2025 03:00 PM ,14-Oct-2025 04:30 PM,29-Oct-2025 05:00 PM,14-Nov-2025 12:30 PM,1.0,Fee/PreQual/Technical,.pdf,"GST, PAN, RC, Proof regarding payment of online tender paper cost and EMD",AOC
2,3163504,Cleghorn Mfg. Co. Pvt. Ltd.,29-Oct-2025 03:03 PM,Rejected-Technical,DUE TO NON-FULFILLMENT OF ELIGIBILITY CRITERIA,13-Nov-2025 05:17 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,ICICI NEFT/RTGS,,,,,,,,,,,,,,,,,,.pdf,Affidavit and other documents as per DTCN,AOC
3,3142377,Mechem Private Limited,28-Oct-2025 12:52 PM,Rejected-Technical,DUE TO NON-FULFILLMENT OF ELIGIBILITY CRITERIA,13-Nov-2025 05:17 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,Finance,.xls,BILL OF QUANTITY,AOC
4,3151411,NAVALT SOLAR & ELECTRIC BOATS PRIVATE LIMITED,29-Oct-2025 01:49 PM,Accepted-AOC,OK,30-Dec-2025 02:37 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
