Tender Fee in ₹,VAT Charges in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,S.No,Bank Name,Cover No,Cover,Document Type,Description,Name,Address,S.No.1,Corrigendum Title,Corrigendum Type,View,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Tender Stage,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated on :,Document :,Type :,Summary :,Updated By :.1,Updated On :,Document :.1,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.2,Updated On :.1,Financial Bid Opening Date:,Document :.2,Type :.1,Summary :.1,Updated By :.3,Updated On :.2,Document :.3,BOQ Comparative Chart :,S.No,Bid Number,Bidder Name,Submitted Date,Status,Remarks,Status Updated On,S.No.1,Bid Number.1,Bidder Name.1,Awarded Currency,Awarded Value,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.4,Updated on :.1,AOC document :,AOC Description :,Tender Stage
"4,000",0.0,Nil,Nil,No,Municipal Bodies||Barbil Municipality,BBLM-5/2025-26,2025_ORULB_119252_10,Yes,Open Tender,Percentage,Works,2.0,No,No,Online,No,No,No,"9,990",Yes,percentage,1.0%,Nil,Nil,16-Oct-2025 10:00 AM,07-Nov-2025 11:00 AM,16-Oct-2025 10:00 AM,06-Nov-2025 05:00 PM,NA ,NA ,16-Oct-2025 10:00 AM,06-Nov-2025 05:00 PM,21-Nov-2025 06:00 PM,1.0,ICICI BANK,1.0,Fee/PreQual/Technical,.pdf,DTCN,Executive Officer Barbil Municipality,Executive Officer Barbil Municipality,1.0,Extension of opening date,Date,,"Repair of drain and construction of slab from Shiv Lal Park to Thawaria store, Ward No.9, Barbil","Repair of drain and construction of slab from Shiv Lal Park to Thawaria store, Ward No.9, Barbil",Please refer Tender documents. ,NA ,"9,99,000",Civil Works - Others,NA ,Tender,90.0,90.0,Barbil,758035.0,NA ,NA ,NA ,Barbil Municipality,No ,No,AOC,Laxman Mahanta,Internal,,Ramesh Chandra Nayak,19-Dec-2025 05:34 PM,finsummary_555339.pdf (131.78 KB),Technical,open,Ramesh Chandra Nayak,07-Nov-2025 02:30 PM,technical_555339.pdf,Laxman Mahanta,Internal,,Purna Chandra Mahanta,21-Nov-2025 05:50 PM,21-Nov-2025 06:00 PM,techsummary_555339.pdf (4230.28 KB),Finance,open,Ramesh Chandra Nayak,24-Nov-2025 01:02 PM,finance_555339.pdf,BOQ Comparative Chart,1,3188784,ABHISHEK KUMAR SINGH,06-Nov-2025 01:38 PM,Rejected-Finance,second,19-Dec-2025 05:34 PM,1.0,3187139.0,NARAYAN HEMBRAM,INR,"933,962",Municipal Bodies||Barbil Municipality,2025_ORULB_119252_10,BBLM-5/2025-26,"Repair of drain and construction of slab from Shiv Lal Park to Thawaria store, Ward No.9, Barbil",19-Dec-2025,"INR 933,962",90.0,Ramesh Chandra Nayak,19-Dec-2025 05:37 PM,WO10.pdf (106.00 KB),Contact value including GST,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,ICICI NEFT/RTGS,2.0,Finance,.xls,BOQ,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,2,3188909,JETHURAM PATRA,06-Nov-2025 01:53 PM,Rejected-Finance,Fifth,19-Dec-2025 05:34 PM,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,3,3187139,NARAYAN HEMBRAM,06-Nov-2025 07:39 AM,Accepted-AOC,Lowest,19-Dec-2025 05:38 PM,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,4,3187662,SUDIP KUMAR SAMAL,06-Nov-2025 01:58 PM,Rejected-Finance,Third,19-Dec-2025 05:34 PM,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,5,3188275,SURAJ PRASAD PROP SAANVI CONSTRUCTION,06-Nov-2025 02:52 PM,Rejected-Finance,Forth,19-Dec-2025 05:34 PM,,,,,,,,,,,,,,,,,AOC
