Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Name,Address,Tender Fee in ₹,VAT Charges in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,S.No,Bank Name,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Cover No,Cover,Document Type,Description,Tender Stage,S.No,Bid Number,Bidder Name,Submitted Date,Status,Remarks,Status Updated On,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :,Updated on :,AOC document :,AOC Description :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.1,Updated On :,Document :,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.2,Updated on :.1,Document :.1,Type :,Summary :,Updated By :.3,Updated On :.1,Document :.2,BOQ Comparative Chart :,S.No.1,Bid Number.1,Bidder Name.1,Awarded Currency,Awarded Value,Tender Stage
29-Oct-2025 05:00 PM,10-Nov-2025 11:00 AM,29-Oct-2025 05:00 PM,07-Nov-2025 05:00 PM,29-Oct-2025 05:00 PM ,06-Nov-2025 04:00 PM ,29-Oct-2025 05:00 PM,07-Nov-2025 05:00 PM,"Executive Engineer, R W Div., Sonepur","O/o the S E, R.W. Division, Sonepur","4,000",0.0,Nil,Nil,No,"6,300",Yes,fixed,,Nil,Nil,S/R toMDR-39 to Denduppadar from Ch. 0/000 to 3/00 Km.,Civil S/R Roads works,Please refer Tender documents. ,NA ,"6,30,000",Civil Works - Roads,NA ,Tender,90.0,60.0,Sonepur,767017.0,NA ,NA ,NA ,"O/o the S E, R.W. Division, Sonepur",No ,No,1.0,ICICI BANK,CE RW I||RWCIRCLE-BALANGIR||RWDIVISION-SONEPUR,BI No.Tender Online SNPR-06 of 2025-26.,2025_CERWI_120114_9,Yes,Open Tender,Percentage,Works,1.0,No,No,Online,No,No,No,1.0,Fee/PreQual/Technical/Finance,.pdf,TENDER PAPER COST EMD PAN GST CERTIFICATE VALID CONTRACT LICENCE AFFIDAVIT AS PER DTCN ETC,AOC,1,3190155,BIPRACHANDRA BEHERA,07-Nov-2025 02:01 PM,Rejected-AOC,Rejected,17-Dec-2025 05:22 PM,17-Dec-2025,"INR 535,985",60.0,Subhrata Meher,17-Dec-2025 05:21 PM,AOC.pdf (479.00 KB),Work awarded in regular lottery system,Er Subhrata Meher,Internal,,Subhrata Meher,17-Dec-2025 05:17 PM,techsummary_558473.pdf (329.56 KB),CE RW I||RWCIRCLE-BALANGIR||RWDIVISION-SONEPUR,2025_CERWI_120114_9,BI No.Tender Online SNPR-06 of 2025-26.,S/R toMDR-39 to Denduppadar from Ch. 0/000 to 3/00 Km.,Er Subhrata Meher,Internal,,Subhrata Meher,17-Dec-2025 05:19 PM,finsummary_558473.pdf (329.56 KB),Finance,05 nos of Bidders.,Subhrata Meher,13-Nov-2025 04:26 PM,finance_558473.pdf,BOQ Comparative Chart,1.0,3182659.0,SANATAN NAYAK,INR,"535,985",AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,ICICI NEFT/RTGS,,,,,,,,,,,,,,,,,.xls,Bill of Quantity (BOQ),AOC,2,3189400,KIRAN KUMAR MOHANTY,07-Nov-2025 10:45 AM,Rejected-AOC,Rejected,17-Dec-2025 05:22 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,3,3171149,Namita Mishra,02-Nov-2025 09:43 PM,Rejected-AOC,Rejected,17-Dec-2025 05:22 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,4,3182659,SANATAN NAYAK,04-Nov-2025 09:39 PM,Accepted-AOC,Work awarded in regular lottery system,17-Dec-2025 05:22 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,5,3178294,SNEHALATA BEHERA,07-Nov-2025 01:45 PM,Rejected-AOC,Rejected,17-Dec-2025 05:22 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
