S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :,Updated on :,AOC document :,Type :,Summary :,Updated By :.1,Updated On :,Document :,BOQ Comparative Chart :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.2,Updated on :.1,Document :.1,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.3,Updated On :.1,Document :.2,Tender Stage,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Tender Fee in ₹,VAT Charges in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,S.No,Bank Name,Name,Address,Cover No,Cover,Document Type,Description,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Tender Stage
1.0,2900262.0,TAPAN KUMAR SWAIN,INR,"1,671,654","CE-BM,LMB Basin,BBSR||SE, Eastern Circle,Cuttack||EE,Jagatsinghpur Irr Division,Jagatsinghpur",2025_CELBB_112501_39,NOTICE NO.JID-01 OF 2025-26,Improvement to service road on right bank of Disty. No.14 Main Canal from RD 3.885 to 4.645 Km and Construction of Guard Wall,1,2896518,BIJAYA BHOL,27-Apr-2025 12:13 PM,Rejected-Finance,Due to unsuccessful tender on lottery system,12-Jun-2025 10:22 AM,08-Dec-2025,"INR 1,671,654",180.0,kamadev das,08-Dec-2025 11:10 AM,39.pdf (66.00 KB),Finance,"The opening of the Technical and Financial Bid, it is found that 19 nos. of bidder has been participated in the above said work",kamadev das,05-May-2025 08:23 AM,,BOQ Comparative Chart,Superintending Engineer,Internal,,kamadev das,12-Jun-2025 10:22 AM,finsummary_536799.pdf (68.67 KB),Superintending Engineer,Internal,,kamadev das,12-Jun-2025 10:18 AM,techsummary_536799.pdf (68.67 KB),AOC,"CE-BM,LMB Basin,BBSR||SE, Eastern Circle,Cuttack||EE,Jagatsinghpur Irr Division,Jagatsinghpur",NOTICE NO.JID-01 OF 2025-26,2025_CELBB_112501_39,Yes,National Competitive Bid,Percentage,Works,1.0,No,No,Online,No,No,No,Improvement to service road on right bank of Disty. No.14 Main Canal from RD 3.885 to 4.645 Km and Construction of Guard Wall,Civil Work,Please refer Tender documents. ,NA ,"19,66,420",Civil Works - Others,NA ,Tender,90.0,180.0,Jagatsinghpur,754103.0,NA ,NA ,NA ,"O/o the S.E, Jagatsinghpur Irrigation Division",No ,No,"6,000",0.0,Nil,Nil,No,"19,700",Yes,fixed,,Nil,Nil,1.0,ICICI BANK,Superintending Engineer,"Jagatsinghpur Irrigation Division, Jagatsinghpur",1.0,Fee/PreQual/Technical/Finance,.pdf,"Contractor R.C, Affidavit, NRC, undertakings, GSTIN, PAN and any other documents as per SBD/DTCN",16-Apr-2025 06:30 PM,30-Apr-2025 11:00 AM,16-Apr-2025 06:30 PM,29-Apr-2025 05:30 PM,NA ,NA ,16-Apr-2025 06:30 PM,29-Apr-2025 05:30 PM,AOC
,,,,,,,,,2,2896564,GOURA HARI MOHARANA,27-Apr-2025 01:26 PM,Rejected-Finance,Due to unsuccessful tender on lottery system,12-Jun-2025 10:22 AM,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,ICICI NEFT/RTGS,,,,,.xls,Bill of Quantity,,,,,,,,,AOC
,,,,,,,,,3,2900886,JAYANTA KUMAR BAL,29-Apr-2025 05:27 PM,Rejected-Finance,Due to unsuccessful tender on lottery system,12-Jun-2025 10:22 AM,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,4,2891180,Mahaveer Enterprises,25-Apr-2025 10:18 AM,Rejected-Finance,Due to unsuccessful tender on lottery system,12-Jun-2025 10:22 AM,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,5,2899957,MANAS RANJAN NAYAK,29-Apr-2025 12:57 PM,Rejected-Finance,Due to unsuccessful tender on lottery system,12-Jun-2025 10:22 AM,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,6,2893507,MOHAN KUMAR MALLICK,27-Apr-2025 04:22 PM,Rejected-Finance,Due to unsuccessful tender on lottery system,12-Jun-2025 10:22 AM,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,7,2894402,NAGENDRA JENA,26-Apr-2025 06:20 PM,Rejected-Finance,Due to unsuccessful tender on lottery system,12-Jun-2025 10:22 AM,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,8,2898547,Niranjan Sahoo,29-Apr-2025 09:49 AM,Rejected-Finance,Due to unsuccessful tender on lottery system,12-Jun-2025 10:22 AM,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,9,2893300,NIRUPAMA BEHERA,24-Apr-2025 11:03 AM,Rejected-Finance,Due to unsuccessful tender on lottery system,12-Jun-2025 10:22 AM,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,10,2890527,PRADEEP KUMAR DAS,23-Apr-2025 04:23 PM,Rejected-Finance,Due to unsuccessful tender on lottery system,12-Jun-2025 10:22 AM,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
