S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Type :,Summary :,Updated By :,Updated On :,Document :,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.1,Updated on :,Document :.1,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.2,Updated On :.1,Financial Bid Opening Date:,Document :.2,Type :.1,Summary :.1,Updated By :.3,Updated On :.2,Document :.3,BOQ Comparative Chart :,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.4,Updated on :.1,AOC document :,AOC Description :,Tender Stage,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,S.No,Bank Name,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Cover No,Cover,Document Type,Description,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Name,Address,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Tender Stage
1.0,3011480.0,ASCENSOR LIFTS AND AUTOMATION PRIVATE LIMITED,INR,"9,713,234.235",Technical,Bid opening Summary,Bramheswar Das,28-Jul-2025 01:41 PM,technical_545596.pdf,WATCO Bhubaneswar||Director (Operation) Watco||WATCO Division Sambalpur,2025_WTDSM_115361_1,GMWATCOSBP-05/2025-26 Dt. 03.07.2025,"Provision for Automation and Instrumentation work for Provision of Drink from Tap and 24 x 7 water supply at Pump House, Talbhatapada under WATCO Section, Modipada","Er Bramheswar Das, General Manager , WATCO Division, Sambalpur",Internal,,Bramheswar Das,05-Dec-2025 12:42 PM,finsummary_545596.pdf (1190.20 KB),"Er Bramheswar Das, General Manager , WATCO Division, Sambalpur",Internal,"G. M WATCO, Project, Division-I, BBSR Member Convener, G. M, WATCO, Project Division II, BBSR Member, Director (Operations) WATCO, Member, Head Finance, WATCO, Member, M. D WATCO, Chairman",Bramheswar Das,19-Sep-2025 01:56 PM,19-Sep-2025 04:30 PM,techsummary_545596.pdf (1986.38 KB),Finance,Bid opening Summary,Bramheswar Das,21-Sep-2025 11:58 AM,finance_545596.pdf,BOQ Comparative Chart,1,3011480,ASCENSOR LIFTS AND AUTOMATION PRIVATE LIMITED,25-Jul-2025 12:21 PM,Accepted-AOC,Through Lottery System,05-Dec-2025 12:49 PM,05-Dec-2025,"INR 9,713,234",180.0,Bramheswar Das,05-Dec-2025 12:49 PM,AOOC.pdf (801.00 KB),AWARD OF CONTRACT,AOC,"Provision for Automation and Instrumentation work for Provision of Drink from Tap and 24 x 7 water supply at Pump House, Talbhatapada under WATCO Section, Modipada","Provision for Automation and Instrumentation work for Provision of Drink from Tap and 24 x 7 water supply at Pump House, Talbhatapada under WATCO Section, Modipada",Please refer Tender documents. ,NA ,"1,14,26,000",Civil Works - Water Works,NA ,Tender,120.0,180.0,SAMBALPUR,768001.0,NA ,NA ,NA ,SAMBALPUR,No ,No,1.0,ICICI BANK,"1,14,260",Yes,percentage,1.0%,Nil,Nil,1.0,Fee/PreQual/Technical,.pdf,"Cost of TP, GSTN, PAN, RC, Experience Certificate and Other Documents as per DTCN",WATCO Bhubaneswar||Director (Operation) Watco||WATCO Division Sambalpur,GMWATCOSBP-05/2025-26 Dt. 03.07.2025,2025_WTDSM_115361_1,Yes,National Competitive Bid,Percentage,Works,2.0,No,No,Online,No,No,No,"11,800",Nil,Nil,No,"General Manager, WATCO Division, Sambalpur","General Manager, WATCO Division, Sambalpur, Brooks Hill, Near Stadium, At/Po- Motijharan, Dist- Sambalpur-768 001",10-Jul-2025 11:00 AM,28-Jul-2025 11:30 AM,10-Jul-2025 11:00 AM,25-Jul-2025 05:00 PM,10-Jul-2025 11:00 AM ,13-Jul-2025 05:00 PM ,10-Jul-2025 11:00 AM,25-Jul-2025 05:00 PM,19-Sep-2025 04:30 PM,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,3011978,ASHISH MOHANTY,25-Jul-2025 04:18 PM,Rejected-Technical,not qualified minimum eligibility criteria,19-Sep-2025 01:56 PM,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,2.0,ICICI NEFT/RTGS,,,,,,,,,.pdf,"Affidavits, Annual Turnover, Declaration Form and Other Documents as per DTCN",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,2997323,Automatech Electric Co,25-Jul-2025 03:00 PM,Rejected-AOC,NOT OK,05-Dec-2025 12:49 PM,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,Finance,.xls,Bill of Quantity,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,3011761,BALDEV PANDA,25-Jul-2025 01:52 PM,Rejected-Technical,not qualified minimum eligibility criteria,19-Sep-2025 01:56 PM,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,3011557,Drite Automation and Engineering,25-Jul-2025 11:51 AM,Rejected-AOC,NOT OK,05-Dec-2025 12:49 PM,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,3011896,FLOWTECH AUTOMATION PRIVATE LIMITED,25-Jul-2025 03:36 PM,Rejected-AOC,NOT OK,05-Dec-2025 12:49 PM,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,3003838,M/s WATCO,25-Jul-2025 10:57 AM,Rejected-AOC,NOT OK,05-Dec-2025 12:49 PM,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,3011912,MUKESH KUMAR,25-Jul-2025 03:32 PM,Rejected-Technical,not qualified minimum eligibility criteria,19-Sep-2025 01:56 PM,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,3010634,parthasarathi chhotaray,24-Jul-2025 08:36 PM,Rejected-AOC,NOT OK,05-Dec-2025 12:49 PM,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,3009495,RANJIT KUMAR SWAIN,25-Jul-2025 08:44 AM,Rejected-AOC,NOT OK,05-Dec-2025 12:49 PM,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
